"","X","gotuheiti","postnr","tegund","verd","herbergi","size","nyskrad","fermverd","date"
"542",3,"Bugðulækur",105,"Fjölbýli",44900000,5,91.5,"2016-08-04",490710,"2016-08-01"
"543",4,"Guðnýjarbraut",260,"Einbýli",53000000,5,214.5,"2016-08-04",247086,"2016-08-01"
"544",5,"Öldugrandi",107,"Fjölbýli",29900000,2,55.1,"2016-08-04",542650,"2016-08-01"
"545",6,"Austurbrún",104,"Fjölbýli",23900000,2,47.6,"2016-08-04",502101,"2016-08-01"
"547",8,"Fálkahreiður",276,"Einbýli",38000000,4,104.8,"2016-08-04",362595,"2016-08-01"
"548",9,"Sævangur",220,"Einbýli",81900000,8,269.8,"2016-08-04",303558,"2016-08-01"
"549",10,"Kríuhólar",111,"Fjölbýli",28500000,3,79.1,"2016-08-04",360303,"2016-08-01"
"550",12,"Kambahraun",810,"Einbýli",45900000,4,180.2,"2016-08-04",254717,"2016-08-01"
"551",14,"Hlíðarvegur",200,"Fjölbýli",34900000,3,93.3,"2016-08-04",374062,"2016-08-01"
"552",16,"Holtsvegur",210,"Fjölbýli",69900000,4,165.7,"2016-08-04",421847,"2016-08-01"
"553",17,"Hjarðarhagi",107,"Fjölbýli",39900000,4,84.5,"2016-08-04",472189,"2016-08-01"
"554",19,"Tjarnarlundur",600,"Fjölbýli",22500000,4,96.1,"2016-08-04",234131,"2016-08-01"
"555",20,"Vindakór",203,"Fjölbýli",41900000,4,129.3,"2016-08-04",324053,"2016-08-01"
"556",21,"Gullsmári ",201,"Fjölbýli",39900000,4,94.6,"2016-08-04",421776,"2016-08-01"
"557",22,"Hamrahlíð",101,"Fjölbýli",31900000,3,79.7,"2016-08-04",400251,"2016-08-01"
"558",23,"Blómahæð",210,"Par/Raðhús",67000000,6,182.5,"2016-08-04",367123,"2016-08-01"
"559",24,"Heiðmörk",810,"Einbýli",41800000,4,166.6,"2016-08-04",250900,"2016-08-01"
"560",25,"Álmholt",270,"Hæðir",51900000,6,194.5,"2016-08-04",266838,"2016-08-01"
"561",1,"Hraunbær",110,"Fjölbýli",26900000,3,68.8,"2016-08-05",390988,"2016-08-01"
"562",2,"Tröllateigur",270,"Fjölbýli",39900000,4,100.7,"2016-08-05",396226,"2016-08-01"
"563",3,"Melbrún",730,"Einbýli",44400000,4,192.4,"2016-08-05",230769,"2016-08-01"
"564",4,"Melasíða",603,"Fjölbýli",16200000,2,63.1,"2016-08-05",256735,"2016-08-01"
"566",6,"Túnbrekka",200,"Fjölbýli",44900000,4,193.3,"2016-08-05",232281,"2016-08-01"
"567",7,"Ránarvellir",230,"Par/Raðhús",34200000,5,118.6,"2016-08-05",288364,"2016-08-01"
"568",8,"Suðurgata",300,"Hæðir",10900000,2,66.7,"2016-08-05",163418,"2016-08-01"
"570",10,"Móabarð",220,"Hæðir",29300000,4,104.9,"2016-08-05",279314,"2016-08-01"
"571",11,"Heiðmörk",810,"Einbýli",41800000,3,166.6,"2016-08-05",250900,"2016-08-01"
"572",12,"Kleppsvegur",104,"Fjölbýli",34900000,3,97.7,"2016-08-05",357216,"2016-08-01"
"573",13,"Dalbraut",105,"Fjölbýli",58900000,6,184.7,"2016-08-05",318896,"2016-08-01"
"574",14,"Dalbraut",105,"Fjölbýli",26500000,2,54.2,"2016-08-05",488930,"2016-08-01"
"575",15,"Dalbraut",105,"Fjölbýli",26500000,2,57.2,"2016-08-05",463287,"2016-08-01"
"576",16,"Dalbraut",105,"Fjölbýli",63900000,5,268.7,"2016-08-05",237812,"2016-08-01"
"577",17,"Skarðshlíð",603,"Fjölbýli",22900000,4,82.2,"2016-08-05",278589,"2016-08-01"
"579",19,"Grandahvarf",203,"Hæðir",56800000,5,168.6,"2016-08-05",336892,"2016-08-01"
"580",20,"Sólheimar",104,"Hæðir",32900000,3,85.4,"2016-08-05",385246,"2016-08-01"
"581",21,"Laxatunga",270,"Par/Raðhús",69900000,6,259.8,"2016-08-05",269053,"2016-08-01"
"582",22,"Suðurgata",220,"Hæðir",19900000,2,45.7,"2016-08-05",435449,"2016-08-01"
"583",23,"Daggarvellir Opið Hús",221,"Fjölbýli",32500000,3,96.8,"2016-08-05",335744,"2016-08-01"
"584",24,"Klettaberg Opið Hús",221,"Hæðir",46700000,4,155.5,"2016-08-05",300322,"2016-08-01"
"585",25,"Hvassaleiti",103,"Fjölbýli",33900000,3,115.3,"2016-08-05",294016,"2016-08-01"
"586",1,"Holtsvegur ",210,"Fjölbýli",41900000,3,81.8,"2016-08-06",512225,"2016-08-01"
"587",2,"Hólavað ",110,"Par/Raðhús",62900000,5,172.7,"2016-08-06",364215,"2016-08-01"
"588",6,"Hólavað ",110,"Par/Raðhús",64900000,5,175.4,"2016-08-06",370011,"2016-08-01"
"589",8,"Blöndubakki",109,"Fjölbýli",28900000,4,105.8,"2016-08-06",273157,"2016-08-01"
"590",9,"Skógarás",110,"Fjölbýli",34900000,3,105.4,"2016-08-06",331120,"2016-08-01"
"592",12,"Völvufell",111,"Fjölbýli",28400000,4,109.4,"2016-08-06",259598,"2016-08-01"
"593",14,"Hlunnavogur",104,"Par/Raðhús",69700000,5,183.3,"2016-08-06",380251,"2016-08-01"
"594",15,"Mávahlíð",105,"Fjölbýli",42900000,4,101.9,"2016-08-06",421001,"2016-08-01"
"595",16,"Kristnibraut",113,"Fjölbýli",34900000,3,90.2,"2016-08-06",386918,"2016-08-01"
"596",18,"Sundlaugavegur",105,"Fjölbýli",32500000,4,84.2,"2016-08-06",385986,"2016-08-01"
"597",19,"Grundarstígur",101,"Fjölbýli",21500000,2,37.5,"2016-08-06",573333,"2016-08-01"
"598",20,"Garðastræti",101,"Hæðir",94900000,7,234.7,"2016-08-06",404346,"2016-08-01"
"599",21,"Drápuhlíð",105,"Fjölbýli",30900000,3,74.7,"2016-08-06",413655,"2016-08-01"
"600",22,"Vesturberg",111,"Fjölbýli",22900000,2,63.6,"2016-08-06",360063,"2016-08-01"
"601",23,"Bústaðavegur",108,"Hæðir",49900000,5,128.3,"2016-08-06",388932,"2016-08-01"
"602",24,"Vallakór",203,"Fjölbýli",41500000,3,123.7,"2016-08-06",335489,"2016-08-01"
"604",1,"Burknavellir",221,"Fjölbýli",47900000,4,158.2,"2016-08-08",302781,"2016-08-01"
"605",2,"Skeiðarvogur",104,"Fjölbýli",48200000,5,141.8,"2016-08-08",339915,"2016-08-01"
"606",3,"Flúðasel",109,"Fjölbýli",31900000,4,123.1,"2016-08-08",259139,"2016-08-01"
"607",4,"Gnitaheiði",200,"Par/Raðhús",65000000,4,198.33,"2016-08-08",327737,"2016-08-01"
"608",5,"Kópavogsgerði",200,"Fjölbýli",53500000,3,129.1,"2016-08-08",414407,"2016-08-01"
"609",7,"Álftarimi",800,"Fjölbýli",22900000,4,134.9,"2016-08-08",169755,"2016-08-01"
