"","X","gotuheiti","postnr","tegund","verd","herbergi","size","nyskrad","fermverd","date"
"1089",21,"Marteinslaug",113,"Fjölbýli",37700000,3,109.1,"2016-09-02",345555,"2016-09-01"
"1091",23,"Blikabraut",230,"Hæðir",27200000,3,114.2,"2016-09-02",238179,"2016-09-01"
"1092",24,"Heiðarvegur",900,"Einbýli",36000000,5,201,"2016-09-02",179104,"2016-09-01"
"1094",1,"Dvergaborgir",112,"Fjölbýli",32500000,3,86,"2016-09-03",377907,"2016-09-01"
"1097",5,"Fellsmúli",108,"Fjölbýli",33500000,4,104.5,"2016-09-03",320574,"2016-09-01"
"1099",7,"Grettisgata ",101,"Fjölbýli",74600000,6,183,"2016-09-03",407650,"2016-09-01"
"1100",8,"Súluhöfði",270,"Hæðir",77500000,7,335.4,"2016-09-03",231067,"2016-09-01"
"1101",9,"Garðatorg",210,"Fjölbýli",48900000,3,106.9,"2016-09-03",457437,"2016-09-01"
"1102",10,"Heiðargerði",108,"Par/Raðhús",59500000,5,157.7,"2016-09-03",377299,"2016-09-01"
"1103",11,"Lautasmári",201,"Fjölbýli",44900000,4,136.3,"2016-09-03",329420,"2016-09-01"
"1104",12,"Þórufell",111,"Fjölbýli",25900000,3,81.4,"2016-09-03",318182,"2016-09-01"
"1105",13,"Straumsalir",201,"Fjölbýli",38900000,3,106.2,"2016-09-03",366290,"2016-09-01"
"1107",15,"Sólheimar",104,"Hæðir",47900000,6,189.8,"2016-09-03",252371,"2016-09-01"
"1108",16,"Njörvasund",104,"Hæðir",31900000,3,81.8,"2016-09-03",389976,"2016-09-01"
"1109",17,"Holtsvegur",210,"Fjölbýli",41500000,3,86.4,"2016-09-03",480324,"2016-09-01"
"1110",19,"Ránargata",101,"Hæðir",44900000,3,90.1,"2016-09-03",498335,"2016-09-01"
"1111",23,"Leifsgata",101,"Fjölbýli",28900000,2,55.1,"2016-09-03",524501,"2016-09-01"
"1112",24,"Hringbraut",101,"Fjölbýli",27900000,2,59.3,"2016-09-03",470489,"2016-09-01"
"1113",25,"Dalhús",112,"Einbýli",55900000,7,228.7,"2016-09-03",244425,"2016-09-01"
"1115",2,"Hörgslundur ",210,"Einbýli",87500000,9,344.3,"2016-09-04",254139,"2016-09-01"
"1116",3,"Ljósavík",112,"Fjölbýli",29900000,2,80.7,"2016-09-04",370508,"2016-09-01"
"1117",4,"Hlíðarhjalli - Seld",200,"Fjölbýli",29200000,2,72.9,"2016-09-04",400549,"2016-09-01"
"1118",5,"Lerkigrund",300,"Fjölbýli",25900000,4,102.8,"2016-09-04",251946,"2016-09-01"
"1120",7,"Miðleiti",103,"Fjölbýli",49000000,4,111.4,"2016-09-04",439856,"2016-09-01"
"1121",8,"Langalína",210,"Fjölbýli",64000000,3,140,"2016-09-04",457143,"2016-09-01"
"1122",9,"Langalína",210,"Fjölbýli",73000000,3,128.3,"2016-09-04",568979,"2016-09-01"
"1123",10,"Langalína  nýtt ",210,"Fjölbýli",59000000,3,125.8,"2016-09-04",468998,"2016-09-01"
"1124",11,"Langalína",210,"Fjölbýli",68500000,3,142.7,"2016-09-04",480028,"2016-09-01"
"1125",12,"Langalína",210,"Fjölbýli",75000000,4,149.1,"2016-09-04",503018,"2016-09-01"
"1126",13,"Langalína",210,"Fjölbýli",66000000,3,125.7,"2016-09-04",525060,"2016-09-01"
"1127",14,"Langalína",210,"Fjölbýli",76000000,3,139,"2016-09-04",546763,"2016-09-01"
"1128",15,"Langalína",210,"Fjölbýli",79000000,4,141.4,"2016-09-04",558699,"2016-09-01"
"1129",16,"Langalína",210,"Fjölbýli",64000000,3,128.4,"2016-09-04",498442,"2016-09-01"
"1130",17,"Langalína",210,"Fjölbýli",69000000,4,138.2,"2016-09-04",499276,"2016-09-01"
"1131",18,"Langalína",210,"Fjölbýli",59000000,3,127.5,"2016-09-04",462745,"2016-09-01"
"1132",19,"Vesturbraut ",240,"Einbýli",61500000,8,341.7,"2016-09-04",179982,"2016-09-01"
"1133",20,"Skipastígur",240,"Einbýli",47500000,5,168.5,"2016-09-04",281899,"2016-09-01"
"1135",1,"Hafnarstræti",600,"Fjölbýli",24900000,2,129.7,"2016-09-05",191981,"2016-09-01"
"1137",3,"Sæbakki",740,"Par/Raðhús",31000000,3,124.1,"2016-09-05",249799,"2016-09-01"
"1138",4,"Gerplustræti",270,"Fjölbýli",42800000,4,133.1,"2016-09-05",321563,"2016-09-01"
"1139",5,"Mávahlíð",105,"Hæðir",44000000,4,97.2,"2016-09-05",452675,"2016-09-01"
"1140",6,"Svöluás",221,"Fjölbýli",30900000,3,87.1,"2016-09-05",354765,"2016-09-01"
"1141",7,"Akurvellir",221,"Fjölbýli",45900000,5,157.7,"2016-09-05",291059,"2016-09-01"
"1142",8,"Þrastanes",210,"Einbýli",118000000,7,371.4,"2016-09-05",317717,"2016-09-01"
"1143",9,"Tjarnarbrú",780,"íbúð í tvíbýli",21500000,3,93,"2016-09-05",231183,"2016-09-01"
"1144",10,"Vatnsstígur",101,"Fjölbýli",85900000,4,144.4,"2016-09-05",594875,"2016-09-01"
"1145",11,"Þórufell",111,"Fjölbýli",25900000,3,81.4,"2016-09-05",318182,"2016-09-01"
"1146",12,"Sæbakki",740,"Par/Raðhús",39000000,3,124.5,"2016-09-05",313253,"2016-09-01"
"1147",14,"Hólabraut",220,"Fjölbýli",24900000,3,85.9,"2016-09-05",289872,"2016-09-01"
"1148",15,"Guðrúnargata",105,"Fjölbýli",33900000,3,74.5,"2016-09-05",455034,"2016-09-01"
"1149",16,"Asparfell",111,"Fjölbýli",33500000,4,132,"2016-09-05",253788,"2016-09-01"
"1150",17,"Strandvegur",210,"Fjölbýli",47900000,3,118.4,"2016-09-05",404561,"2016-09-01"
"1151",18,"Mávahlíð",105,"Fjölbýli",44000000,4,97.2,"2016-09-05",452675,"2016-09-01"
"1152",19,"Hríshóll lóð",601,"Einbýli",27300000,3,99.4,"2016-09-05",274648,"2016-09-01"
"1154",23,"Brúnastaðir",112,"Par/Raðhús",65900000,5,187.8,"2016-09-05",350905,"2016-09-01"
"1155",25,"Mávahlíð Opið Hús",105,"Hæðir",44000000,4,97.2,"2016-09-05",452675,"2016-09-01"
"1158",3,"Hólavegur",620,"Einbýli",23900000,9,231.8,"2016-09-06",103106,"2016-09-01"
"1159",4,"Árvegur",800,"Einbýli",59900000,8,261.2,"2016-09-06",229326,"2016-09-01"
"1160",5,"Sólvellir",600,"Fjölbýli",32800000,8,225.8,"2016-09-06",145261,"2016-09-01"
"1163",8,"Kleppsvegur",105,"Fjölbýli",32500000,4,101.5,"2016-09-06",320197,"2016-09-01"
"1165",10,"Laxatunga",270,"Par/Raðhús",64900000,6,259.8,"2016-09-06",249808,"2016-09-01"
"1166",12,"Aðalstræti",600,"Hæðir",41900000,5,212.3,"2016-09-06",197362,"2016-09-01"
"1167",13,"Norðurbakki",220,"Fjölbýli",45900000,4,130.5,"2016-09-06",351724,"2016-09-01"
"1169",15,"Ásatún",600,"Fjölbýli",29900000,4,101.7,"2016-09-06",294002,"2016-09-01"
"1170",16,"Bárugata",101,"Hæðir",54900000,4,93.2,"2016-09-06",589056,"2016-09-01"
"1171",18,"Lyngás",210,"Fjölbýli",35700000,2,60,"2016-09-06",595000,"2016-09-01"
"1172",19,"Bjarmastígur",600,"Fjölbýli",42900000,5,191.1,"2016-09-06",224490,"2016-09-01"
"1177",2,"Tjarnabraut",260,"Fjölbýli",22900000,3,89,"2016-09-07",257303,"2016-09-01"
"1179",4,"Tjarnabraut",260,"Fjölbýli",27500000,4,100.5,"2016-09-07",273632,"2016-09-01"
"1180",5,"Garðavegur",230,"Fjölbýli",18600000,4,87.5,"2016-09-07",212571,"2016-09-01"
"1181",6,"Faxabraut",230,"Fjölbýli",13485375,3,78.7,"2016-09-07",171352,"2016-09-01"
"1183",8,"Jörundarholt",300,"Par/Raðhús",35100000,4,130.3,"2016-09-07",269378,"2016-09-01"
"1185",10,"Drekagil",600,"Fjölbýli",17600000,2,64.3,"2016-09-07",273717,"2016-09-01"
"1186",11,"Heiðmörk ",810,"Par/Raðhús",37000000,4,116.5,"2016-09-07",317597,"2016-09-01"
"1187",12,"Hringbraut  ",220,"Fjölbýli",31900000,4,101.1,"2016-09-07",315529,"2016-09-01"
"1188",13,"Hringbraut",220,"Fjölbýli",31900000,5,101.1,"2016-09-07",315529,"2016-09-01"
"1189",14,"Flétturimi",112,"Fjölbýli",34500000,5,95.8,"2016-09-07",360125,"2016-09-01"
"1190",15,"Ólafsgeisli",113,"Einbýli",75900000,6,204.5,"2016-09-07",371149,"2016-09-01"
"1191",16,"Stigahlíð",105,"Fjölbýli",34900000,3,80.8,"2016-09-07",431931,"2016-09-01"
"1192",17,"Lómasalir",201,"Fjölbýli",38600000,3,104.3,"2016-09-07",370086,"2016-09-01"
"1193",18,"Suðurgata ",580,"Einbýli",59900000,6,496,"2016-09-07",120766,"2016-09-01"
"1194",19,"Hátún",105,"Hæðir",84900000,7,182.4,"2016-09-07",465461,"2016-09-01"
"1196",21,"Vallengi",112,"Fjölbýli",32900000,4,92.9,"2016-09-07",354144,"2016-09-01"
"1197",22,"Klukkuvellir",221,"Par/Raðhús",48900000,4,136,"2016-09-07",359559,"2016-09-01"
"1198",23,"Gnoðarvogur",104,"Fjölbýli",29500000,3,75.2,"2016-09-07",392287,"2016-09-01"
"1199",24,"Rauðalækur",105,"Hæðir",61900000,5,180.3,"2016-09-07",343317,"2016-09-01"
"1200",25,"Einigrund",300,"Fjölbýli",24400000,4,125.5,"2016-09-07",194422,"2016-09-01"
"1202",2,"Tjarnabraut",260,"Fjölbýli",22900000,3,89,"2016-09-08",257303,"2016-09-01"
"1203",3,"Faxabraut",230,"Fjölbýli",13485375,3,78.7,"2016-09-08",171352,"2016-09-01"
"1204",4,"Garðavegur",230,"Fjölbýli",18600000,4,87.5,"2016-09-08",212571,"2016-09-01"
"1205",5,"Tjarnabraut",260,"Fjölbýli",27500000,4,100.5,"2016-09-08",273632,"2016-09-01"
"1207",7,"Jörundarholt",300,"Par/Raðhús",35100000,4,130.3,"2016-09-08",269378,"2016-09-01"
"1209",9,"Drekagil",600,"Fjölbýli",17600000,2,64.3,"2016-09-08",273717,"2016-09-01"
"1210",10,"Heiðmörk ",810,"Par/Raðhús",37000000,4,116.5,"2016-09-08",317597,"2016-09-01"
"1211",11,"Hringbraut  ",220,"Fjölbýli",31900000,4,101.1,"2016-09-08",315529,"2016-09-01"
"1212",12,"Hringbraut",220,"Fjölbýli",31900000,5,101.1,"2016-09-08",315529,"2016-09-01"
"1213",13,"Flétturimi",112,"Fjölbýli",34500000,5,95.8,"2016-09-08",360125,"2016-09-01"
"1214",14,"Ólafsgeisli",113,"Einbýli",75900000,6,204.5,"2016-09-08",371149,"2016-09-01"
"1215",15,"Stigahlíð",105,"Fjölbýli",34900000,3,80.8,"2016-09-08",431931,"2016-09-01"
"1216",16,"Lómasalir",201,"Fjölbýli",38600000,3,104.3,"2016-09-08",370086,"2016-09-01"
"1217",17,"Suðurgata ",580,"Einbýli",59900000,6,496,"2016-09-08",120766,"2016-09-01"
"1218",18,"Hátún",105,"Hæðir",84900000,7,182.4,"2016-09-08",465461,"2016-09-01"
"1220",20,"Vallengi",112,"Fjölbýli",32900000,4,92.9,"2016-09-08",354144,"2016-09-01"
"1221",21,"Klukkuvellir",221,"Par/Raðhús",48900000,4,136,"2016-09-08",359559,"2016-09-01"
"1222",22,"Gnoðarvogur",104,"Fjölbýli",29500000,3,75.2,"2016-09-08",392287,"2016-09-01"
"1223",23,"Rauðalækur",105,"Hæðir",61900000,5,180.3,"2016-09-08",343317,"2016-09-01"
"1224",24,"Einigrund",300,"Fjölbýli",24400000,4,125.5,"2016-09-08",194422,"2016-09-01"
"1225",25,"Einivellir",221,"Fjölbýli",38400000,4,110.5,"2016-09-08",347511,"2016-09-01"
"1226",1,"Dalaland",108,"Fjölbýli",41900000,4,98.4,"2016-09-09",425813,"2016-09-01"
"1227",2,"Laugavegur",101,"Fjölbýli",80175000,3,106.9,"2016-09-09",750000,"2016-09-01"
"1228",3,"Laugavegur",101,"Fjölbýli",79650000,3,106.2,"2016-09-09",750000,"2016-09-01"
"1229",4,"Laugavegur",101,"Fjölbýli",83100000,3,110.8,"2016-09-09",750000,"2016-09-01"
"1230",8,"Hellagata",210,"Fjölbýli",59900000,4,140.2,"2016-09-09",427247,"2016-09-01"
"1231",9,"Hellagata",210,"Fjölbýli",51900000,4,120.2,"2016-09-09",431780,"2016-09-01"
"1232",10,"Laugavegur",101,"Fjölbýli",55440000,2,66.8,"2016-09-09",829940,"2016-09-01"
"1233",11,"Laugavegur",101,"Fjölbýli",73050000,3,97.4,"2016-09-09",750000,"2016-09-01"
"1234",12,"Hvassaleiti",103,"Par/Raðhús",79900000,6,215.3,"2016-09-09",371110,"2016-09-01"
"1235",13,"Akurgerði",845,"Einbýli",35700000,6,224.2,"2016-09-09",159233,"2016-09-01"
"1236",14,"Sóltún Opið Hús",105,"Fjölbýli",42900000,3,103,"2016-09-09",416505,"2016-09-01"
"1237",15,"Seilugrandi",107,"Fjölbýli",27500000,2,54.7,"2016-09-09",502742,"2016-09-01"
"1238",16,"Einholt",603,"Par/Raðhús",26500000,4,96.9,"2016-09-09",273478,"2016-09-01"
"1239",17,"Móholt",340,"Par/Raðhús",33900000,4,137.2,"2016-09-09",247085,"2016-09-01"
"1240",18,"Eiðsvallagata",600,"Fjölbýli",13500000,2,56.5,"2016-09-09",238938,"2016-09-01"
"1242",20,"Ölduslóð",220,"Fjölbýli",45000000,5,171.2,"2016-09-09",262850,"2016-09-01"
"1243",21,"Fálkagata",107,"Fjölbýli",45900000,4,111.6,"2016-09-09",411290,"2016-09-01"
"1244",22,"Gerplustræti",270,"Fjölbýli",42900000,3,116.9,"2016-09-09",366980,"2016-09-01"
"1245",23,"Lækjarvað",110,"Hæðir",53700000,4,161.9,"2016-09-09",331686,"2016-09-01"
"1246",24,"Kvíaholt",310,"Hæðir",32900000,4,184.1,"2016-09-09",178707,"2016-09-01"
"1247",25,"Bergstaðastræti (bjargarsteinn)",101,"Einbýli",59700000,5,99.4,"2016-09-09",600604,"2016-09-01"
"1248",1,"Hólmgarður",108,"Fjölbýli",27900000,2,62.4,"2016-09-10",447115,"2016-09-01"
"1249",2,"Funalind",201,"Fjölbýli",39900000,4,112.1,"2016-09-10",355932,"2016-09-01"
"1250",3,"Herjólfsgata",220,"Fjölbýli",45900000,3,92.3,"2016-09-10",497291,"2016-09-01"
"1255",8,"Tungusel - Opið Hús",109,"Fjölbýli",28900000,3,81.1,"2016-09-10",356350,"2016-09-01"
"1256",9,"Strandasel - Opið Hús",109,"Fjölbýli",26900000,2,66.6,"2016-09-10",403904,"2016-09-01"
"1257",10,"Skarphéðinsgata - Opið Hús",105,"Fjölbýli",32900000,3,78.8,"2016-09-10",417513,"2016-09-01"
"1258",11,"Ljósavík",112,"Fjölbýli",46900000,4,147.1,"2016-09-10",318831,"2016-09-01"
"1259",12,"Hjallabraut",220,"Fjölbýli",42000000,5,133.6,"2016-09-10",314371,"2016-09-01"
"1260",13,"Hellagata",210,"Fjölbýli",49900000,4,119.7,"2016-09-10",416876,"2016-09-01"
"1261",14,"Dvergagil",603,"Par/Raðhús",43000000,4,161.5,"2016-09-10",266254,"2016-09-01"
"1262",15,"Háaleitisbraut",108,"Fjölbýli",41900000,4,132.3,"2016-09-10",316704,"2016-09-01"
"1263",16,"Skipasund",104,"Hæðir",47900000,5,111.1,"2016-09-10",431143,"2016-09-01"
"1264",17,"Skipasund",104,"Fjölbýli",26900000,2,52,"2016-09-10",517308,"2016-09-01"
"1265",18,"Klettaborg",600,"Einbýli",75000000,6,246.1,"2016-09-10",304754,"2016-09-01"
"1266",19,"Rekagrandi",107,"Fjölbýli",29900000,2,50.3,"2016-09-10",594433,"2016-09-01"
"1267",21,"Lágholtsvegur",107,"Einbýli",79900000,5,197.5,"2016-09-10",404557,"2016-09-01"
"1270",24,"Barónsstígur",101,"Fjölbýli",29900000,3,64.7,"2016-09-10",462133,"2016-09-01"
"1271",1,"Ásbraut",200,"Fjölbýli",33500000,5,121.2,"2016-09-12",276403,"2016-09-01"
"1272",2,"Birkiteigur",270,"Hæðir",53500000,5,207.7,"2016-09-12",257583,"2016-09-01"
"1273",3,"Iðavellir",640,"Einbýli",29500000,4,155.1,"2016-09-12",190200,"2016-09-01"
"1274",4,"Skógarvegur",103,"Fjölbýli",72100000,3,126.5,"2016-09-12",569960,"2016-09-01"
"1275",5,"Skógarvegur",103,"Fjölbýli",64800000,3,116.9,"2016-09-12",554320,"2016-09-01"
"1276",6,"Gyðufell",111,"Fjölbýli",25900000,3,85,"2016-09-12",304706,"2016-09-01"
"1277",7,"Nýbýlavegur",200,"Fjölbýli",32900000,3,73,"2016-09-12",450685,"2016-09-01"
"1278",8,"Staðarhraun",240,"Einbýli",34900000,4,164.5,"2016-09-12",212158,"2016-09-01"
"1279",9,"Vatnsstígur",101,"Fjölbýli",64900000,4,135.3,"2016-09-12",479675,"2016-09-01"
"1280",10,"Vogatunga",200,"Par/Raðhús",55000000,8,266.5,"2016-09-12",206379,"2016-09-01"
"1281",12,"Vallakór",203,"Fjölbýli",43500000,3,136.7,"2016-09-12",318215,"2016-09-01"
"1284",15,"Lundur",200,"Fjölbýli",59500000,3,112.9,"2016-09-12",527015,"2016-09-01"
"1286",18,"Hjallavegur",104,"Einbýli",75000000,5,255,"2016-09-12",294118,"2016-09-01"
"1287",19,"Fáfnisnes",101,"Par/Raðhús",49900000,3,106.3,"2016-09-12",469426,"2016-09-01"
"1288",20,"Furugrund ",200,"Fjölbýli",28900000,3,73.6,"2016-09-12",392663,"2016-09-01"
"1289",21,"Lundur",200,"Fjölbýli",54500000,3,111,"2016-09-12",490991,"2016-09-01"
"1290",22,"Lundur",200,"Fjölbýli",48500000,2,114,"2016-09-12",425439,"2016-09-01"
"1291",23,"Lundur",200,"Fjölbýli",57000000,3,114.2,"2016-09-12",499124,"2016-09-01"
"1292",24,"Lundur",200,"Fjölbýli",68500000,4,152.7,"2016-09-12",448592,"2016-09-01"
"1293",25,"Lundur",200,"Fjölbýli",74000000,4,155.2,"2016-09-12",476804,"2016-09-01"
"1295",2,"Barónsstígur",101,"Fjölbýli",41900000,5,111.1,"2016-09-13",377138,"2016-09-01"
"1296",3,"Flókagata",105,"Fjölbýli",24900000,2,46.6,"2016-09-13",534335,"2016-09-01"
"1297",4,"Lækjarberg",221,"Hæðir",54900000,5,196.2,"2016-09-13",279817,"2016-09-01"
"1298",5,"Njálsgata",101,"Fjölbýli",34900000,3,74.1,"2016-09-13",470985,"2016-09-01"
"1299",6,"Hraunbær",110,"Fjölbýli",35900000,4,120.1,"2016-09-13",298918,"2016-09-01"
"1300",8,"Ísafjarðarvegur",410,"Einbýli",12000000,4,112.8,"2016-09-13",106383,"2016-09-01"
"1301",9,"Ártröð",700,"Einbýli",23800000,4,138.5,"2016-09-13",171841,"2016-09-01"
"1302",10,"Tryggvagata",101,"Fjölbýli",36500000,2,69.2,"2016-09-13",527457,"2016-09-01"
"1303",11,"Furugrund",200,"Fjölbýli",46000000,4,138.1,"2016-09-13",333092,"2016-09-01"
"1304",12,"Framnesvegur",230,"Fjölbýli",55500000,2,156,"2016-09-13",355769,"2016-09-01"
"1305",13,"Granaskjól",107,"Einbýli",67500000,7,144.7,"2016-09-13",466482,"2016-09-01"
"1306",14,"Hrísalundur",600,"Fjölbýli",21600000,4,96.7,"2016-09-13",223371,"2016-09-01"
"1307",15,"Laxatunga",270,"Par/Raðhús",33900000,4,126.5,"2016-09-13",267984,"2016-09-01"
"1308",16,"Grettisgata",105,"Fjölbýli",29900000,3,72,"2016-09-13",415278,"2016-09-01"
"1309",18,"Skarðshlíð",603,"Fjölbýli",24600000,4,115.4,"2016-09-13",213172,"2016-09-01"
"1310",19,"Lyngás",210,"Fjölbýli",38900000,3,82.1,"2016-09-13",473812,"2016-09-01"
"1311",20,"Flétturimi",112,"Fjölbýli",34900000,3,135.5,"2016-09-13",257565,"2016-09-01"
"1312",22,"Beykidalur",260,"Fjölbýli",28900000,4,115.6,"2016-09-13",250000,"2016-09-01"
"1313",23,"Fífumói",260,"Fjölbýli",15900000,2,55.6,"2016-09-13",285971,"2016-09-01"
"1314",24,"Holtsgata",101,"Fjölbýli",37900000,3,92.3,"2016-09-13",410618,"2016-09-01"
"1315",25,"Flyðrugrandi",107,"Fjölbýli",31000000,3,70.5,"2016-09-13",439716,"2016-09-01"
"1316",1,"Dyngjuvegur",104,"Einbýli",129900000,8,350.2,"2016-09-14",370931,"2016-09-01"
"1318",3,"Boðaþing",203,"Fjölbýli",28500000,2,52.2,"2016-09-14",545977,"2016-09-01"
"1319",4,"Laugarásvegur",104,"Fjölbýli",34500000,4,87.6,"2016-09-14",393836,"2016-09-01"
"1320",6,"Akurvellir",221,"Fjölbýli",45900000,5,157.7,"2016-09-14",291059,"2016-09-01"
"1321",7,"Víðihvammur",200,"Einbýli",79900000,6,236,"2016-09-14",338559,"2016-09-01"
"1323",9,"Mánatún",105,"Fjölbýli",54700000,3,111.2,"2016-09-14",491906,"2016-09-01"
"1324",10,"Mánatún",105,"Fjölbýli",52500000,3,120.5,"2016-09-14",435685,"2016-09-01"
"1325",11,"Mánatún",105,"Fjölbýli",63900000,3,127.3,"2016-09-14",501964,"2016-09-01"
"1326",13,"Þórðarsveigur Opið Hús",113,"Fjölbýli",34900000,3,98.7,"2016-09-14",353597,"2016-09-01"
"1327",14,"Eyktarás",110,"Fjölbýli",28900000,3,75.3,"2016-09-14",383798,"2016-09-01"
"1328",15,"Eyrarflöt",300,"Fjölbýli",31600000,4,107.3,"2016-09-14",294501,"2016-09-01"
"1329",16,"Jaðarsbraut",300,"Fjölbýli",27900000,3,97.7,"2016-09-14",285568,"2016-09-01"
"1332",21,"Birkiteigur",230,"Einbýli",42000000,5,179.3,"2016-09-14",234244,"2016-09-01"
"1334",24,"Hlíðarvegur",400,"Hæðir",10000000,3,73.3,"2016-09-14",136426,"2016-09-01"
"1335",25,"Þingholtsstræti",101,"Fjölbýli",34900000,4,72.7,"2016-09-14",480055,"2016-09-01"
"1336",1,"Skíðabraut",620,"Par/Raðhús",17900000,4,103.9,"2016-09-15",172281,"2016-09-01"
"1337",2,"Sunnubraut",300,"Einbýli",28300000,7,216.8,"2016-09-15",130535,"2016-09-01"
"1338",3,"Sílakvísl",110,"Fjölbýli",40900000,5,109.5,"2016-09-15",373516,"2016-09-01"
"1339",6,"Skipalón",220,"Fjölbýli",55800000,5,153.8,"2016-09-15",362809,"2016-09-01"
"1340",8,"Lækjarberg",221,"Einbýli",78900000,5,228.7,"2016-09-15",344993,"2016-09-01"
"1341",11,"Borgartún",105,"Fjölbýli",67500000,5,165.6,"2016-09-15",407609,"2016-09-01"
"1342",12,"Klukkurimi",112,"Fjölbýli",31500000,3,86.6,"2016-09-15",363741,"2016-09-01"
"1344",14,"Spóaás",221,"Einbýli",64900000,7,259.5,"2016-09-15",250096,"2016-09-01"
"1345",15,"Klapparstígur",101,"Fjölbýli",55900000,4,118.9,"2016-09-15",470143,"2016-09-01"
"1346",16,"Sólheimar",104,"Hæðir",55500000,5,162.9,"2016-09-15",340700,"2016-09-01"
"1347",17,"Klettakór",203,"Fjölbýli",56000000,4,174.2,"2016-09-15",321470,"2016-09-01"
"1348",18,"Rjúpnasalir",201,"Fjölbýli",37900000,3,94.8,"2016-09-15",399789,"2016-09-01"
"1349",19,"Laugavegur",101,"Fjölbýli",69900000,4,129.7,"2016-09-15",538936,"2016-09-01"
"1350",20,"Vesturberg",111,"Fjölbýli",28400000,4,98,"2016-09-15",289796,"2016-09-01"
"1351",21,"Ólafsgeisli",113,"Einbýli",76500000,7,233.7,"2016-09-15",327343,"2016-09-01"
"1352",22,"Hraunbær",110,"Fjölbýli",26500000,3,83.2,"2016-09-15",318510,"2016-09-01"
"1353",23,"Norðurbakki",220,"Fjölbýli",44900000,3,114,"2016-09-15",393860,"2016-09-01"
"1354",24,"Mánatún",105,"Fjölbýli",59700000,3,143.5,"2016-09-15",416028,"2016-09-01"
"1355",1,"Lágengi",800,"Einbýli",38500000,5,176,"2016-09-16",218750,"2016-09-01"
"1361",7,"Klukkuberg",221,"Fjölbýli",30900000,3,75.5,"2016-09-16",409272,"2016-09-01"
"1362",8,"Þrastarás",221,"Fjölbýli",32900000,3,87.4,"2016-09-16",376430,"2016-09-01"
"1363",9,"Ljósakur",210,"Fjölbýli",47900000,3,116.5,"2016-09-16",411159,"2016-09-01"
"1364",10,"Mávabraut",230,"Fjölbýli",12500000,3,69.7,"2016-09-16",179340,"2016-09-01"
"1365",11,"Strandvegur",210,"Fjölbýli",56900000,4,171.5,"2016-09-16",331778,"2016-09-01"
"1366",12,"Holtagerði",200,"Einbýli",69000000,6,190.5,"2016-09-16",362205,"2016-09-01"
"1368",14,"Vesturgata",101,"Fjölbýli",44900000,3,115.8,"2016-09-16",387737,"2016-09-01"
"1369",15,"Ögurás",210,"Fjölbýli",38800000,3,98.8,"2016-09-16",392713,"2016-09-01"
"1374",24,"Mosarimi",112,"Fjölbýli",32900000,3,81.7,"2016-09-16",402693,"2016-09-01"
"1375",25,"Faxabraut",230,"Fjölbýli",17200000,3,103.6,"2016-09-16",166023,"2016-09-01"
"1376",1,"Laugavegur",105,"Fjölbýli",29900000,2,55.8,"2016-09-17",535842,"2016-09-01"
"1377",2,"Eyjabakki",109,"Fjölbýli",30900000,3,95.5,"2016-09-17",323560,"2016-09-01"
"1378",3,"Skálaheiði",200,"Fjölbýli",41900000,4,113.7,"2016-09-17",368514,"2016-09-01"
"1379",4,"Tröllateigur",270,"Fjölbýli",43900000,4,115.6,"2016-09-17",379758,"2016-09-01"
"1380",6,"Lindarbyggð",270,"Par/Raðhús",43900000,4,107.7,"2016-09-17",407614,"2016-09-01"
"1381",8,"Hafnarbraut",780,"Einbýli",33500000,5,153.2,"2016-09-17",218668,"2016-09-01"
"1382",10,"Höfðabraut",300,"Hæðir",24900000,4,132,"2016-09-17",188636,"2016-09-01"
"1383",11,"Keilugrandi",107,"Fjölbýli",30500000,2,52.2,"2016-09-17",584291,"2016-09-01"
"1384",12,"Geitland",108,"Fjölbýli",49900000,4,128.5,"2016-09-17",388327,"2016-09-01"
"1385",13,"Svölutjörn",260,"Par/Raðhús",38700000,4,151.3,"2016-09-17",255783,"2016-09-01"
"1386",14,"Suðurbraut",220,"Fjölbýli",34500000,4,113.4,"2016-09-17",304233,"2016-09-01"
"1388",16,"Garðatorg",210,"Fjölbýli",68500000,3,102.5,"2016-09-17",668293,"2016-09-01"
"1393",21,"Hulduhlíð",270,"Fjölbýli",31900000,3,84.1,"2016-09-17",379310,"2016-09-01"
"1395",24,"Hallakur",210,"Fjölbýli",52500000,4,138.4,"2016-09-17",379335,"2016-09-01"
"1397",2,"Strandvegur",210,"Fjölbýli",51900000,4,118,"2016-09-19",439831,"2016-09-01"
"1408",14,"Hverfisgata",101,"Einbýli",49900000,6,131.3,"2016-09-19",380046,"2016-09-01"
"1410",16,"Ásgarður",108,"Par/Raðhús",49900000,5,136.2,"2016-09-19",366373,"2016-09-01"
"1411",17,"Blikanes",210,"Einbýli",98000000,8,266.9,"2016-09-19",367179,"2016-09-01"
"1414",21,"Bárugata",101,"Fjölbýli",24500000,2,43,"2016-09-19",569767,"2016-09-01"
"1417",24,"Tjaldhólar",800,"Par/Raðhús",35900000,4,156.8,"2016-09-19",228954,"2016-09-01"
"1418",25,"Hrauntunga",220,"Einbýli",74900000,5,248.1,"2016-09-19",301894,"2016-09-01"
"1419",1,"Kirkjuland",116,"Einbýli",97000000,6,442.8,"2016-09-20",219061,"2016-09-01"
