"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Heiðarvegur";900;"Einbýli";28800000;6;200,7;"2016-07-28";143498
"2";"Fífumói";800;"Fjölbýli";25500000;3;94,8;"2016-07-28";268987
"3";"Háteigur";230;"Fjölbýli";21500000;4;119,6;"2016-07-28";179766
"4";"Elliðavellir";230;"Par/Raðhús";29900000;4;146,6;"2016-07-28";203956
"5";"Víkurbraut";230;"Fjölbýli";95000000;6;301;"2016-07-28";315615
"6";"Ránargata";101;"Fjölbýli";54900000;5;125,2;"2016-07-28";438498
"7";"Ferjubakki";109;"Fjölbýli";29900000;3;89,2;"2016-07-28";335202
"8";"Hásteinsvegur";900;"Einbýli";14900000;5;103,2;"2016-07-28";144380
"9";"Baugakór";203;"Fjölbýli";38900000;4;138,5;"2016-07-28";280866
"10";"Sörlaskjól";107;"Einbýli";69900000;6;187;"2016-07-28";373797
"11";"Langamýri";800;"Par/Raðhús";25200000;3;85,6;"2016-07-28";294393
"12";"Lyngmóar";210;"Fjölbýli";41900000;4;121,8;"2016-07-28";344007
"13";"Brekkuás";221;"Fjölbýli";39900000;3;94;"2016-07-28";424468
"14";"Bragagata";101;"Hæðir";30500000;3;64,3;"2016-07-28";474339
"15";"Heiðaþing";203;"Par/Raðhús";73500000;5;246,7;"2016-07-28";297933
"17";"Gimbratún ";861;"Jörð/Lóð";2700000;0;5357;"2016-07-28";504
"18";"Gimbratún";861;"Jörð/Lóð";2700000;0;4870;"2016-07-28";554
"19";"Gimbratún";861;"Jörð/Lóð";2700000;0;5082;"2016-07-28";531
"20";"Réttarmói";861;"Jörð/Lóð";3000000;0;4152;"2016-07-28";723
"21";"Gimbratún";861;"Jörð/Lóð";2700000;0;6127;"2016-07-28";441
"22";"Gimbratún";861;"Jörð/Lóð";2700000;0;4564;"2016-07-28";592
"23";"Réttarmói";861;"Jörð/Lóð";3000000;0;3867;"2016-07-28";776
"24";"Gimbratún";861;"Jörð/Lóð";2700000;0;4369;"2016-07-28";618
"25";"Gimbratún ";861;"Jörð/Lóð";2700000;0;6019;"2016-07-28";449
