"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Kársnesbraut";200;"Fjölbýli";36900000;3;109,7;"2016-07-07";336372
"2";"Perlukór - Opið Hús";203;"Fjölbýli";43200000;4;114,8;"2016-07-07";376307
"3";"Teigasel";109;"Fjölbýli";27500000;3;93;"2016-07-07";295699
"4";"Víðimelur";107;"Fjölbýli";39000000;4;78,9;"2016-07-07";494297
"6";"Álfheimar";104;"Fjölbýli";29900000;3;77,1;"2016-07-07";387808
"7";"Asparfell";111;"Fjölbýli";23900000;2;59,8;"2016-07-07";399666
"8";"Vagnhöfði";110;"Atvinnuhús";152000000;0;1123,2;"2016-07-07";135328
"10";"Steinás";210;"Einbýli";84900000;6;216,4;"2016-07-07";392329
"12";"Vagnhöfði";110;"Atvinnuhús";152000000;1;1123,2;"2016-07-07";135328
"13";"Strandvegur";210;"Fjölbýli";66900000;3;140,9;"2016-07-07";474805
"14";"Hnoðravellir";221;"Einbýli";65000000;6;244,5;"2016-07-07";265849
"15";"Tryggvagata";800;"Fjölbýli";18500000;3;67,1;"2016-07-07";275708
"16";"Hólmgarður";108;"Hæðir";51900000;8;128,4;"2016-07-07";404206
"18";"Þorrasalir";201;"Fjölbýli";39900000;4;112;"2016-07-07";356250
"19";"Sunnubraut";200;"Hæðir";62900000;5;162,8;"2016-07-07";386364
"20";"Jörfabakki";109;"Fjölbýli";15500000;2;51,1;"2016-07-07";303327
"21";"Skarðshlíð";603;"Fjölbýli";18500000;3;80,8;"2016-07-07";228960
"22";"Fossahvarf";203;"Hæðir";46900000;4;129,9;"2016-07-07";361047
"23";"Ölver";301;"Sumarhús";9500000;3;52,9;"2016-07-07";179584
"24";"Kerhraun";801;"Sumarhús";39900000;4;126,6;"2016-07-07";315166
"25";"Eikjuvogur";104;"Fjölbýli";32900000;3;73,2;"2016-07-07";449454
