"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Tungusel";109;"Fjölbýli";30500000;3;88,2;"2016-10-12";345805
"2";"Sólheimar";104;"Fjölbýli";29900000;3;70,1;"2016-10-12";426534
"3";"Nýhöfn";210;"Fjölbýli";58900000;4;152,4;"2016-10-12";386483
"4";"Holtsvegur";210;"Fjölbýli";69900000;3;106,1;"2016-10-12";658812
"5";"Holtsvegur";210;"Fjölbýli";69900000;3;100;"2016-10-12";699000
"6";"Vatnsveituv. fákur Faxaból";110;"Hesthús";8900000;0;39;"2016-10-12";228205
"7";"Rauðalækur";105;"Fjölbýli";39900000;4;113,4;"2016-10-12";351852
"8";"Tómasarhagi";107;"Fjölbýli";83900000;6;188,3;"2016-10-12";445566
"9";"Holtsvegur";210;"Fjölbýli";47900000;4;111,4;"2016-10-12";429982
"10";"Holtsvegur";210;"Fjölbýli";47900000;4;112,5;"2016-10-12";425778
"12";"Kársnesbraut";200;"Atvinnuhús";160000000;5;1086,9;"2016-10-12";147208
"13";"Grashagi";800;"Einbýli";39900000;5;196,1;"2016-10-12";203468
"14";"Holtsvegur";210;"Fjölbýli";79900000;4;131,8;"2016-10-12";606222
"15";"Holtsvegur";210;"Fjölbýli";64900000;3;91,9;"2016-10-12";706202
"16";"Glósalir";201;"Fjölbýli";43500000;4;121,4;"2016-10-12";358320
"17";"Birkimelur";107;"Fjölbýli";39900000;3;94,7;"2016-10-12";421331
"18";"Dvergabakki";109;"Fjölbýli";27900000;3;79,4;"2016-10-12";351385
"19";"Sandholt";355;"Par/Raðhús";9800000;3;67,3;"2016-10-12";145617
"20";"Skipholt";355;"Einbýli";17000000;4;155,9;"2016-10-12";109044
"21";"Brautarholt";355;"Einbýli";20000000;5;201,4;"2016-10-12";99305
"22";"Ólafsbraut";355;"Fjölbýli";18000000;4;136,1;"2016-10-12";132256
"23";"Háarif";360;"Par/Raðhús";17800000;4;136,2;"2016-10-12";130690
"25";"Reykás";110;"Fjölbýli";29900000;2;75,5;"2016-10-12";396026
