"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Þingasel";109;"Einbýli";89900000;5;324,3;"2017-01-11";277212
"2";"Grænlandsleið";113;"Par/Raðhús";59900000;4;234,2;"2017-01-11";255764
"3";"Hrannarstígur";350;"Atvinnuhús";26000000;0;114,4;"2017-01-11";227273
"4";"Móhella";221;"Atvinnuhús";4700000;0;26,3;"2017-01-11";178707
"5";"Núpalind";201;"Fjölbýli";41500000;3;93,8;"2017-01-11";442431
"6";"Kaldakinn";220;"Fjölbýli";36900000;4;100,3;"2017-01-11";367896
"7";"Hafnargata ";230;"Fjölbýli";20500000;3;76,7;"2017-01-11";267275
"9";"Grænlandsleið ";110;"Hæðir";59900000;3;234,2;"2017-01-11";255764
"10";"Kaldakinn";220;"Hæðir";36900000;4;100,3;"2017-01-11";367896
"11";"Klausturhólar C-gata";801;"Jörð/Lóð";3500000;0;8000;"2017-01-11";438
"12";"Langamýri";210;"Fjölbýli";45900000;4;145,2;"2017-01-11";316116
"13";"Grænlandsleið";113;"Par/Raðhús";59900000;3;234,2;"2017-01-11";255764
"14";"Suðurgata";245;"Einbýli";28000000;3;136,7;"2017-01-11";204828
"15";"Brákarbraut";310;"Atvinnuhús";15900000;2;95,4;"2017-01-11";166667
"17";"Lækjarberg";221;"Einbýli";69900000;6;223,2;"2017-01-11";313172
"21";"Hvaleyrarbraut";220;"Atvinnuhús";46000000;6;113,8;"2017-01-11";404218
"23";"Nökkvavogur";104;"Fjölbýli";29900000;3;69,2;"2017-01-11";432081
"25";"Grænlandsleið";113;"Hæðir";59900000;3;234,2;"2017-01-11";255764
