"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Tröllakór";203;"Fjölbýli";47900000;4;159,8;"2016-12-29";299750
"4";"Deildarás";110;"Einbýli";84700000;8;268,6;"2016-12-29";315339
"7";"Efstaland";270;"Jörð/Lóð";14700000;0;750,6;"2016-12-29";19584
"8";"Gígjuvellir ";230;"Par/Raðhús";47800000;4;168,6;"2016-12-29";283511
"10";"Mávabraut";230;"Par/Raðhús";22000000;3;89,2;"2016-12-29";246637
"11";"Þelamörk";810;"Par/Raðhús";37000000;4;120;"2016-12-29";308333
"12";"Hverfisgata";101;"Fjölbýli";46900000;4;116,5;"2016-12-29";402575
"14";"Bjartakinn";301;"Jörð/Lóð";7900000;0;8133;"2016-12-29";971
"16";"Klapparhraun";850;"Jörð/Lóð";3600000;0;51500;"2016-12-29";70
"22";"Heiðmörk";810;"Par/Raðhús";37000000;0;116,5;"2016-12-29";317597
"24";"Svínhagi - Fitjahraun";850;"Jörð/Lóð";6900000;0;13200;"2016-12-29";523
