"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Engjavegur";800;"Einbýli";22500000;5;119;"2016-07-19";189076
"2";"Skipagata";600;"Atvinnuhús";128500000;1;468,2;"2016-07-19";274455
"3";"Kársnesbraut";200;"Fjölbýli";26000000;4;92,6;"2016-07-19";280778
"4";"Vogatunga";270;"Jörð/Lóð";15000000;0;909,3;"2016-07-19";16496
"5";"Lindarberg";221;"Par/Raðhús";65000000;4;228,6;"2016-07-19";284339
"6";"Sörlaskeið";221;"Hesthús";13000000;0;64;"2016-07-19";203125
"7";"Engjavegur";800;"Einbýli";22500000;3;119;"2016-07-19";189076
"10";"Kársnesbraut";200;"Hæðir";26000000;2;92,6;"2016-07-19";280778
"11";"Sörlaskeið ";221;"Hesthús";13000000;0;64;"2016-07-19";203125
"13";"Skipagata";600;"Fjölbýli";128500000;1;468,2;"2016-07-19";274455
"14";"Hamarstígur";600;"Einbýli";32500000;8;158,7;"2016-07-19";204789
"16";"Meðalholt";105;"Fjölbýli";32500000;3;80,6;"2016-07-19";403226
"17";"Kársnesbraut";200;"Hæðir";26000000;4;92,6;"2016-07-19";280778
"19";"Flyðrugrandi Opið Hús";107;"Fjölbýli";31900000;3;67,8;"2016-07-19";470501
"20";"Skipalón";220;"Fjölbýli";27500000;2;74,6;"2016-07-19";368633
"21";"Hlíðarvegur";580;"Fjölbýli";29000000;3;94,6;"2016-07-19";306554
"22";"Helgugata";310;"Einbýli";44400000;8;308;"2016-07-19";144156
"23";"Hlíðarvegur";580;"Fjölbýli";30000000;3;112,9;"2016-07-19";265722
"24";"Freyjubrunnur";113;"Fjölbýli";54900000;4;140,5;"2016-07-19";390747
"25";"Hlíðarvegur";580;"Fjölbýli";21500000;3;85,3;"2016-07-19";252052
