"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Gauksás";221;"Einbýli";73000000;8;283,3;"2016-08-13";257677
"2";"Stangarbraut";801;"Sumarhús";52400000;5;178;"2016-08-13";294382
"3";"Reyrengi";112;"Fjölbýli";34500000;4;97;"2016-08-13";355670
"5";"Fitjar";245;"Jörð/Lóð";27000000;0;37131;"2016-08-13";727
"6";"Miðleiti";103;"Fjölbýli";30900000;2;84,4;"2016-08-13";366114
"7";"Sólvallagata";101;"Fjölbýli";34900000;3;75,1;"2016-08-13";464714
"8";"Hagasel";109;"Einbýli";66900000;7;408,5;"2016-08-13";163770
"9";"Berjavellir";221;"Fjölbýli";39900000;4;121,9;"2016-08-13";327317
"10";"Laugavegur";105;"Fjölbýli";31900000;2;55,8;"2016-08-13";571685
"11";"Brekkuás (opið hús)";221;"Fjölbýli";29900000;2;86,9;"2016-08-13";344074
"12";"Þinghólsbraut (opið hús)";200;"Einbýli";75900000;8;309,3;"2016-08-13";245393
"13";"Vesturgata";101;"Fjölbýli";69900000;7;154;"2016-08-13";453896
"14";"Pósthússtræti";101;"Fjölbýli";74900000;3;100,4;"2016-08-13";746016
"15";"Aðalgata";230;"Einbýli";89900000;16;406,9;"2016-08-13";220939
"16";"Hörgsholt";220;"Einbýli";74900000;9;309,3;"2016-08-13";242160
"17";"Hraunbær";110;"Fjölbýli";19900000;2;38,6;"2016-08-13";515544
"18";"Tungusel ";109;"Fjölbýli";32900000;4;114;"2016-08-13";288596
"19";"Stóragerði";108;"Fjölbýli";30800000;3;95,3;"2016-08-13";323190
"20";"Ásakór";203;"Fjölbýli";29900000;2;63,7;"2016-08-13";469388
"21";"Tjarnargata *";101;"Fjölbýli";59900000;4;114;"2016-08-13";525439
"22";"Vagnhöfði";110;"Atvinnuhús";120000000;0;1015,2;"2016-08-13";118203
"23";"Sólvallagata";101;"Fjölbýli";49500000;3;79,1;"2016-08-13";625790
"24";"Huertos Ii Magnað Hús Með";1000;"Einbýli";37000000;4;106;"2016-08-13";349057
"25";"Los Viveros";1000;"Par/Raðhús";25000000;5;170;"2016-08-13";147059
