"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Barðavogur - Opið Hús";104;"Fjölbýli";44700000;4;87,8;"2017-01-07";509112
"2";"Huertos Ii Magnað Hús Með";1000;"Einbýli";32700000;4;106;"2017-01-07";308491
"3";"Seljaland";108;"Fjölbýli";15000000;1;24,4;"2017-01-07";614754
"4";"Vesturberg ";111;"Fjölbýli";31900000;4;104,1;"2017-01-07";306436
"5";"Tjarnarmýri";170;"Par/Raðhús";110000000;8;320;"2017-01-07";343750
"6";"Sunnuhlíð";603;"Fjölbýli";19900000;4;82,2;"2017-01-07";242092
"7";"Suðurhvammur ";220;"Fjölbýli";56900000;7;215,3;"2017-01-07";264282
"8";"Reykjavíkurvegur";220;"Atvinnuhús";25900000;2;143,3;"2017-01-07";180740
"9";"Oasis Hill ";1000;"Hæðir";14750000;3;66;"2017-01-07";223485
"10";"Þórsgata";101;"Fjölbýli";42900000;2;92,9;"2017-01-07";461787
"11";"Þórsgata";101;"Fjölbýli";37900000;2;74,8;"2017-01-07";506684
"13";"Garðatorg";210;"Fjölbýli";57500000;3;119,2;"2017-01-07";482383
"14";"Fellsmúli";108;"Fjölbýli";43900000;5;127,3;"2017-01-07";344855
"15";"Ægisgata - Fjárfesting";101;"Fjölbýli";62900000;4;143,2;"2017-01-07";439246
"16";"Hörpugata";101;"Einbýli";72500000;5;163;"2017-01-07";444785
"17";"Hofakur";210;"Fjölbýli";54200000;4;135,6;"2017-01-07";399705
"18";"Háseyla ";260;"Einbýli";44900000;7;181,1;"2017-01-07";247929
"19";"Hofsbót";600;"Atvinnuhús";55000000;0;212,5;"2017-01-07";258824
"20";"Leirubakki";109;"Fjölbýli";29500000;3;82;"2017-01-07";359756
"21";"Austurkór";203;"Par/Raðhús";57700000;4;175,4;"2017-01-07";328962
"22";"Sævargarðar (opið hús)";170;"Einbýli";83500000;6;192;"2017-01-07";434896
"23";"Austurkór";203;"Par/Raðhús";58500000;4;175,4;"2017-01-07";333523
"24";"Stórhöfði";110;"Atvinnuhús";99500000;6;696,6;"2017-01-07";142837
"25";"Lyngás";210;"Fjölbýli";58900000;5;131,8;"2017-01-07";446889
