"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Kirkjuland";116;"Einbýli";97000000;6;442,8;"2016-09-20";219061
"2";"Hólmvað";110;"Par/Raðhús";57500000;4;172,4;"2016-09-20";333527
"3";"Skipalón";220;"Fjölbýli";49800000;4;130,9;"2016-09-20";380443
"5";"Efristígur";801;"Sumarhús";19800000;0;75,4;"2016-09-20";262599
"6";"Bræðraborgarstígur";101;"Fjölbýli";53000000;3;120,1;"2016-09-20";441299
"7";"Grýtubakki";109;"Fjölbýli";29200000;3;86,1;"2016-09-20";339141
"8";"Sundlaugavegur";105;"Fjölbýli";45900000;4;123,3;"2016-09-20";372263
"9";"Álftarimi";800;"Fjölbýli";22500000;4;130,9;"2016-09-20";171887
"11";"Vesturgata";300;"Einbýli";24900000;4;150,4;"2016-09-20";165559
"12";"Reykjahvoll ";270;"Jörð/Lóð";19900000;0;1359;"2016-09-20";14643
"13";"Heimsendi";203;"Hesthús";11000000;0;76;"2016-09-20";144737
"14";"Bárugata";101;"Fjölbýli";73000000;5;186,7;"2016-09-20";391002
"15";"Grenigrund";200;"Fjölbýli";45900000;6;161,9;"2016-09-20";283508
"16";"Grenimelur";107;"Fjölbýli";27900000;2;81,1;"2016-09-20";344020
"17";"Heiðmörk Þelamörk";810;"Par/Raðhús";37000000;4;116;"2016-09-20";318966
"18";"Bogahlíð";105;"Fjölbýli";44500000;4;97,3;"2016-09-20";457348
"19";"Laugavegur Opið Hús";105;"Fjölbýli";35900000;2;64,6;"2016-09-20";555728
"20";"Hvaleyrarbraut";220;"Atvinnuhús";36800000;0;184,1;"2016-09-20";199891
"21";"Hvaleyrarbraut";220;"Atvinnuhús";41400000;0;207,1;"2016-09-20";199903
"22";"Hvaleyrarbraut";220;"Atvinnuhús";40900000;0;205,2;"2016-09-20";199318
"23";"Hvaleyrarbraut";220;"Atvinnuhús";39900000;0;190,1;"2016-09-20";209890
"24";"Hvaleyrarbraut";220;"Atvinnuhús";32700000;0;156,3;"2016-09-20";209213
