"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Laugavegur";101;"Einbýli";98000000;7;254;"2016-10-05";385827
"2";"Skólastræti";101;"Hæðir";59900000;7;151,7;"2016-10-05";394858
"3";"Hvassahraun";190;"Einbýli";36900000;3;123,8;"2016-10-05";298061
"4";"Borgarsíða";603;"Einbýli";43900000;5;149,4;"2016-10-05";293842
"5";"Goðanes";603;"Atvinnuhús";12900000;0;68,5;"2016-10-05";188321
"6";"Hólakot lóð";601;"Sumarhús";10500000;3;55,8;"2016-10-05";188172
"7";"Ástu-sólliljugata";270;"Jörð/Lóð";28000000;5;1068,9;"2016-10-05";26195
"8";"Ljósheimar";104;"Fjölbýli";26900000;2;53;"2016-10-05";507547
"9";"Auðbrekka";200;"Atvinnuhús";34000000;0;152,4;"2016-10-05";223097
"10";"Gran Canary Íbúð. playa Del Ingles";1000;"Fjölbýli";13200000;2;45;"2016-10-05";293333
"12";"Hjarðarhagi";107;"Fjölbýli";40900000;4;97,2;"2016-10-05";420782
"13";"Seljavegur";101;"Fjölbýli";34900000;4;81,7;"2016-10-05";427173
"14";"Lundur";200;"Fjölbýli";99000000;3;159,3;"2016-10-05";621469
"15";"Hellagata";210;"Fjölbýli";51900000;4;120,2;"2016-10-05";431780
"16";"Rjúpnasalir Opið Hús";201;"Fjölbýli";42900000;3;127,3;"2016-10-05";336999
"18";"Gyðufell";111;"Fjölbýli";24500000;3;82;"2016-10-05";298780
"19";"Þinghólsbraut";200;"Hæðir";45700000;5;138,4;"2016-10-05";330202
"20";"Klapparstígur";101;"Fjölbýli";31900000;3;78,6;"2016-10-05";405852
"21";"Smalaholt";801;"Sumarhús";9700000;0;60;"2016-10-05";161667
"22";"Tröllateigur";270;"Par/Raðhús";56500000;4;166,7;"2016-10-05";338932
"23";"Tjarnarmói";800;"Par/Raðhús";26400000;4;165;"2016-10-05";160000
"25";"Kiðjaberg";801;"Sumarhús";37000000;5;127;"2016-10-05";291339
