"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Þrastarás";221;"Fjölbýli";48900000;5;125,2;"2016-11-22";390575
"2";"Miðvangur";220;"Fjölbýli";29900000;3;79,5;"2016-11-22";376101
"3";"Melhagi";107;"Hæðir";79000000;7;196,7;"2016-11-22";401627
"4";"Mánatún";105;"Fjölbýli";59900000;3;130,5;"2016-11-22";459004
"5";"Garðatorg";210;"Atvinnuhús";18900000;0;68,7;"2016-11-22";275109
"6";"Gerðavegur";250;"Fjölbýli";10500000;4;94,4;"2016-11-22";111229
"7";"Flyðrugrandi ";107;"Fjölbýli";31900000;3;67,8;"2016-11-22";470501
"8";"Holtsvegur";210;"Fjölbýli";69900000;3;106,1;"2016-11-22";658812
"9";"Búðarflöt";225;"Einbýli";93900000;5;179,6;"2016-11-22";522829
"10";"Norðurtangi";603;"Atvinnuhús";16000000;1;75;"2016-11-22";213333
"11";"Frakkastígur";101;"Fjölbýli";37900000;3;74,6;"2016-11-22";508043
"12";"Víkurgata";340;"Einbýli";31900000;3;115,9;"2016-11-22";275237
"13";"Árakur";210;"Fjölbýli";45700000;3;103,6;"2016-11-22";441120
"14";"Þangbakki";109;"Fjölbýli";29900000;2;68,9;"2016-11-22";433962
"15";"Kálfhólabyggð, Stóra Fjall";311;"Sumarhús";14500000;4;53,4;"2016-11-22";271536
"16";"Kálfhólabyggð-stóra Fjall";311;"Sumarhús";8900000;3;53,6;"2016-11-22";166045
"17";"Suðurgata";220;"Fjölbýli";29900000;3;84,4;"2016-11-22";354265
"18";"Suðurgata";220;"Einbýli";72000000;7;312,7;"2016-11-22";230253
"20";"Nátthagi";551;"Par/Raðhús";17000000;4;110,7;"2016-11-22";153568
"21";"Nátthagi";551;"Par/Raðhús";13000000;3;78,4;"2016-11-22";165816
"22";"Sólvallagata";101;"Fjölbýli";49500000;4;101,3;"2016-11-22";488648
"23";"Auðbrekka";200;"Atvinnuhús";98000000;2;597,4;"2016-11-22";164044
"24";"Helgubraut";200;"Par/Raðhús";64900000;7;288,5;"2016-11-22";224957
"25";"Bakkastaðir";112;"Fjölbýli";37900000;3;99,8;"2016-11-22";379760
