"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Kópavogsgerði";200;"Fjölbýli";54500000;3;130,9;"2017-01-28";416348
"2";"Kópavogsgerði";200;"Fjölbýli";53500000;3;129,1;"2017-01-28";414407
"3";"Kópavogsgerði";200;"Fjölbýli";53900000;3;131,6;"2017-01-28";409574
"4";"Vesturbraut - Opið Hús";220;"Fjölbýli";24500000;2;37,3;"2017-01-28";656836
"5";"Þórsgata - Opið Hús";101;"Fjölbýli";31900000;3;57,7;"2017-01-28";552860
"6";"Barðavogur - Opið Hús";104;"Fjölbýli";44700000;4;87,8;"2017-01-28";509112
"7";"Maríubaugur";113;"Par/Raðhús";66500000;6;202,5;"2017-01-28";328395
"9";"Hafnarstræti";600;"Fjölbýli";22800000;2;64,3;"2017-01-28";354588
"10";"Fljótsbakki";861;"Jörð/Lóð";33500000;0;108,5;"2017-01-28";308756
"11";"Kríuás";221;"Fjölbýli";42900000;4;122,4;"2017-01-28";350490
"12";"Garðatorg";210;"Fjölbýli";74900000;4;138,5;"2017-01-28";540794
"13";"Útkot D Og E Einbýli Og Land Kjalar";116;"Jörð/Lóð";76000000;0;279,66;"2017-01-28";271759
"15";"Hafnarstræti";600;"Fjölbýli";22900000;2;57,8;"2017-01-28";396194
"16";"Fornhagi";107;"Fjölbýli";44900000;4;99,4;"2017-01-28";451710
"17";"Hvammabraut";220;"Fjölbýli";35500000;4;126,6;"2017-01-28";280411
"18";"Þrándarlundur land";801;"Einbýli";59000000;6;317,5;"2017-01-28";185827
"19";"Tunguvegur";108;"Par/Raðhús";44900000;5;110,5;"2017-01-28";406335
"20";"Sævargarðar (opið hús)";170;"Einbýli";79900000;6;192;"2017-01-28";416146
"21";"Fensalir";201;"Fjölbýli";40900000;3;100,7;"2017-01-28";406157
"22";"Hjarðarhagi";107;"Fjölbýli";36900000;3;72,3;"2017-01-28";510373
"23";"Vættaborgir";112;"Einbýli";89500000;6;262,9;"2017-01-28";340434
"24";"Vallakór";203;"Fjölbýli";51900000;3;142,6;"2017-01-28";363955
"25";"Selásbraut";110;"Par/Raðhús";69800000;5;234,7;"2017-01-28";297401
