"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Burknavellir";221;"Fjölbýli";47900000;4;158,2;"2016-08-08";302781
"2";"Skeiðarvogur";104;"Fjölbýli";48200000;5;141,8;"2016-08-08";339915
"3";"Flúðasel";109;"Fjölbýli";31900000;4;123,1;"2016-08-08";259139
"4";"Gnitaheiði";200;"Par/Raðhús";65000000;4;198,33;"2016-08-08";327737
"5";"Kópavogsgerði";200;"Fjölbýli";53500000;3;129,1;"2016-08-08";414407
"7";"Álftarimi";800;"Fjölbýli";22900000;4;134,9;"2016-08-08";169755
"9";"Lindarbraut";170;"Fjölbýli";47900000;4;116,7;"2016-08-08";410454
"10";"Skyggnisbraut";801;"Sumarhús";17900000;3;55,8;"2016-08-08";320789
"11";"Lundur";200;"Fjölbýli";51000000;3;105,4;"2016-08-08";483871
"12";"Strikið";210;"Fjölbýli";39500000;2;92,8;"2016-08-08";425647
"13";"Borgarbraut";310;"Atvinnuhús";8900000;0;86,3;"2016-08-08";103129
"14";"Háholt";300;"Hæðir";24900000;3;139,8;"2016-08-08";178112
"15";"Ölduslóð/einstakt Útsýni";220;"Fjölbýli";56900000;6;217,8;"2016-08-08";261249
"17";"Þórólfsgata";310;"Einbýli";37500000;4;217,5;"2016-08-08";172414
"18";"Kvíslartunga";270;"Einbýli";77900000;5;225;"2016-08-08";346222
"19";"Hlíðarvegur";200;"Fjölbýli";34900000;3;93,3;"2016-08-08";374062
"20";"Kotárgerði";600;"Einbýli";58900000;8;252,2;"2016-08-08";233545
"21";"Tröllateigur";270;"Fjölbýli";49900000;5;150;"2016-08-08";332667
"22";"Sörlaskjól";107;"Einbýli";110000000;7;282,1;"2016-08-08";389933
"24";"Baldursgata";101;"Fjölbýli";37900000;3;73,2;"2016-08-08";517760
"25";"Búðagerði";108;"Hæðir";18000000;2;48;"2016-08-08";375000
