"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Brákarbraut ";310;"Fjölbýli";22900000;3;99,3;"2016-08-16";230614
"2";"Akurbraut";260;"Par/Raðhús";33900000;3;133,7;"2016-08-16";253553
"3";"Hólabraut";220;"Fjölbýli";25900000;3;85,9;"2016-08-16";301513
"5";"Ármúli ";108;"Atvinnuhús";320000;11;250;"2016-08-16";1280
"6";"Hafnarstræti ";600;"Fjölbýli";17400000;2;53,2;"2016-08-16";327068
"7";"Vogatunga";270;"Par/Raðhús";38900000;4;161,1;"2016-08-16";241465
"8";"Vogatunga";270;"Par/Raðhús";38900000;4;160,7;"2016-08-16";242066
"10";"Fífumói";260;"Fjölbýli";16400000;3;58,4;"2016-08-16";280822
"11";"Sævangur/þrjár íbúðir";220;"Hæðir";76500000;7;387,9;"2016-08-16";197216
"12";"Drekavellir";221;"Par/Raðhús";49900000;4;156,9;"2016-08-16";318037
"13";"Sómatún";600;"Fjölbýli";29500000;3;97;"2016-08-16";304124
"14";"Þinghólsbraut";200;"Hæðir";59900000;4;175;"2016-08-16";342286
"15";"Eyktarás";110;"Einbýli";95800000;10;325;"2016-08-16";294769
"16";"Stigahlíð";105;"Fjölbýli";30900000;3;83;"2016-08-16";372289
"17";"Maríubakki";109;"Fjölbýli";31500000;3;99,1;"2016-08-16";317861
"18";"Sörlaskeið ";220;"Hesthús";19000000;0;82,6;"2016-08-16";230024
"19";"Jöklafold";112;"Hæðir";53900000;4;192,1;"2016-08-16";280583
"20";"Stekkjarbrekka Laus Leiga Sala";730;"Par/Raðhús";24800000;5;128,9;"2016-08-16";192397
"21";"Lækjarmelur";301;"Einbýli";34900000;5;231,2;"2016-08-16";150952
"22";"Óðinsgata";101;"Hæðir";25000000;2;38,9;"2016-08-16";642674
"23";"Ránargata";101;"Fjölbýli";24500000;2;43,1;"2016-08-16";568445
"25";"Njálsgata";101;"Studio";21900000;1;30,8;"2016-08-16";711039
