"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Tjarnholtsmýri";801;"Jörð/Lóð";8900000;2;289,9;"2016-08-09";30700
"2";"Sölkugata ";271;"Par/Raðhús";67900000;5;205,2;"2016-08-09";330897
"3";"Heiðarholt";230;"Fjölbýli";18400000;3;84,2;"2016-08-09";218527
"5";"Borgarbraut ";310;"Fjölbýli";28500000;3;103,4;"2016-08-09";275629
"6";"Hvalvík";230;"Atvinnuhús";6900000;0;41,7;"2016-08-09";165468
"7";"Lindasmári";201;"Fjölbýli";47900000;6;152,8;"2016-08-09";313482
"8";"Hallkelshólar ";801;"Sumarhús";20900000;4;62,2;"2016-08-09";336013
"9";"Hringbraut";101;"Fjölbýli";33900000;4;94,1;"2016-08-09";360255
"10";"**skipholt";105;"Fjölbýli";265000;4;134,8;"2016-08-09";1966
"11";"Hólmbergsbraut";230;"Atvinnuhús";30900000;0;292;"2016-08-09";105822
"12";"Hraunbær";110;"Fjölbýli";22200000;2;59,9;"2016-08-09";370618
"13";"Digranesvegur";200;"Fjölbýli";31900000;2;97,7;"2016-08-09";326510
"14";"Kleppsvegur";105;"Fjölbýli";36900000;4;108,7;"2016-08-09";339466
"15";"Hvassahraun";190;"Sumarhús";37000000;3;123,8;"2016-08-09";298869
"17";"Eyktarás ";110;"Einbýli";95800000;10;326,2;"2016-08-09";293685
"18";"Eyktarás";110;"Fjölbýli";28900000;3;75,3;"2016-08-09";383798
"19";"Heiðmörk";810;"Par/Raðhús";21000000;3;76;"2016-08-09";276316
"20";"Samtún / Laus Strax";105;"Fjölbýli";21500000;2;39,7;"2016-08-09";541562
"21";"Gerplustræti";270;"Fjölbýli";44900000;4;144,8;"2016-08-09";310083
"22";"Unufell";111;"Fjölbýli";30500000;4;97,7;"2016-08-09";312180
"23";"Þúfubarð";220;"Fjölbýli";34900000;4;109,4;"2016-08-09";319013
"24";"Grænatunga";200;"Einbýli";63800000;7;245,9;"2016-08-09";259455
"25";"Galtalind";201;"Fjölbýli";54900000;6;191,2;"2016-08-09";287134
