"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"3";"Vanabyggð";600;"Par/Raðhús";35700000;6;145,6;"2017-02-16";245192
"4";"Brekkugata";220;"Einbýli";57900000;8;201,4;"2017-02-16";287488
"5";"Mánatún ";105;"Fjölbýli";55900000;2;109,3;"2017-02-16";511436
"6";"Mánatún ";105;"Fjölbýli";59900000;2;114,5;"2017-02-16";523144
"7";"Mánatún ";105;"Fjölbýli";53900000;3;109,8;"2017-02-16";490893
"8";"Mánatún ";105;"Fjölbýli";49900000;2;110;"2017-02-16";453636
"9";"Maltakur ";210;"Fjölbýli";53900000;3;116,6;"2017-02-16";462264
"10";"Strandgata";220;"Fjölbýli";46900000;3;97,9;"2017-02-16";479060
"11";"Skólavörðustígur";101;"Fjölbýli";63900000;3;113,2;"2017-02-16";564488
"12";"Tunguvegur";108;"Par/Raðhús";41900000;5;111,9;"2017-02-16";374441
"13";"Hraunbær";110;"Fjölbýli";37500000;2;68,9;"2017-02-16";544267
"17";"Barmahlíð";105;"Fjölbýli";31900000;2;48,9;"2017-02-16";652352
"18";"Hringbraut";101;"Fjölbýli";36500000;3;74,2;"2017-02-16";491914
"20";"Sögusteinn Einbýlishús Ölfusi ";801;"Jörð/Lóð";95000000;4;272,4;"2017-02-16";348752
"21";"Vindakór";203;"Fjölbýli";39900000;4;141,9;"2017-02-16";281184
"22";"Gvendargeisli";113;"Fjölbýli";41700000;4;117,9;"2017-02-16";353690
"23";"Breiðvangur";220;"Hæðir";59900000;8;222,4;"2017-02-16";269335
"24";"Smárabraut";540;"Par/Raðhús";22000000;3;97,8;"2017-02-16";224949
"25";"Meistaravellir";107;"Fjölbýli";39600000;3;83,2;"2017-02-16";475962
