"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Miðbraut";170;"Hæðir";59900000;5;157,8;"2016-11-03";379594
"2";"Lundarbrekka";200;"Fjölbýli";32800000;3;100,3;"2016-11-03";327019
"3";"Illagil";801;"Sumarhús";69500000;6;178,6;"2016-11-03";389138
"4";"Klettatún";600;"Par/Raðhús";45500000;4;139,5;"2016-11-03";326165
"5";"Ljósavík";112;"Fjölbýli";52900000;4;148,3;"2016-11-03";356709
"6";"Sunnuflöt";210;"Einbýli";112500000;7;277,1;"2016-11-03";405991
"8";"Lundur";200;"Fjölbýli";87500000;3;158,2;"2016-11-03";553097
"9";"Lundur";200;"Fjölbýli";79800000;3;143;"2016-11-03";558042
"10";"Lundur";200;"Fjölbýli";59500000;3;121,4;"2016-11-03";490115
"11";"Lundur";200;"Fjölbýli";67000000;3;137,4;"2016-11-03";487627
"12";"Lundur";200;"Fjölbýli";79800000;3;148,8;"2016-11-03";536290
"13";"Lundur";200;"Fjölbýli";63500000;3;122,3;"2016-11-03";519215
"14";"Lundur";200;"Fjölbýli";74000000;3;144;"2016-11-03";513889
"15";"Lundur";200;"Fjölbýli";69500000;3;142,2;"2016-11-03";488748
"16";"Lundur";200;"Fjölbýli";76800000;3;145,6;"2016-11-03";527473
"17";"Lundur";200;"Fjölbýli";78000000;4;151,6;"2016-11-03";514512
"18";"Lundur";200;"Fjölbýli";74800000;3;143,8;"2016-11-03";520167
"19";"Lundur";200;"Fjölbýli";77800000;3;143,9;"2016-11-03";540653
"20";"Lundur";200;"Fjölbýli";78000000;3;131,9;"2016-11-03";591357
"21";"Lundur";200;"Fjölbýli";59800000;3;123;"2016-11-03";486179
"22";"Lundur";200;"Fjölbýli";129000000;4;194,4;"2016-11-03";663580
"23";"Lundur";200;"Fjölbýli";74000000;4;153,2;"2016-11-03";483029
"24";"Lundur";200;"Fjölbýli";76800000;3;148,8;"2016-11-03";516129
"25";"Lundur";200;"Fjölbýli";59500000;3;120,5;"2016-11-03";493776
