"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"2";"Klettaborg";600;"Einbýli";78000000;5;248,3;"2016-11-30";314136
"3";"Holtsvegur";210;"Fjölbýli";44900000;3;105,6;"2016-11-30";425189
"4";"Grænakinn";220;"Fjölbýli";29900000;3;72,2;"2016-11-30";414127
"5";"Langalína ";210;"Fjölbýli";85000000;3;189,3;"2016-11-30";449023
"6";"Langalína ";210;"Fjölbýli";57000000;3;116,2;"2016-11-30";490534
"7";"Skúlagata";101;"Fjölbýli";42200000;2;83,7;"2016-11-30";504182
"8";"Vatnsendahlíð";311;"Sumarhús";31900000;4;105,4;"2016-11-30";302657
"9";"Heiðargerði";190;"Par/Raðhús";24900000;3;76;"2016-11-30";327632
"10";"Garðatorg";210;"Fjölbýli";74800000;4;143,1;"2016-11-30";522711
"12";"Garðatorg";210;"Fjölbýli";85500000;4;137,3;"2016-11-30";622724
"13";"Garðatorg";210;"Fjölbýli";85000000;4;143,1;"2016-11-30";593990
"14";"Lyngás";210;"Fjölbýli";46500000;4;106,5;"2016-11-30";436620
"15";"Markland";108;"Fjölbýli";35900000;3;74,2;"2016-11-30";483827
"16";"Laugavegur";101;"Fjölbýli";57800000;2;66,8;"2016-11-30";865269
"17";"Laugavegur";101;"Fjölbýli";73500000;3;97,4;"2016-11-30";754620
"18";"Lindargata";101;"Fjölbýli";33500000;2;52,9;"2016-11-30";633270
"19";"Laugavegur";101;"Fjölbýli";80100000;3;106,2;"2016-11-30";754237
"20";"Laugavegur";101;"Fjölbýli";81500000;3;106,9;"2016-11-30";762395
"21";"Laugavegur";101;"Fjölbýli";83500000;3;110,8;"2016-11-30";753610
"22";"Leirubakki";109;"Fjölbýli";35900000;5;118,9;"2016-11-30";301934
"23";"Hjarðarhagi";107;"Fjölbýli";40900000;3;90,8;"2016-11-30";450441
"24";"Laugavegur";101;"Fjölbýli";70300000;3;87,8;"2016-11-30";800683
"25";"Laugavegur";101;"Fjölbýli";64600000;3;84,1;"2016-11-30";768133
