"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"846";"Mánatún";105;"Fjölbýli";52400000;3;108,4;483395
"847";"Skógarás";110;"Hæðir";47000000;4;212,5;221176
"848";"Furugrund";200;"Fjölbýli";25500000;2;56,1;454545
"849";"Óðinsgata ";101;"Fjölbýli";29000000;2;56,2;516014
"851";"Mýrargata";740;"Par/Raðhús";19800000;5;114,1;173532
"852";"Hraunbær";110;"Fjölbýli";22500000;2;58,7;383305
"853";"Mánatún";105;"Fjölbýli";56500000;3;129,5;436293
"854";"Bakkasmári";201;"Par/Raðhús";67900000;6;182,7;371648
"855";"Trönuhraun";220;"Atvinnuhús";26300000;0;140;187857
"856";"Laufvangur";220;"Fjölbýli";31900000;4;121,5;262551
"857";"Skipasund";104;"Fjölbýli";32000000;4;82,3;388821
"859";"Kirkjuvegur";625;"Fjölbýli";14500000;6;170,2;85194
