"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"904";"Hlíðarvegur";200;"Fjölbýli";53000000;4;120;441667
"905";"Helluhóll";360;"Einbýli";23300000;4;156,9;148502
"907";"Grandavegur";107;"Fjölbýli";44900000;4;105;427619
"908";"Skógarvegur";108;"Fjölbýli";64800000;3;116,9;554320
"909";"Skógarvegur";108;"Fjölbýli";93000000;4;161,3;576565
"910";"Skógarvegur";108;"Fjölbýli";72100000;3;126,5;569960
"911";"Skógarvegur";108;"Fjölbýli";64800000;3;121,6;532895
"912";"Mosgerði";108;"Hæðir";27500000;5;73,5;374150
"913";"Mosgerði, allt húsið";108;"Fjölbýli";65000000;12;200;325000
"914";"Skógarvegur";108;"Fjölbýli";65800000;3;122,5;537143
"915";"Skógarvegur";108;"Fjölbýli";84800000;4;160,9;527035
"916";"Skógarvegur";108;"Fjölbýli";61800000;3;119;519328
"917";"Skógarvegur";108;"Fjölbýli";61800000;3;119,1;518892
"918";"Skógarvegur";108;"Fjölbýli";84800000;4;160,8;527363
"919";"Skógarvegur";108;"Fjölbýli";61800000;3;115,3;535993
"920";"Skógarvegur";108;"Fjölbýli";83800000;4;162,2;516646
"921";"Skógarvegur";108;"Fjölbýli";62800000;3;122,3;513491
"922";"Skógarvegur";108;"Fjölbýli";62800000;3;116,8;537671
"923";"Skógarvegur";108;"Fjölbýli";61800000;3;120,2;514143
"924";"Skógarvegur";108;"Fjölbýli";63800000;3;121,4;525535
"925";"Skógarvegur";108;"Fjölbýli";62800000;3;111,6;562724
"926";"Goðatún";210;"Einbýli";59900000;7;203,1;294929
"927";"Dúfnahólar";111;"Fjölbýli";28900000;4;103;280583
"928";"Arnarsmári";201;"Fjölbýli";34900000;3;83,1;419976
"929";"Aftanhæð";210;"Par/Raðhús";62000000;6;178,3;347729
"930";"Engjasel";109;"Fjölbýli";32500000;4;120,5;269710
"931";"Rauðagerði";108;"Einbýli";83000000;6;262,6;316070
"932";"Hrólfsskálamelur";170;"Fjölbýli";42900000;2;73,8;581301
"933";"Þorláksgeisli";113;"Fjölbýli";35900000;3;101,1;355094
"934";"Lindasmári";201;"Par/Raðhús";74900000;7;238,3;314310
"935";"Fluguvellir";210;"Hesthús";9200000;0;80,6;114144
"937";"Háaleiti";230;"Einbýli";55000000;9;282,6;194621
"938";"Kotvöllur";861;"Sumarhús";33000000;4;102,3;322581
"939";"Furuberg";221;"Einbýli";54900000;5;186,5;294370
"940";"Valhallarstígur Syðri";801;"Sumarhús";52000000;0;81,1;641184
"942";"Hnaus";801;"Jörð/Lóð";30000000;0;380000;79
"943";"Efra-nes";311;"Jörð/Lóð";200000000;0;911;219539
"944";"Hraunbær";110;"Fjölbýli";22900000;2;61,4;372964
"945";"Skógarvegur";108;"Fjölbýli";62800000;0;117,7;533560
"946";"Miðengi ";801;"Sumarhús";22900000;2;48,5;472165
"947";"Garðatorg";210;"Fjölbýli";48800000;3;106,9;456501
"948";"Langirimi ";112;"Atvinnuhús";150000;0;93,9;1597
"949";"Grenibyggð";270;"Par/Raðhús";51600000;5;164,7;313297
"950";"Auðsholt";845;"Jörð/Lóð";60000000;0;345767,3;174
"951";"Lambastaðabraut";170;"Hæðir";39900000;4;106,3;375353
"952";"Andrésbrunnur";113;"Fjölbýli";39900000;5;125,6;317675
"953";"Hátún";105;"Fjölbýli";32800000;2;73,1;448700
"954";"Lautasmári";201;"Fjölbýli";39900000;4;132,5;301132
"955";"Sómatún";600;"Einbýli";82600000;7;266,7;309711
"956";"Selhella";221;"Atvinnuhús";145500000;6;693,3;209866
"958";"Njálsgata";101;"Fjölbýli";31900000;3;54,4;586397
"959";"Gilsbakki";860;"Einbýli";33900000;5;178,5;189916
"960";"Lyngháls";110;"Atvinnuhús";140000000;0;835,4;167584
"961";"Markarflöt";210;"Fjölbýli";58000000;5;211;274882
"962";"Sunnuhlíð";603;"Einbýli";42900000;5;186,9;229535
"963";"Goðheimar";104;"Hæðir";56900000;6;175,1;324957
"964";"Seilugrandi";107;"Fjölbýli";34500000;3;110,5;312217
"965";"Leirdalur";260;"Einbýli";51000000;5;241;211618
"966";"Stangarholt";105;"Fjölbýli";44900000;5;140,4;319801
"967";"Nönnubrunnur";113;"Jörð/Lóð";43000000;5;210,8;203985
"969";"Goðahraun";900;"Einbýli";33000000;6;220,8;149457
"970";"Dynhvammur ";311;"Jörð/Lóð";8500000;0;3343;2543
"973";"Hallkelshólar lóð";801;"Sumarhús";14900000;3;44,7;333333
"974";"Kvíaholt";310;"Einbýli";35500000;7;205,1;173086
"975";"Álfkonuhvarf";203;"Fjölbýli";33900000;3;105,4;321632
"976";"Mávahlíð";105;"Fjölbýli";39500000;3;91;434066
"977";"Maríubaugur";113;"Fjölbýli";38500000;4;120;320833
"979";"Eskivellir";221;"Fjölbýli";30900000;3;87,5;353143
"980";"Auðbrekka";200;"Atvinnuhús";38900000;1;221,4;175700
"981";"Þinghólsbraut";200;"Fjölbýli";26000000;3;74,8;347594
"982";"Holtsvegur";210;"Fjölbýli";41900000;3;104,9;399428
"983";"Eiðistorg";170;"Atvinnuhús";45000000;3;183,9;244698
"984";"Rofabær";110;"Atvinnuhús";145000;0;120;1208
"985";"Laufás";210;"Fjölbýli";44900000;6;166;270482
"986";"Hnotuberg";220;"Einbýli";54000000;5;170,7;316344
"987";"Hagamelur";107;"Fjölbýli";49500000;5;116,9;423439
"989";"Dalprýði";210;"Par/Raðhús";69900000;4;201,4;347071
"990";"Hlíðarás";270;"Hæðir";39700000;4;139,8;283977
"991";"Hjallabraut";220;"Fjölbýli";29900000;3;102,4;291992
"992";"Álfaskeið";220;"Fjölbýli";26500000;2;90,8;291850
"993";"Skipasund";104;"Hæðir";44000000;6;117,2;375427
"994";"Öndverðarnes";801;"Sumarhús";17900000;4;66,9;267564
"995";"Skipalón";220;"Fjölbýli";52800000;4;153,8;343303
"996";"Hrólfsskálamelur";170;"Fjölbýli";42900000;2;74,8;573529
"997";"Foldahraun-";900;"Fjölbýli";15800000;4;99,3;159114
"998";"Frakkastígur";101;"Fjölbýli";27900000;2;51;547059
"999";"Aðalþing";203;"Par/Raðhús";84900000;7;275;308727
"1001";"Bræðraborgarstígur ";101;"Fjölbýli";45900000;3;102,8;446498
"1003";"Bólstaðarhlíð";105;"Fjölbýli";30500000;4;93,5;326203
"1004";"Lækjasmári";201;"Fjölbýli";27900000;2;67,2;415179
"1008";"Breiðvangur";220;"Fjölbýli";33900000;5;146;232192
"1009";"A-tröð";110;"Hesthús";18000000;0;285;63158
"1010";"B gata";110;"Hesthús";33900000;0;217,2;156077
"1011";"Stórhöfði";110;"Atvinnuhús";75000000;6;345,1;217328
"1012";"Ártún";800;"Einbýli";20900000;5;107,3;194781
"1013";"Beykiskógar";300;"Par/Raðhús";41900000;4;155,6;269280
"1014";"Stórhöfði";112;"Atvinnuhús";75000000;10;345,1;217328
"1016";"Eskivellir";220;"Fjölbýli";32900000;4;109,2;301282
"1017";"Holtabraut";801;"Einbýli";28500000;5;181,5;157025
"1018";"Lyngberg";815;"Einbýli";33900000;8;211,6;160208
"1019";"Fagrakinn";220;"Einbýli";56000000;6;153,2;365535
"1020";"Þrándartún";801;"Sumarhús";19900000;4;114,6;173647
"1021";"Þrándartún";801;"Einbýli";19900000;4;114,6;173647
"1022";"Borgarbraut";310;"Atvinnuhús";18500000;0;130,8;141437
"1023";"Rósarimi";112;"Fjölbýli";32500000;3;94,4;344280
"1025";"Vallargata";245;"Einbýli";16900000;5;166,3;101624
"1029";"Jaðarsbraut";300;"Fjölbýli";15600000;3;107,7;144847
"1030";"Heiðarbrún";810;"Par/Raðhús";29800000;6;189,2;157505
"1031";"D-tröð";110;"Sumarhús";10000000;0;285;35088
"1032";"Garðatorg";210;"Fjölbýli";85000000;4;143,1;593990
"1034";"Garðatorg";210;"Fjölbýli";74800000;4;143,1;522711
"1035";"Garðatorg";210;"Fjölbýli";72800000;4;143,3;508025
"1036";"Álakvísl";110;"Par/Raðhús";42500000;4;116;366379
"1037";"Bergþórugata";101;"Fjölbýli";17900000;2;35,1;509972
"1040";"Garðatorg";210;"Fjölbýli";85500000;4;137,3;622724
"1043";"Grandahvarf";203;"Hæðir";54900000;4;149,3;367716
"1044";"Þúfa";276;"Sumarhús";15900000;3;79,9;198999
"1045";"Svínhagi - Fitjahraun ";850;"Jörð/Lóð";7729000;0;13200;586
"1046";"Skólabraut";300;"Hæðir";18900000;4;130,2;145161
"1047";"Kötlufell";111;"Fjölbýli";21500000;2;62,8;342357
"1048";"Selvað";110;"Fjölbýli";41900000;4;114,3;366579
"1049";"Seljuskógar ";300;"Einbýli";52900000;6;229,8;230200
"1051";"Keilusíða ";603;"Fjölbýli";16500000;2;67,6;244083
"1052";"Borgarheiði";810;"Par/Raðhús";25000000;3;88,2;283447
"1054";"Dagverðarnes";311;"Sumarhús";16200000;4;42,2;383886
"1055";"Faxagrund";230;"Hesthús";9500000;0;99,4;95573
"1056";"Brekkuhvarf";203;"Einbýli";89000000;4;277,2;321068
"1057";"Engihjalli";200;"Fjölbýli";29900000;4;107,9;277108
"1058";"Stekkjarberg";221;"Fjölbýli";26400000;3;78,2;337596
"1059";"Hraunbær";110;"Fjölbýli";20900000;2;55;380000
"1060";"Strandgata ";735;"Einbýli";17500000;5;177;98870
"1061";"Þrándarstaðir ";701;"Einbýli";29900000;4;205;145854
"1062";"Laxatunga";270;"Par/Raðhús";38900000;4;207;187923
"1063";"Brekkutangi";270;"Par/Raðhús";59900000;8;308,3;194291
"1064";"Hraunbær ";110;"Fjölbýli";34900000;5;112;311607
"1065";"Miðhof";845;"Einbýli";38000000;6;200,9;189149
"1067";"Engjavegur";400;"Hæðir";15000000;5;129,2;116099
"1068";"Logafold";112;"Par/Raðhús";74900000;7;281,5;266075
"1069";"Norðurtröð";800;"Hesthús";4200000;0;735;5714
"1072";"Langamýri";800;"Par/Raðhús";31200000;4;154,3;202203
"1073";"Vesturbyggð";801;"Einbýli";27900000;5;135,8;205449
"1074";"Vesturgata";101;"Fjölbýli";44900000;3;115,8;387737
"1075";"Álfheimar";104;"Fjölbýli";35900000;3;95;377895
"1076";"Strikið";210;"Fjölbýli";34900000;2;82,6;422518
"1077";"Reykás";110;"Fjölbýli";27900000;2;101,2;275692
"1078";"Campoamor Orihuela Costa, Costa Bla";1000;"Einbýli";94000000;5;180;522222
"1079";"Svarðbæli";531;"Jörð/Lóð";20000000;0;538,6;37133
"1080";"Brekkubraut";300;"Einbýli";45000000;6;203,4;221239
"1081";"Miðholt ";220;"Fjölbýli";45900000;6;175,2;261986
"1082";"Lyngrimi";112;"Einbýli";63900000;4;181,6;351872
"1083";"Suðurgata";245;"Einbýli";26200000;3;136,7;191661
"1084";"Háeyrarvellir";820;"Einbýli";26900000;5;250;107600
"1085";"Smáragata";101;"Hæðir";49900000;3;97,7;510747
"1086";"Hjallalundur";600;"Fjölbýli";19900000;2;59,1;336717
"1088";"Garðprýði";210;"Jörð/Lóð";14900000;0;1440;10347
"1089";"Laugavegur";101;"Atvinnuhús";45000000;1;80;562500
"1091";"Höfðasel";300;"Atvinnuhús";54000000;3;717,5;75261
"1092";"Jörundarholt";300;"Einbýli";39900000;7;273,2;146047
"1093";"Efri-brúnavellir ";801;"Sumarhús";25900000;4;79,9;324155
"1094";"Grandahvarf";203;"Fjölbýli";48900000;4;130,9;373568
"1095";"Laut";240;"Fjölbýli";20900000;3;90,4;231195
"1097";"Strandvegur";900;"Fjölbýli";28000000;3;169,6;165094
"1099";"Óðinsvellir";230;"Einbýli";52000000;8;255;203922
"1100";"Miðholt";220;"Fjölbýli";45900000;4;175,2;261986
"1101";"Laugavegur";101;"Fjölbýli";69900000;3;136,8;510965
"1102";"Strandvegur";900;"Atvinnuhús";38000000;0;828,7;45855
"1103";"Miðholt";220;"Hæðir";45900000;5;175,2;261986
"1106";"Hjallabraut ";815;"Einbýli";13000000;4;120;108333
"1108";"Miðholt ";220;"Par/Raðhús";45900000;5;175,2;261986
"1110";"Skarðshlíð";603;"Fjölbýli";22900000;4;82,2;278589
"1115";"Langholtsvegur";104;"Fjölbýli";24900000;2;54,7;455210
"1116";"Kirkjuteigur";105;"Fjölbýli";26400000;2;65,9;400607
"1117";"Garðatorg";210;"Fjölbýli";59900000;3;126,5;473518
"1118";"Grettisgata";101;"Fjölbýli";36900000;3;81,2;454433
"1119";"Vallakór";203;"Fjölbýli";44900000;3;137,8;325835
"1120";"Holtsgata";260;"Fjölbýli";17000000;4;73,8;230352
"1121";"Lækjarbakki";801;"Sumarhús";23600000;4;75,9;310935
"1122";"Reykjahlíð";105;"Hæðir";71900000;5;227,6;315905
"1123";"Holtsvegur";210;"Fjölbýli";44900000;3;111,4;403052
"1124";"Baugakór ";203;"Fjölbýli";53900000;5;172,4;312645
"1126";"Desjakór";203;"Einbýli";87500000;5;262,2;333715
"1127";"Rauðás";110;"Fjölbýli";29900000;3;79,5;376101
"1128";"Efstahraun";240;"Par/Raðhús";27200000;5;150;181333
"1129";"Víkurbraut";240;"Einbýli";17400000;5;107,7;161560
"1130";"Glæsivellir";240;"Einbýli";55000000;6;272,4;201909
"1140";"Kjarrheiði";810;"Par/Raðhús";36900000;5;162,6;226937
"1141";"Eyravegur";800;"Atvinnuhús";140000000;0;942,3;148573
"1142";"Aðaltjörn";800;"Par/Raðhús";35500000;4;144,5;245675
"1143";"Austurgerði";108;"Einbýli";93400000;8;356,6;261918
"1144";"Drápuhlíð";105;"Fjölbýli";32900000;4;74,7;440428
"1145";"Vatnsendahlíð";311;"Sumarhús";15500000;4;50;310000
"1148";"Hraunbær";110;"Fjölbýli";35900000;5;130,6;274885
"1149";"Laxakvísl";110;"Par/Raðhús";66000000;6;202,8;325444
"1150";"Blómvangur";220;"Hæðir";44900000;7;157,3;285442
"1151";"Rekagrandi";107;"Fjölbýli";26900000;2;52,2;515326
"1152";"Reykás";110;"Fjölbýli";31500000;3;92;342391
"1153";"Grandavegur";107;"Fjölbýli";32900000;2;73,5;447619
"1154";"Miklabraut";105;"Fjölbýli";27300000;2;64;426562
"1155";"Vatnsnesvegur";230;"Atvinnuhús";78000000;0;977,8;79771
"1156";"Fjarðargata ";470;"Fjölbýli";8500000;4;123,6;68770
"1158";"Hörðukór";203;"Fjölbýli";42900000;4;126,4;339399
"1159";"Birkilundur";340;"Einbýli";22500000;3;97,2;231481
"1160";"Austurkór";203;"Par/Raðhús";59900000;6;244,5;244990
"1161";"Kjarrheiði";810;"Par/Raðhús";32000000;4;137,3;233066
"1162";"Grenigrund";300;"Einbýli";39500000;5;167;236527
"1163";"Valsheiði";810;"Einbýli";13000000;4;235,4;55225
"1164";"Eyravegur";800;"Fjölbýli";28900000;0;165;175152
"1165";"Lyngmói";800;"Par/Raðhús";36500000;4;166,8;218825
"1166";"Laufrimi";112;"Fjölbýli";32900000;4;103,8;316956
"1167";"Hraunbær";110;"Fjölbýli";28500000;4;96,5;295337
"1168";"Háteigsvegur";105;"Fjölbýli";370000;9;219,8;1683
"1169";"Vatnsendahlíð";311;"Sumarhús";28900000;4;81,9;352869
"1170";"Grandavegur";107;"Fjölbýli";52500000;2;89,9;583982
"1172";"Úlfarsbraut";113;"Par/Raðhús";59500000;4;207,6;286609
"1175";"Bláskógar";109;"Einbýli";65000000;8;219,5;296128
"1177";"Þrastanes";210;"Einbýli";84900000;8;257,6;329581
"1178";"Stóragerði";108;"Fjölbýli";22700000;3;63,2;359177
"1181";"Holtsvegur";210;"Fjölbýli";40250000;3;104;387019
"1182";"Holtsvegur";210;"Fjölbýli";59900000;5;154,9;386701
"1183";"Holtsvegur";210;"Fjölbýli";41250000;3;103,1;400097
"1184";"Holtsvegur";210;"Fjölbýli";56000000;5;153,9;363873
"1185";"Holtsvegur";210;"Fjölbýli";40250000;3;103,8;387765
"1186";"Holtsvegur";210;"Fjölbýli";54000000;5;153,9;350877
"1187";"Holtsvegur";210;"Fjölbýli";41950000;3;104,9;399905
"1188";"Skógarsel";109;"Fjölbýli";54900000;3;137,5;399273
"1189";"Klukkuvellir -";221;"Fjölbýli";30500000;3;80,2;380299
"1190";"Framnesvegur";101;"Fjölbýli";33400000;3;74,5;448322
"1192";"Stigahlíð";105;"Fjölbýli";31200000;3;83;375904
"1193";"Kleppsvegur";105;"Fjölbýli";27900000;0;80,8;345297
"1196";"Þrastanes";210;"Einbýli";84900000;7;382,3;222077
"1197";"Hlíð";276;"Sumarhús";13900000;3;43;323256
"1198";"Heiðarbrún";810;"Par/Raðhús";33000000;7;188,4;175159
"1199";"Þrastanes";210;"Einbýli";84900000;8;382,6;221903
"1202";"Hörðukór";203;"Fjölbýli";37500000;3;109;344037
"1203";"Vesturgata";300;"Hæðir";13900000;3;76,2;182415
"1204";"Breiðhella";221;"Atvinnuhús";25500000;0;204,4;124755
"1206";"Tangagata";400;"Einbýli";20400000;4;141,8;143865
"1207";"Ásakór";203;"Fjölbýli";42900000;4;162,5;264000
"1209";"Stóriteigur";270;"Par/Raðhús";53900000;8;261,4;206197
"1211";"Skipasund";104;"Fjölbýli";49700000;4;141,2;351983
"1213";"Einarsnes";107;"Par/Raðhús";42500000;4;106,9;397568
"1214";"Geldingsá ";600;"Sumarhús";14900000;0;53,9;276438
"1215";"Stóragerði";108;"Hæðir";56500000;4;164,5;343465
"1217";"Austurvegur";800;"Atvinnuhús";45000000;0;266,3;168982
"1219";"Garðatorg Nýtt";210;"Fjölbýli";46500000;3;107,2;433769
"1220";"Garðatorg";210;"Fjölbýli";67800000;3;99,8;679359
"1221";"Melasíða";603;"Fjölbýli";15800000;2;63,8;247649
"1224";"Miðleiti";103;"Fjölbýli";39900000;4;146,1;273101
"1225";"Klapparstígur";101;"Fjölbýli";54900000;4;108,9;504132
"1226";"Laufrimi";112;"Fjölbýli";29800000;3;79,9;372966
"1227";"Haukdælabraut";113;"Einbýli";87000000;5;209,4;415473
"1228";"Heiðvangur";220;"Einbýli";63900000;8;311,6;205071
"1229";"Garðatorg";210;"Fjölbýli";54400000;3;116;468966
"1230";"Klappakór";203;"Fjölbýli";33700000;3;88,1;382520
"1231";"Hólabraut";230;"Fjölbýli";9300000;2;55,3;168174
"1232";"Úthlíð";105;"Hæðir";36400000;3;99,2;366935
"1235";"Garðatorg";210;"Fjölbýli";57500000;3;119,2;482383
"1236";"Víðimelur";107;"Fjölbýli";29900000;3;97,1;307930
"1239";"Naustabryggja";112;"Fjölbýli";44900000;4;128,3;349961
"1240";"Brákarbraut";310;"Atvinnuhús";39000000;0;461,5;84507
"1241";"Kjalbraut";801;"Sumarhús";22000000;4;60;366667
"1243";"Hrólfsskálamelur";170;"Fjölbýli";75000000;4;158;474684
"1244";"Stekkjarhvammur";220;"Par/Raðhús";48900000;5;159,1;307354
"1245";"Lindarvað";110;"Hæðir";44900000;4;125,2;358626
"1246";"Hrísholt";210;"Einbýli";89900000;7;320,4;280587
"1247";"Karlsrauðatorg";620;"Einbýli";33900000;6;301,4;112475
"1248";"Ásvallagata";101;"Fjölbýli";39900000;3;85;469412
"1250";"Sölkugata";270;"Jörð/Lóð";25000000;0;869,3;28759
"1251";"Engihjalli";200;"Fjölbýli";32900000;5;107,5;306047
"1252";"Skútagil";603;"Fjölbýli";27600000;4;96,7;285419
"1253";"Reiðvað";110;"Fjölbýli";39500000;4;106,1;372290
"1254";"Garðatorg";210;"Fjölbýli";59900000;3;134,3;446016
"1255";"Norðurgata";600;"Hæðir";13900000;2;69;201449
"1256";"Litlikriki";270;"Par/Raðhús";64800000;5;207;313043
"1257";"Laufengi";112;"Fjölbýli";29900000;3;80,8;370050
"1258";"Klausturhvammur";220;"Par/Raðhús";54900000;7;196,7;279105
"1259";"Fannagil";603;"Par/Raðhús";52900000;6;197,8;267442
"1260";"Brekkugata";600;"Fjölbýli";25500000;4;111,3;229111
"1261";"Bólstaðarhlíð ";105;"Fjölbýli";34900000;3;104,6;333652
"1263";"Klapparstígur";101;"Fjölbýli";34900000;2;74;471622
"1265";"Skúlagata";101;"Fjölbýli";37900000;3;92,1;411509
"1266";"Bæjarholt";220;"Fjölbýli";30500000;4;116,5;261803
"1267";"Desjakór";203;"Einbýli";87500000;6;262,2;333715
"1268";"Geldingsá";600;"Sumarhús";18900000;0;68;277941
"1269";"Valhallarstígur Syðri";801;"Sumarhús";52000000;0;14,6;3561644
"1270";"Heiðaþing";203;"Par/Raðhús";70000000;5;229,3;305277
"1271";"Einholt";105;"Fjölbýli";31500000;3;69,1;455861
"1272";"Tungusel";109;"Fjölbýli";29900000;4;112,5;265778
"1274";"Garðatorg";210;"Fjölbýli";68500000;3;102,5;668293
"1275";"Garðatorg";210;"Fjölbýli";52900000;3;106,9;494855
"1276";"Garðatorg";210;"Fjölbýli";65500000;3;106,8;613296
"1277";"Garðatorg";210;"Fjölbýli";47600000;3;100,2;475050
"1278";"Garðatorg";210;"Fjölbýli";62500000;3;102,8;607977
"1279";"Garðatorg";210;"Fjölbýli";62500000;3;128,4;486760
"1280";"Hrísholt ";210;"Einbýli";105000000;0;366,9;286182
"1281";"Kringlan";103;"Atvinnuhús";75000000;0;231,5;323974
"1282";"Kringlan";103;"Atvinnuhús";79000000;0;277;285199
"1283";"Bleikjukvísl ";110;"Einbýli";87000000;10;420,6;206847
"1286";"Uglugata";270;"Jörð/Lóð";110000000;0;2560;42969
"1287";"Fjarðargata";220;"Atvinnuhús";170280;0;141,9;1200
"1288";"Kárastígur";101;"Fjölbýli";22500000;2;40,4;556931
"1289";"Neðstiás";301;"Sumarhús";21500000;4;69,3;310245
"1290";"Litli-klofi Lóð";851;"Sumarhús";21900000;3;48;456250
"1291";"Ásatún";600;"Fjölbýli";27900000;4;103;270874
"1292";"Reynigrund";300;"Einbýli";53500000;8;388,4;137745
"1293";"Eiðistorg";170;"Atvinnuhús";170000;0;85;2000
"1294";"Þorrasalir";201;"Fjölbýli";31900000;3;78,9;404309
"1295";"Selvogsbraut";815;"Par/Raðhús";9000000;3;113,5;79295
"1296";"Laugavegur";101;"Fjölbýli";69900000;3;146,8;476158
"1297";"Helgubraut";200;"Einbýli";59900000;5;164,8;363471
"1298";"Torfastaðir";801;"Jörð/Lóð";165000000;13;1897,6;86952
"1299";"Borgartún";105;"Fjölbýli";60000;1;15;4000
"1301";"Grandavegur";107;"Fjölbýli";44900000;3;109,7;409298
"1302";"Óskotsland";270;"Sumarhús";21900000;2;31,5;695238
"1303";"Klapparstígur";260;"Einbýli";33000000;8;202,6;162883
"1304";"Frostagata";603;"Atvinnuhús";17500000;0;127,3;137471
"1307";"Sambyggð";815;"Fjölbýli";11900000;3;78,2;152174
"1310";"Hverfisgata";101;"Fjölbýli";33500000;4;78,6;426209
"1311";"Brattahlíð";603;"Einbýli";51500000;5;218,6;235590
"1312";"Sólvellir";600;"Fjölbýli";35900000;8;225,8;158990
"1314";"Efstilundur";210;"Par/Raðhús";57000000;6;178,2;319865
"1315";"Hlíðarás";220;"Einbýli";110000000;7;341,8;321826
"1316";"Höfðabraut";300;"Fjölbýli";22800000;4;135,2;168639
"1317";"Kópavogsgerði";200;"Fjölbýli";49900000;3;122;409016
"1318";"Kópavogsgerði";200;"Fjölbýli";56700000;3;130,9;433155
"1319";"Kópavogsgerði";200;"Fjölbýli";53500000;3;129,1;414407
"1320";"Kópavogsgerði";200;"Fjölbýli";53400000;3;129,1;413633
"1321";"Kópavogsgerði";200;"Fjölbýli";53900000;3;131,6;409574
"1322";"Hörðukór";203;"Fjölbýli";38500000;0;116,2;331325
"1323";"Vínland/lóð";700;"Atvinnuhús";74900000;6;172,2;434959
"1324";"Steinhella";221;"Atvinnuhús";10300000;1;48,1;214137
"1325";"Holtsflöt";300;"Einbýli";54700000;5;193,2;283126
"1326";"Hraunbær";110;"Fjölbýli";28900000;4;98;294898
"1327";"Heiðargerði";190;"Fjölbýli";19700000;3;76,1;258870
"1329";"Klettaborg";600;"Fjölbýli";25000000;2;75,4;331565
"1330";"Tungusíða";603;"Einbýli";59000000;10;294;200680
"1332";"Brúnavegur";801;"Sumarhús";24900000;3;76,6;325065
"1334";"Lómasalir";201;"Fjölbýli";37500000;3;106,5;352113
"1335";"Langalína";210;"Fjölbýli";55000000;3;116,8;470890
"1336";"langalína ";210;"Fjölbýli";54800000;3;116,1;472007
"1337";"Langalína ";210;"Fjölbýli";85000000;4;189,3;449023
"1338";"Ljósavík";112;"Fjölbýli";47900000;5;177,1;270469
"1339";"Álfabrekka ";200;"Einbýli";69000000;8;264,5;260870
"1340";"Kambasel";109;"Fjölbýli";32900000;4;101,4;324458
"1341";"Háeyrarvegur";820;"Einbýli";29900000;5;181,1;165102
"1342";"Reykjabraut";815;"Einbýli";22500000;4;154,2;145914
"1344";"Austurmörk";810;"Atvinnuhús";10500000;0;83,1;126354
"1346";"Snorrastaðir lóð";840;"Jörð/Lóð";6600000;0;10000;660
"1347";"Marbakkabraut";200;"Hæðir";19900000;2;52;382692
"1348";"Fífuvellir";221;"Einbýli";57500000;5;250,1;229908
"1349";"Vestra Þorlaugargerði";900;"Einbýli";40000000;4;85728,8;467
"1350";"Garðatorg";210;"Fjölbýli";76900000;4;160,4;479426
"1351";"Garðatorg";210;"Fjölbýli";69500000;4;137,4;505822
"1353";"Garðatorg";210;"Fjölbýli";74600000;4;138,5;538628
"1354";"Garðatorg";210;"Fjölbýli";69500000;4;143,3;484997
"1355";"Garðatorg";210;"Fjölbýli";67900000;4;143,3;473831
"1358";"Gunnarsbraut";105;"Hæðir";23900000;2;44,5;537079
"1359";"Norðurbakki";220;"Fjölbýli";49500000;3;131,7;375854
"1360";"Ásakór";203;"Fjölbýli";34500000;3;102,6;336257
"1361";"Skinnar - Einbýli Í Þykkvabæ";851;"Einbýli";14900000;3;99;150505
"1362";"Holtsvegur";210;"Fjölbýli";32400000;2;70,3;460882
"1364";"Hvassaleiti";108;"Fjölbýli";35900000;4;101,9;352306
"1365";"Strandvegur";210;"Fjölbýli";51000000;4;124,5;409639
"1388";"Lundur";200;"Fjölbýli";49500000;3;130,2;380184
"1389";"Garðatorg";210;"Fjölbýli";59500000;3;123;483740
"1391";"Garðatorg";210;"Fjölbýli";61900000;4;129,6;477623
"1392";"Garðatorg";210;"Fjölbýli";52500000;3;115,2;455729
"1393";"Kálfhólar";800;"Einbýli";36400000;4;163;223313
"1394";"Sóleyjarimi ";112;"Fjölbýli";49900000;3;142,7;349685
"1395";"Sóleyjarimi ";112;"Fjölbýli";49900000;3;143,1;348707
"1396";"Sóleyjarimi ";112;"Fjölbýli";49900000;3;141,5;352650
"1400";"Villingavatn";801;"Sumarhús";34900000;4;71,7;486750
"1401";"Efstihjalli";200;"Fjölbýli";31900000;3;92,2;345987
"1404";"Höfðavegur";640;"Einbýli";44900000;7;322;139441
"1405";"Barónsstígur";101;"Fjölbýli";34900000;3;78,8;442893
"1406";"Skútahraun";220;"Atvinnuhús";14900000;0;59,6;250000
"1407";"Reynivellir";700;"Einbýli";34900000;5;184,2;189468
"1408";"Naustabryggja";110;"Fjölbýli";36500000;3;87,3;418099
"1409";"Háaleitisbraut Seld";108;"Fjölbýli";38500000;3;134;287313
"1410";"Brúnastaðir";112;"Einbýli";74900000;6;217,1;345002
"1411";"Hrauntröð";801;"Jörð/Lóð";4000000;0;7974;502
"1412";"Heiðarholt";250;"Par/Raðhús";19000000;4;146,6;129604
"1413";"Laut";240;"Fjölbýli";19500000;4;90,4;215708
"1414";"Miðholt";801;"Par/Raðhús";21500000;3;89,3;240761
"1416";"Lambastaðabraut";170;"Hæðir";54900000;7;152,8;359293
"1418";"Meistaravellir";107;"Fjölbýli";40900000;4;101,1;404550
"1419";"Stafholt";603;"Einbýli";41500000;7;214,2;193744
"1420";"Furugrund";200;"Fjölbýli";28500000;3;72,7;392022
