"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Þórðarsveigur";113;"Fjölbýli";29400000;2;71,1;"2016-10-21";413502
"2";"Fálkagata";107;"Fjölbýli";42900000;4;103,7;"2016-10-21";413693
"3";"Nesvegur";170;"Fjölbýli";32900000;3;82,6;"2016-10-21";398305
"4";"Hestur lóð";801;"Jörð/Lóð";8900000;0;7969;"2016-10-21";1117
"5";"Sólbakki";860;"Par/Raðhús";36900000;2;131,4;"2016-10-21";280822
"6";"Torfastaðir";801;"Jörð/Lóð";165000000;0;1897,6;"2016-10-21";86952
"7";"Kaldakinn";851;"Jörð/Lóð";90000000;0;556,5;"2016-10-21";161725
"8";"Höfðabraut - Opið Hús";300;"Hæðir";24900000;4;132;"2016-10-21";188636
"9";"Hallkelshólar";801;"Sumarhús";12900000;0;55,4;"2016-10-21";232852
"10";"Borgarleynir";801;"Sumarhús";42900000;5;195,8;"2016-10-21";219101
"11";"Eystra-seljaland";861;"Atvinnuhús";67700000;0;888;"2016-10-21";76239
"12";"Viðarhöfði";110;"Atvinnuhús";77700000;0;333,1;"2016-10-21";233263
"15";"Unubakki";815;"Atvinnuhús";42500000;0;350;"2016-10-21";121429
"16";"Hafnargata";190;"Einbýli";44500000;5;230,5;"2016-10-21";193059
"17";"Vatnsendahlíð";311;"Sumarhús";16500000;3;45;"2016-10-21";366667
"19";"Miðtún";105;"Fjölbýli";29900000;3;71,2;"2016-10-21";419944
"20";"Hverfisgata";101;"Atvinnuhús";33900000;1;88,4;"2016-10-21";383484
"21";"Gestahús til flutnings";801;"Sumarhús";3900000;1;15;"2016-10-21";260000
"22";"Hróðnýjarstaðir";371;"Jörð/Lóð";105000000;5;1298,8;"2016-10-21";80844
"23";"Garðatorg";210;"Fjölbýli";57500000;3;119,2;"2016-10-21";482383
"24";"Garðatorg";210;"Fjölbýli";75600000;4;160,3;"2016-10-21";471616
"25";"Holtsvegur (opið hús)";210;"Fjölbýli";64900000;2;91;"2016-10-21";713187
