"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Hverafold";112;"Einbýli";79900000;6;250,4;"2016-11-29";319089
"2";"Þverfell";311;"Jörð/Lóð";150000000;0;3522,8;"2016-11-29";42580
"3";"Grettisgata";101;"Fjölbýli";26000000;2;36,9;"2016-11-29";704607
"4";"Hraunbær";110;"Fjölbýli";26600000;3;66,6;"2016-11-29";399399
"5";"Ljósalind";201;"Fjölbýli";46900000;4;122,2;"2016-11-29";383797
"6";"Þykkvaflöt";820;"Einbýli";33900000;4;150;"2016-11-29";226000
"7";"Langalína";210;"Fjölbýli";64000000;4;152;"2016-11-29";421053
"8";"Austurvegur";800;"Atvinnuhús";45000000;0;266,3;"2016-11-29";168982
"9";"Njálsgata";101;"Fjölbýli";42500000;3;74,5;"2016-11-29";570470
"10";"Ásland";270;"Einbýli";64900000;9;327,8;"2016-11-29";197987
"11";"Holtsgata";101;"Hæðir";45000000;4;102,1;"2016-11-29";440744
"12";"Bergþórugata";101;"Fjölbýli";23900000;1;40,5;"2016-11-29";590123
"13";"Búðarstígur";820;"Atvinnuhús";21900000;0;185,4;"2016-11-29";118123
"14";"Skipasund";801;"Sumarhús";13900000;2;42,2;"2016-11-29";329384
"15";"Skálatún ";600;"Par/Raðhús";44000000;0;136,7;"2016-11-29";321873
"16";"Hafnargata";710;"Einbýli";12000000;4;84,6;"2016-11-29";141844
"18";"Kópavogsgerði";200;"Fjölbýli";53500000;3;129,1;"2016-11-29";414407
"19";"Syðra-holt";621;"Jörð/Lóð";52000000;0;951,2;"2016-11-29";54668
"21";"Oddeyrargata";600;"Einbýli";34900000;3;130,6;"2016-11-29";267228
"22";"Eyravegur";800;"Atvinnuhús";23900000;2;108,5;"2016-11-29";220276
"23";"Laxabakki";800;"Jörð/Lóð";5000000;0;260,1;"2016-11-29";19223
"24";"Faxabraut";230;"Fjölbýli";21900000;3;84;"2016-11-29";260714
