"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Selvað";110;"Fjölbýli";38500000;3;87;"2017-02-03";442529
"2";"Norðurbrú";210;"Fjölbýli";42900000;3;103;"2017-02-03";416505
"3";"Hjallavegur";104;"Hæðir";32900000;4;91,2;"2017-02-03";360746
"4";"Bogahlíð";105;"Fjölbýli";53900000;3;115,4;"2017-02-03";467071
"5";"Lindasmári";201;"Fjölbýli";39900000;3;92,7;"2017-02-03";430421
"6";"Hrísmóar";210;"Fjölbýli";44300000;4;100,2;"2017-02-03";442116
"7";"Álfholt";220;"Fjölbýli";27500000;2;56;"2017-02-03";491071
"8";"Faxabraut";230;"Fjölbýli";13900000;2;60,9;"2017-02-03";228243
"9";"Tangarhöfði";110;"Atvinnuhús";32000000;0;99,2;"2017-02-03";322581
"11";"Drekavellir";221;"Fjölbýli";44900000;4;118,2;"2017-02-03";379865
"12";"Suðurhólar";111;"Fjölbýli";32900000;2;70,3;"2017-02-03";467994
"13";"Desjamýri";270;"Atvinnuhús";8500000;0;42;"2017-02-03";202381
"14";"Hrísmóar";210;"Fjölbýli";39900000;4;100,2;"2017-02-03";398204
"15";"lækjarmelur";112;"Atvinnuhús";34500000;0;135,1;"2017-02-03";255366
"16";"Tindaflöt";300;"Fjölbýli";30000000;3;103,9;"2017-02-03";288739
"17";"Drafnarstígur";101;"Fjölbýli";43500000;4;100,8;"2017-02-03";431548
"18";"Kvistavellir";221;"Einbýli";69400000;5;229,4;"2017-02-03";302528
"19";"Vífilsgata";105;"Hæðir";30500000;2;50,8;"2017-02-03";600394
"20";"Skildingavegur";900;"Atvinnuhús";15000000;0;98,8;"2017-02-03";151822
"21";"Sogavegur";108;"Einbýli";74900000;7;221,1;"2017-02-03";338761
"22";"Kleppsvegur";105;"Fjölbýli";42900000;4;108,7;"2017-02-03";394664
"24";"Dalhús";112;"Par/Raðhús";63900000;3;195,8;"2017-02-03";326353
"25";"Trönuhraun";220;"Atvinnuhús";32900000;2;155,1;"2017-02-03";212121
