"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Eyktarás";110;"Einbýli";95800000;10;325;"2016-08-10";294769
"3";"Byggðavegur ";600;"Fjölbýli";32800000;5;138,7;"2016-08-10";236482
"4";"Dalatangi";270;"Par/Raðhús";36900000;3;86,6;"2016-08-10";426097
"6";"Nesvegur";107;"Fjölbýli";33300000;2;76,3;"2016-08-10";436435
"7";"Mánagata - Laus Til Afh";105;"Fjölbýli";24900000;2;47,9;"2016-08-10";519833
"8";"Skeggjagata";105;"Einbýli";82900000;6;200,1;"2016-08-10";414293
"9";"Njarðvíkurbraut";260;"Einbýli";28000000;6;210,8;"2016-08-10";132827
"10";"Steinás ";260;"Einbýli";69000000;6;280,3;"2016-08-10";246165
"11";"Smáratún";230;"Hæðir";27900000;4;151,7;"2016-08-10";183916
"12";"Álftarimi";800;"Fjölbýli";19500000;3;87,1;"2016-08-10";223881
"14";"Skógarvegur";108;"Fjölbýli";93000000;4;161,3;"2016-08-10";576565
"15";"Grandavegur ";107;"Fjölbýli";37500000;2;80,3;"2016-08-10";466999
"17";"Skipasund";104;"Hæðir";42900000;4;129,2;"2016-08-10";332043
"18";"Almannadalur - gott verð";110;"Hesthús";13000000;3;163,3;"2016-08-10";79608
"19";"Hofteigur";105;"Fjölbýli";32900000;3;80,2;"2016-08-10";410224
"20";"Kistumelur";116;"Atvinnuhús";35000000;0;285,2;"2016-08-10";122721
"22";"Lækjargata";220;"Fjölbýli";32900000;3;84,3;"2016-08-10";390273
"23";"Álftamýri";108;"Fjölbýli";22500000;2;43,9;"2016-08-10";512528
"24";"Oddabraut";815;"Einbýli";29000000;9;274;"2016-08-10";105839
"25";"Mánatún";105;"Fjölbýli";41200000;3;103,1;"2016-08-10";399612
