"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Iðunnarbrunnur";113;"Par/Raðhús";57000000;6;248,9;"2016-10-13";229008
"3";"Suðurhús";112;"Fjölbýli";29900000;2;80;"2016-10-13";373750
"4";"Torfufell";111;"Fjölbýli";27900000;3;77,8;"2016-10-13";358612
"5";"Álfheimar";104;"Fjölbýli";29900000;2;73,9;"2016-10-13";404601
"6";"Langamýri";210;"Fjölbýli";27500000;2;71,6;"2016-10-13";384078
"8";"Hringbraut Opið Hús). ";220;"Hæðir";30000000;3;88,4;"2016-10-13";339367
"9";"Norðurbakki";220;"Fjölbýli";36500000;2;80,9;"2016-10-13";451174
"11";"Háteigsvegur";105;"Fjölbýli";34900000;3;66,3;"2016-10-13";526395
"12";"Háteigsvegur";105;"Hæðir";47500000;4;106,5;"2016-10-13";446009
"13";"Úthlíð";105;"Hæðir";57500000;5;179;"2016-10-13";321229
"14";"Mánatún";105;"Fjölbýli";53900000;4;133,2;"2016-10-13";404655
"17";"Hestagata";825;"Hesthús";3800000;2;72;"2016-10-13";52778
"19";"Dalbraut";104;"Atvinnuhús";56500000;3;111,2;"2016-10-13";508094
"20";"Nýbýlavegur";200;"Hæðir";45900000;4;151,5;"2016-10-13";302970
"21";"Langalína";210;"Fjölbýli";52000000;3;129,5;"2016-10-13";401544
"22";"Kleppsvegur";104;"Fjölbýli";38200000;4;120,2;"2016-10-13";317804
"24";"Naustabryggja";110;"Fjölbýli";39500000;3;89,1;"2016-10-13";443322
"25";"Hraunteigur";311;"Sumarhús";13900000;3;50,5;"2016-10-13";275248
