"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Lækjartún";510;"Einbýli";15900000;4;108,3;"2016-07-20";146814
"2";"Flétturimi";112;"Fjölbýli";39300000;6;112,7;"2016-07-20";348713
"4";"Norðurbraut";220;"Einbýli";73900000;7;306,9;"2016-07-20";240795
"6";"Frostafold";112;"Fjölbýli";39700000;4;112,9;"2016-07-20";351639
"7";"Kiðjaberg lóð";801;"Jörð/Lóð";14000000;0;10000;"2016-07-20";1400
"8";"Hamraborg";200;"Atvinnuhús";25900000;2;156,4;"2016-07-20";165601
"9";"Skeiðakur";210;"Jörð/Lóð";25000000;0;742;"2016-07-20";33693
"10";"Langamýri";800;"Par/Raðhús";25900000;4;104,9;"2016-07-20";246902
"11";"Sturlureykir";320;"Einbýli";19000000;10;317,3;"2016-07-20";59880
"12";"Lundur";200;"Fjölbýli";52000000;3;109;"2016-07-20";477064
"13";"Álfkonuhvarf";203;"Fjölbýli";34900000;3;99,4;"2016-07-20";351107
"15";"Skeiðakur";210;"Jörð/Lóð";25000000;0;757;"2016-07-20";33025
"16";"Gistihús";800;"Fjölbýli";7900000;0;30;"2016-07-20";263333
"17";"Nesvegur";233;"Einbýli";22000000;3;397,5;"2016-07-20";55346
"20";"Mánatún";105;"Fjölbýli";44700000;2;91,4;"2016-07-20";489059
"21";"Móabarð";220;"Fjölbýli";28700000;3;74,8;"2016-07-20";383690
"22";"Eyrarlækur ";800;"Par/Raðhús";29900000;4;161,1;"2016-07-20";185599
"23";"Völuás";260;"Einbýli";53500000;4;225;"2016-07-20";237778
"25";"Grímsholt";250;"Par/Raðhús";17500000;5;168,1;"2016-07-20";104105
