"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Hólmgarður";108;"Fjölbýli";27900000;2;62,4;"2016-09-10";447115
"2";"Funalind";201;"Fjölbýli";39900000;4;112,1;"2016-09-10";355932
"3";"Herjólfsgata";220;"Fjölbýli";45900000;3;92,3;"2016-09-10";497291
"4";"Jarðhæð Með Þaksvölum Lago Jardin I";1000;"Hæðir";8000000;2;43;"2016-09-10";186047
"5";"Ódýr   Vinamar Iii Of La Mata, Torr";1000;"Fjölbýli";6800000;2;45;"2016-09-10";151111
"6";"Glæsileg. maese Pedro";1000;"Par/Raðhús";18500000;4;82;"2016-09-10";225610
"7";"Íbúð Gran Canary. playa Del Ingles";1000;"Fjölbýli";13200000;2;45;"2016-09-10";293333
"8";"Tungusel - Opið Hús";109;"Fjölbýli";28900000;3;81,1;"2016-09-10";356350
"9";"Strandasel - Opið Hús";109;"Fjölbýli";26900000;2;66,6;"2016-09-10";403904
"10";"Skarphéðinsgata - Opið Hús";105;"Fjölbýli";32900000;3;78,8;"2016-09-10";417513
"11";"Ljósavík";112;"Fjölbýli";46900000;4;147,1;"2016-09-10";318831
"12";"Hjallabraut";220;"Fjölbýli";42000000;5;133,6;"2016-09-10";314371
"13";"Hellagata";210;"Fjölbýli";49900000;4;119,7;"2016-09-10";416876
"14";"Dvergagil";603;"Par/Raðhús";43000000;4;161,5;"2016-09-10";266254
"15";"Háaleitisbraut";108;"Fjölbýli";41900000;4;132,3;"2016-09-10";316704
"16";"Skipasund";104;"Hæðir";47900000;5;111,1;"2016-09-10";431143
"17";"Skipasund";104;"Fjölbýli";26900000;2;52;"2016-09-10";517308
"18";"Klettaborg";600;"Einbýli";75000000;6;246,1;"2016-09-10";304754
"19";"Rekagrandi";107;"Fjölbýli";29900000;2;50,3;"2016-09-10";594433
"21";"Lágholtsvegur";107;"Einbýli";79900000;5;197,5;"2016-09-10";404557
"22";"Álftarstekkur";801;"Sumarhús";21900000;3;63,4;"2016-09-10";345426
"23";"Parhús Með Einkaskundlaug Í Villa M";1000;"Par/Raðhús";21500000;4;100;"2016-09-10";215000
"24";"Barónsstígur";101;"Fjölbýli";29900000;3;64,7;"2016-09-10";462133
