"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Eyrarholt";220;"Fjölbýli";34900000;4;92,9;"2017-01-16";375673
"2";"Erluás Opið Hús";221;"Einbýli";88900000;7;332,7;"2017-01-16";267208
"3";"Tjarnarmói";800;"Par/Raðhús";26400000;4;165;"2017-01-16";160000
"4";"Eyrargata";820;"Einbýli";24500000;4;126,4;"2017-01-16";193829
"5";"Ástjörn";800;"Fjölbýli";24100000;3;69,3;"2017-01-16";347763
"6";"Seljudalur";260;"Par/Raðhús";44900000;4;148,8;"2017-01-16";301747
"7";"Klængsbúð";815;"Par/Raðhús";37900000;4;196,8;"2017-01-16";192581
"8";"Engjaþing ";203;"Fjölbýli";51900000;3;139,7;"2017-01-16";371510
"9";"Aspardalur";260;"Einbýli";61900000;7;246;"2017-01-16";251626
"10";"Klapparstígur";260;"Einbýli";33500000;4;158,4;"2017-01-16";211490
"11";"Vallakór";203;"Fjölbýli";51900000;3;142,6;"2017-01-16";363955
"12";"Glósalir ";201;"Fjölbýli";47900000;4;121,1;"2017-01-16";395541
"13";"Garðatorg";210;"Fjölbýli";85500000;4;137,3;"2017-01-16";622724
"14";"Engjaþing ";203;"Fjölbýli";49800000;3;140,6;"2017-01-16";354196
"15";"Engjaþing ";203;"Fjölbýli";58900000;4;166,7;"2017-01-16";353329
"17";"Ármúli /leiga";108;"Atvinnuhús";1422000;20;790,8;"2017-01-16";1798
"18";"Básahraun";815;"Einbýli";42900000;4;171,3;"2017-01-16";250438
"19";"Hrefnugata";105;"Fjölbýli";190000;2;50,3;"2017-01-16";3777
"21";"Helgubraut";200;"Par/Raðhús";65000000;7;263,5;"2017-01-16";246679
"22";"Sundlaugavegur";105;"Hæðir";57900000;6;175,2;"2017-01-16";330479
"24";"Bjallavað";110;"Fjölbýli";35500000;2;87,5;"2017-01-16";405714
"25";"Njálsgata";101;"Fjölbýli";37900000;3;80,9;"2017-01-16";468480
