"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Furugrund";200;"Fjölbýli";26900000;2;66,9;"2016-11-17";402093
"2";"Fagradalsbraut";700;"Atvinnuhús";63900000;0;684;"2016-11-17";93421
"3";"Kringlan";103;"Atvinnuhús";78000000;0;274,4;"2016-11-17";284257
"4";"Fagradalsbraut";700;"Atvinnuhús";63900000;8;684;"2016-11-17";93421
"5";"Duggugerði";670;"Einbýli";7400000;5;142;"2016-11-17";52113
"6";"A-tröð";110;"Hesthús";7000000;0;285;"2016-11-17";24561
"7";"Norðurbakki";220;"Fjölbýli";48900000;3;116,5;"2016-11-17";419742
"8";"Tómasarhagi";107;"Fjölbýli";78900000;6;188,3;"2016-11-17";419012
"10";"Vesturgata - Opið Hús";101;"Par/Raðhús";31900000;2;39,3;"2016-11-17";811705
"12";"Tröllakór";203;"Fjölbýli";38500000;3;102;"2016-11-17";377451
"13";"Selvík";230;"Jörð/Lóð";13000000;0;7436;"2016-11-17";1748
"14";"Hvassahraun ";190;"Jörð/Lóð";1600000;0;5210;"2016-11-17";307
"15";"B-gata";860;"Hesthús";7000000;0;131,8;"2016-11-17";53111
"16";"Fannborg";200;"Fjölbýli";23700000;2;58,4;"2016-11-17";405822
"17";"Rofabær";110;"Fjölbýli";28900000;3;89,8;"2016-11-17";321826
"18";"Kleifarvegur";104;"Hæðir";77900000;5;214,2;"2016-11-17";363679
"20";"Kléberg";815;"Einbýli";28000000;5;180,2;"2016-11-17";155383
"23";"Kleppsvegur";105;"Fjölbýli";35900000;3;91,2;"2016-11-17";393640
"24";"Mánatún ";105;"Fjölbýli";58900000;3;115,7;"2016-11-17";509075
"25";"Mánatún ";105;"Fjölbýli";51900000;2;105,9;"2016-11-17";490085
