"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Lundargata";600;"Einbýli";37200000;5;160;"2016-10-04";232500
"2";"Vatnsendahlíð";311;"Sumarhús";20000000;4;65,7;"2016-10-04";304414
"3";"Bröndukvísl";110;"Einbýli";88000000;0;246,4;"2016-10-04";357143
"6";"Laufbrekka";200;"Einbýli";58900000;6;185;"2016-10-04";318378
"7";"Heiðarlundur";600;"Par/Raðhús";35000000;5;146;"2016-10-04";239726
"8";"Ránargata";600;"Hæðir";18500000;3;85,9;"2016-10-04";215367
"9";"Bröndukvísl";110;"Einbýli";88000000;5;246,4;"2016-10-04";357143
"10";"Lækjarvegur";311;"Sumarhús";18950000;4;60,1;"2016-10-04";315308
"11";"Hamraborg";200;"Fjölbýli";31900000;4;95,2;"2016-10-04";335084
"13";"Hraungata";210;"Fjölbýli";55900000;4;143,2;"2016-10-04";390363
"14";"Ægisgata";101;"Fjölbýli";54900000;2;91,7;"2016-10-04";598691
"15";"Eyrarlækur";800;"Par/Raðhús";22490000;3;123;"2016-10-04";182846
"16";"Hjallabraut";220;"Fjölbýli";29500000;3;102;"2016-10-04";289216
"17";"Suðurgata";300;"Hæðir";34900000;4;189,7;"2016-10-04";183975
"18";"Naustabryggja";110;"Fjölbýli";45900000;4;108,8;"2016-10-04";421875
"19";"Naustabryggja";110;"Fjölbýli";43900000;4;109,5;"2016-10-04";400913
"20";"Naustabryggja";110;"Fjölbýli";44900000;4;108,3;"2016-10-04";414589
"21";"Digranesvegur";200;"Fjölbýli";44800000;2;110,8;"2016-10-04";404332
"22";"Æsufell";111;"Fjölbýli";32900000;4;126;"2016-10-04";261111
"23";"Vatnsstígur";101;"Fjölbýli";149500000;4;182,4;"2016-10-04";819627
