"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Ugluhólar";111;"Fjölbýli";26500000;3;73,4;"2016-11-16";361035
"2";"Hamratún";600;"Par/Raðhús";31500000;3;99,4;"2016-11-16";316901
"3";"Gyðufell";111;"Fjölbýli";190000;3;82;"2016-11-16";2317
"4";"Langamýri";800;"Par/Raðhús";38800000;4;154,3;"2016-11-16";251458
"5";"Básvegur";230;"Atvinnuhús";43000000;0;470;"2016-11-16";91489
"6";"Laufengi";112;"Fjölbýli";29900000;3;85,7;"2016-11-16";348891
"7";"Andrésbrunnur";113;"Fjölbýli";41800000;4;110,8;"2016-11-16";377256
"8";"Bárugata";101;"Fjölbýli";29900000;3;64;"2016-11-16";467188
"9";"Klukkuberg";221;"Einbýli";75200000;6;310,3;"2016-11-16";242346
"10";"Svalbarð";780;"Einbýli";20500000;5;126,8;"2016-11-16";161672
"11";"Kársnesbraut";200;"Atvinnuhús";295000000;1;808,5;"2016-11-16";364873
"12";"Bárugata";101;"Hæðir";29900000;3;64;"2016-11-16";467188
"13";"Andrésbrunnur - Opið Hús";113;"Fjölbýli";41800000;4;110,8;"2016-11-16";377256
"14";"Skerjabraut - Opið Hús";170;"Fjölbýli";31000000;2;50,3;"2016-11-16";616302
"15";"Laufengi - Opið Hús";112;"Fjölbýli";29900000;3;85,7;"2016-11-16";348891
"16";"Klukkuberg";221;"Einbýli";75200000;8;310,3;"2016-11-16";242346
"17";"Lækjasmári";201;"Fjölbýli";39900000;4;100,2;"2016-11-16";398204
"18";"Bogahlíð";105;"Fjölbýli";40500000;2;97,8;"2016-11-16";414110
"19";"Njörvasund";104;"Fjölbýli";16500000;1;33;"2016-11-16";500000
"20";"Ármúli ";108;"Fjölbýli";14900000;3;54,1;"2016-11-16";275416
"21";"Hólmgarður";108;"Fjölbýli";43900000;4;96,5;"2016-11-16";454922
"22";"Breiðavík";112;"Fjölbýli";37900000;4;101,5;"2016-11-16";373399
