"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Tunguheiði";200;"Fjölbýli";38700000;4;96,9;"2017-02-17";399381
"2";"Austurvegur";800;"Fjölbýli";22900000;2;78,2;"2017-02-17";292839
"4";"Keilusíða";603;"Fjölbýli";26900000;4;112,4;"2017-02-17";239324
"5";"Lyngháls";110;"Atvinnuhús";159000000;0;835,4;"2017-02-17";190328
"6";"Skólabraut";260;"Fjölbýli";35900000;5;123,4;"2017-02-17";290924
"7";"Fléttuvellir";221;"Einbýli";67900000;6;236;"2017-02-17";287712
"8";"Miðtún";105;"Fjölbýli";31900000;2;62,1;"2017-02-17";513688
"9";"Dalakur";210;"Einbýli";117000000;5;261;"2017-02-17";448276
"10";"Austurtún";225;"Einbýli";79900000;7;249;"2017-02-17";320884
"12";"Hrefnugata";105;"Fjölbýli";170000;2;50,3;"2017-02-17";3380
"13";"Lagarás";700;"Fjölbýli";12900000;2;58,8;"2017-02-17";219388
"14";"Smyrlaheiði";810;"Par/Raðhús";29900000;3;98,4;"2017-02-17";303862
"15";"Vatnsstígur";101;"Fjölbýli";74445000;2;118,9;"2017-02-17";626114
"16";"Mosarimi";112;"Fjölbýli";34900000;3;78,1;"2017-02-17";446863
"18";"Fléttuvellir (opið Hús)";221;"Einbýli";67900000;6;236;"2017-02-17";287712
"19";"Veghús";112;"Fjölbýli";43900000;6;139,5;"2017-02-17";314695
"21";"Álalind";201;"Fjölbýli";51400000;4;110,2;"2017-02-17";466425
"22";"Fljótsbakki";801;"Sumarhús";26900000;4;53,5;"2017-02-17";502804
"23";"Kambahraun";810;"Einbýli";44900000;5;160,5;"2017-02-17";279751
"24";"Álfhólsvegur ";200;"Fjölbýli";59900000;5;190,3;"2017-02-17";314766
"25";"Hlíðarvegur";200;"Par/Raðhús";59500000;6;213,8;"2017-02-17";278297
