"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Helluvað";110;"Fjölbýli";39900000;4;104,3;"2016-07-11";382550
"2";"Stakkholt - Opið Hús";105;"Fjölbýli";63500000;4;125,6;"2016-07-11";505573
"3";"Krókatjörn Í Miðdalsl Ii";270;"Sumarhús";26500000;4;100,7;"2016-07-11";263158
"4";"Þorláksgeisli";113;"Fjölbýli";40900000;4;117,9;"2016-07-11";346904
"5";"Hvammur Iii";851;"Einbýli";7000000;2;117;"2016-07-11";59829
"6";"Heiðarbraut";230;"Fjölbýli";27900000;5;115;"2016-07-11";242609
"7";"Bræðraborgarstígur";101;"Fjölbýli";56900000;3;120,1;"2016-07-11";473772
"8";"Heiðarlundur (seld)";210;"Hæðir";64900000;8;234,6;"2016-07-11";276641
"9";"Hátún";230;"Hæðir";21900000;4;102;"2016-07-11";214706
"10";"Kjalarsíða  ";603;"Fjölbýli";19900000;3;86,1;"2016-07-11";231127
"11";"Laxatunga";270;"Par/Raðhús";36500000;3;135,1;"2016-07-11";270170
"12";"Gistiheimilið Hvammur Ránarslóð";780;"Atvinnuhús";115000000;13;350,8;"2016-07-11";327822
"13";"Farfuglaheimili / Hostel Hvannabrau";780;"Atvinnuhús";110000000;22;667,3;"2016-07-11";164843
"14";"Lynghólar ";620;"Par/Raðhús";16600000;3;80;"2016-07-11";207500
"15";"Langalína";210;"Fjölbýli";85000000;3;189,3;"2016-07-11";449023
"16";"Möðrufell";111;"Fjölbýli";26500000;3;77,3;"2016-07-11";342820
"17";"Flyðrugrandi";107;"Fjölbýli";29800000;3;67,8;"2016-07-11";439528
"18";"Reynidalur";260;"Fjölbýli";24900000;4;117,9;"2016-07-11";211196
"19";"Kvíslartunga";270;"Jörð/Lóð";15000000;6;501,3;"2016-07-11";29922
"21";"Súluhöfði";270;"Einbýli";85700000;5;247,2;"2016-07-11";346683
"22";"Jörfabakki";111;"Fjölbýli";15500000;2;51,1;"2016-07-11";303327
"23";"Vindakór";203;"Fjölbýli";43000000;4;160,9;"2016-07-11";267247
"25";"Langamýri";800;"Par/Raðhús";27600000;3;96,7;"2016-07-11";285419
