"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Veghús";112;"Fjölbýli";41500000;4;144,7;"2016-12-08";286800
"3";"Móhella";221;"Atvinnuhús";4900000;0;26,3;"2016-12-08";186312
"4";"Sandavað";110;"Fjölbýli";39900000;3;87;"2016-12-08";458621
"5";"Bergþórugata";101;"Fjölbýli";55000000;0;108,3;"2016-12-08";507849
"6";"Ölver";301;"Sumarhús";11500000;3;45,8;"2016-12-08";251092
"7";"Greniteigur";230;"Einbýli";38500000;5;190;"2016-12-08";202632
"9";"Gauksás";221;"Einbýli";97800000;6;245,2;"2016-12-08";398858
"10";"Miðengi";800;"Einbýli";34500000;5;186,3;"2016-12-08";185185
"11";"Stórhöfði";110;"Atvinnuhús";150000000;22;674,6;"2016-12-08";222354
"12";"Flétturimi";112;"Fjölbýli";36500000;3;99,8;"2016-12-08";365731
"13";"Miðengi";800;"Einbýli";34500000;4;236,1;"2016-12-08";146125
"15";"Melabraut";170;"Einbýli";53500000;5;182,9;"2016-12-08";292510
"16";"Kríuhólar";111;"Fjölbýli";32900000;5;121,4;"2016-12-08";271005
"17";"Álftamýri";108;"Fjölbýli";39200000;4;126,2;"2016-12-08";310618
"19";"Logafold";112;"Einbýli";84900000;9;371,3;"2016-12-08";228656
"20";"Breiðavík";112;"Fjölbýli";240000;4;122;"2016-12-08";1967
"21";"Grundarhvarf";203;"Par/Raðhús";77900000;6;242,9;"2016-12-08";320708
"22";"Ármúli ";108;"Atvinnuhús";250000;10;175;"2016-12-08";1429
"23";"Sjávargata";260;"Einbýli";61000000;7;213,7;"2016-12-08";285447
"24";"Hlíðarhjalli";200;"Fjölbýli";41900000;3;118,1;"2016-12-08";354784
"25";"Hamraborg";200;"Atvinnuhús";7600000;5;22,8;"2016-12-08";333333
