"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"2";"Brekkugata";600;"Atvinnuhús";34700000;0;81;"2017-01-09";428395
"3";"Snægil ";603;"Fjölbýli";18500000;2;49,5;"2017-01-09";373737
"4";"Baughús ";112;"Einbýli";89900000;6;301,9;"2017-01-09";297781
"5";"Lækjarbakki";800;"Jörð/Lóð";47500000;8;203,9;"2017-01-09";232957
"6";"Fellsmúli";108;"Fjölbýli";37900000;5;111,7;"2017-01-09";339302
"7";"Öldugata";101;"Einbýli";260000000;14;432,5;"2017-01-09";601156
"8";"Laugateigur";105;"Fjölbýli";36700000;3;79,2;"2017-01-09";463384
"9";"Dimmuhvarf";203;"Einbýli";93500000;7;339,6;"2017-01-09";275324
"10";"Laut";240;"Fjölbýli";20000000;3;84,7;"2017-01-09";236128
"11";"Brekatún";600;"Fjölbýli";42690000;3;115,3;"2017-01-09";370252
"12";"Brekatún";600;"Fjölbýli";43690000;3;108,6;"2017-01-09";402302
"13";"Mánatún ";105;"Fjölbýli";59900000;2;114,5;"2017-01-09";523144
"14";"Mánatún ";105;"Fjölbýli";42900000;2;78,2;"2017-01-09";548593
"15";"Mánatún ";105;"Fjölbýli";56400000;3;116,8;"2017-01-09";482877
"16";"Mánatún ";105;"Fjölbýli";44900000;2;86,3;"2017-01-09";520278
"17";"Mánatún ";105;"Fjölbýli";49900000;2;110;"2017-01-09";453636
"18";"Dalsbyggð";210;"Fjölbýli";39900000;4;107,9;"2017-01-09";369787
"19";"Básahraun";815;"Einbýli";42900000;4;171,3;"2017-01-09";250438
"20";"Háeyrarvellir";820;"Par/Raðhús";24900000;4;126,9;"2017-01-09";196217
"21";"Aðalstræti";600;"Fjölbýli";15700000;3;56,5;"2017-01-09";277876
"22";"Kópavogsgerði";200;"Fjölbýli";54500000;3;130,9;"2017-01-09";416348
"24";"Hafnarstræti";425;"Einbýli";13000000;5;211,7;"2017-01-09";61408
"25";"Lyngmói";800;"Par/Raðhús";29800000;5;221,1;"2017-01-09";134781
