"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Krummahólar";111;"Fjölbýli";28900000;3;97,1;"2016-12-09";297631
"2";"Hallakur";210;"Fjölbýli";54900000;4;139,6;"2016-12-09";393266
"3";"Eyrarholt";220;"Fjölbýli";34900000;4;92,9;"2016-12-09";375673
"4";"Sunnugerði";730;"Einbýli";59500000;5;233;"2016-12-09";255365
"5";"Strandgata";600;"Hæðir";39900000;5;176,1;"2016-12-09";226576
"6";"Flyðrugrandi";107;"Fjölbýli";56000000;5;154;"2016-12-09";363636
"7";"Laugar Hótel";371;"Atvinnuhús";530000000;0;1075,6;"2016-12-09";492748
"9";"Garðatorg";210;"Fjölbýli";57500000;3;119,2;"2016-12-09";482383
"10";"Garðatorg";210;"Fjölbýli";75600000;4;160,3;"2016-12-09";471616
"11";"Garðatorg";210;"Fjölbýli";85500000;4;137,3;"2016-12-09";622724
"12";"Garðatorg";210;"Fjölbýli";85000000;4;143,1;"2016-12-09";593990
"13";"Garðatorg";210;"Fjölbýli";83500000;4;160,4;"2016-12-09";520574
"16";"Dalbraut";840;"Atvinnuhús";97000000;0;281,6;"2016-12-09";344460
"17";"Smáratún";230;"Hæðir";29900000;5;179,3;"2016-12-09";166760
"18";"Dalaland";108;"Fjölbýli";44500000;3;97,5;"2016-12-09";456410
"20";"Garðatorg";210;"Fjölbýli";74800000;4;143,1;"2016-12-09";522711
"21";"Grandavegur";107;"Fjölbýli";43900000;3;111,4;"2016-12-09";394075
"22";"Garðatorg";210;"Fjölbýli";145000000;3;187;"2016-12-09";775401
"23";"Garðatorg";210;"Fjölbýli";145000000;4;195;"2016-12-09";743590
"24";"Naustabryggja";110;"Fjölbýli";44900000;4;108,3;"2016-12-09";414589
"25";"Hlíf";400;"Fjölbýli";16500000;2;54,9;"2016-12-09";300546
