"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Lerkigrund";300;"Fjölbýli";18500000;3;95,5;"2017-02-06";193717
"2";"Arnarsmári";201;"Fjölbýli";37900000;4;98;"2017-02-06";386735
"3";"Grænamýri";600;"Fjölbýli";20900000;3;82;"2017-02-06";254878
"4";"Lindasmári";201;"Fjölbýli";53900000;5;151,4;"2017-02-06";356011
"5";"Steinás";260;"Einbýli";48000000;4;180;"2017-02-06";266667
"6";"Gautavík";112;"Par/Raðhús";64000000;5;169,9;"2017-02-06";376692
"7";"Hringbraut";220;"Einbýli";30500000;4;95,3;"2017-02-06";320042
"8";"Efstihjalli";200;"Fjölbýli";24900000;2;52,6;"2017-02-06";473384
"9";"Möðruvallastræti";600;"Einbýli";39500000;4;176,4;"2017-02-06";223923
"11";"Faxafen";108;"Atvinnuhús";305000000;0;1666,8;"2017-02-06";182985
"13";"Gráhella";800;"Par/Raðhús";31500000;4;93,4;"2017-02-06";337259
"14";"Urðarholt";270;"Fjölbýli";27500000;3;69,9;"2017-02-06";393419
"15";"Skógarás";110;"Einbýli";73000000;6;234,6;"2017-02-06";311168
"16";"Klukkuberg";221;"Fjölbýli";29900000;2;114,4;"2017-02-06";261364
"17";"Faxafen";108;"Atvinnuhús";305000000;30;2000;"2017-02-06";152500
"18";"Almannadalur";113;"Hesthús";6000000;0;93,1;"2017-02-06";64447
"19";"Lundur ";200;"Fjölbýli";64000000;3;126,2;"2017-02-06";507132
"21";"Klukkuberg";221;"Fjölbýli";29900000;3;114,4;"2017-02-06";261364
"24";"Gefjunarbrunnur";113;"Par/Raðhús";74900000;6;252,2;"2017-02-06";296987
"25";"Almannadalur";110;"Hesthús";6000000;0;93,1;"2017-02-06";64447
