"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Fagrasíða";603;"Par/Raðhús";32500000;5;130;"2016-09-30";250000
"2";"Sandskeið G-gata";801;"Sumarhús";27900000;4;72,6;"2016-09-30";384298
"3";"Breiðavík";112;"Fjölbýli";37900000;4;101,5;"2016-09-30";373399
"4";"Víðihlíð Opið Hús";105;"Par/Raðhús";72900000;6;281,4;"2016-09-30";259062
"5";"Vatnsstígur";101;"Fjölbýli";125000000;4;166,1;"2016-09-30";752559
"8";"Hofakur";210;"Fjölbýli";37900000;2;78,3;"2016-09-30";484036
"9";"Gerplustræti";270;"Fjölbýli";39700000;4;106,6;"2016-09-30";372420
"10";"Seilugrandi";107;"Fjölbýli";29700000;2;51,8;"2016-09-30";573359
"11";"Sólvallagata";230;"Fjölbýli";18500000;2;75,6;"2016-09-30";244709
"12";"Efstasund";104;"Einbýli";48300000;4;137,9;"2016-09-30";350254
"13";"Ásgarður";108;"Par/Raðhús";46900000;5;115;"2016-09-30";407826
"14";"Grettisgata";101;"Fjölbýli";36900000;3;81,2;"2016-09-30";454433
"15";"Brekkuás";221;"Fjölbýli";35900000;3;94;"2016-09-30";381915
"16";"Kríuhólar";111;"Fjölbýli";33900000;5;116,1;"2016-09-30";291990
"17";"Austurkór";203;"Par/Raðhús";57900000;4;175,6;"2016-09-30";329727
"18";"Furulundur";600;"Par/Raðhús";20600000;3;79,7;"2016-09-30";258469
"19";"Einigrund";300;"Fjölbýli";21900000;3;105,4;"2016-09-30";207780
"21";"Bakkasmári";201;"Par/Raðhús";67900000;6;183,9;"2016-09-30";369222
"22";"Ránargata ";101;"Fjölbýli";41900000;3;82,2;"2016-09-30";509732
"23";"Naustabryggja";110;"Fjölbýli";43500000;4;100,1;"2016-09-30";434565
"24";"Naustabryggja";110;"Fjölbýli";44200000;4;103,5;"2016-09-30";427053
"25";"Norðurbakki Aðeins Tvær Eftir";220;"Fjölbýli";48100000;3;125,4;"2016-09-30";383573
