"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Lágengi";800;"Einbýli";38500000;5;176;"2016-09-16";218750
"2";"Völvufell";111;"Einbýli";54900000;0;233;"2016-09-16";235622
"3";"Laxatunga";270;"Jörð/Lóð";18000000;0;907,5;"2016-09-16";19835
"4";"Laxatunga";270;"Jörð/Lóð";15500000;0;769,8;"2016-09-16";20135
"5";"Laxatunga";270;"Jörð/Lóð";15500000;0;650;"2016-09-16";23846
"6";"Leirvogstunga";270;"Jörð/Lóð";17000000;0;742,3;"2016-09-16";22902
"7";"Klukkuberg";221;"Fjölbýli";30900000;3;75,5;"2016-09-16";409272
"8";"Þrastarás";221;"Fjölbýli";32900000;3;87,4;"2016-09-16";376430
"9";"Ljósakur";210;"Fjölbýli";47900000;3;116,5;"2016-09-16";411159
"10";"Mávabraut";230;"Fjölbýli";12500000;3;69,7;"2016-09-16";179340
"11";"Strandvegur";210;"Fjölbýli";56900000;4;171,5;"2016-09-16";331778
"12";"Holtagerði";200;"Einbýli";69000000;6;190,5;"2016-09-16";362205
"13";"Heiðarbrún";415;"Einbýli";9500000;7;224,6;"2016-09-16";42297
"14";"Vesturgata";101;"Fjölbýli";44900000;3;115,8;"2016-09-16";387737
"15";"Ögurás";210;"Fjölbýli";38800000;3;98,8;"2016-09-16";392713
"19";"Leirvogstunga";270;"Jörð/Lóð";16000000;0;750;"2016-09-16";21333
"21";"Leirvogstunga";270;"Jörð/Lóð";16000000;0;637,1;"2016-09-16";25114
"22";"Kvíslartunga";270;"Jörð/Lóð";27500000;0;907,5;"2016-09-16";30303
"23";"Kvíslartunga";270;"Jörð/Lóð";19000000;0;667,2;"2016-09-16";28477
"24";"Mosarimi";112;"Fjölbýli";32900000;3;81,7;"2016-09-16";402693
"25";"Faxabraut";230;"Fjölbýli";17200000;3;103,6;"2016-09-16";166023
