"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Fannagil";603;"Einbýli";64900000;5;226,6;"2017-01-04";286408
"2";"Hringbraut";101;"Fjölbýli";37900000;3;74,2;"2017-01-04";510782
"3";"Auðarstræti";105;"Fjölbýli";220000;3;81,3;"2017-01-04";2706
"4";"Klapparstígur";260;"Einbýli";33500000;4;158,4;"2017-01-04";211490
"5";"Flétturimi";112;"Fjölbýli";35900000;3;99,8;"2017-01-04";359719
"6";"Traðarberg";221;"Fjölbýli";35900000;3;104,8;"2017-01-04";342557
"7";"Hólar Í Hjaltadal";551;"Fjölbýli";270000000;0;2428,8;"2017-01-04";111166
"8";"Brúsabyggð";551;"Par/Raðhús";14000000;7;135,3;"2017-01-04";103474
"9";"Brúsabyggð";551;"Par/Raðhús";14000000;7;135,4;"2017-01-04";103397
"11";"Trönuhraun";220;"Atvinnuhús";53900000;4;260;"2017-01-04";207308
"12";"Njálsgata";101;"Fjölbýli";41500000;3;89,4;"2017-01-04";464206
"13";"Karlsrauðatorg ";620;"Fjölbýli";15900000;4;115;"2017-01-04";138261
"14";"Boðaþing";203;"Fjölbýli";39900000;2;91,1;"2017-01-04";437980
"16";"Boðaþing";203;"Fjölbýli";45900000;3;113,6;"2017-01-04";404049
"17";"Boðaþing";203;"Fjölbýli";51900000;3;116,2;"2017-01-04";446644
"18";"Boðaþing";203;"Fjölbýli";53900000;3;121,7;"2017-01-04";442892
"19";"Njálsgata";101;"Fjölbýli";41500000;5;89,4;"2017-01-04";464206
"20";"Njálsgata";101;"Hæðir";41500000;5;89,4;"2017-01-04";464206
"21";"Núpalind";201;"Fjölbýli";44400000;4;116,5;"2017-01-04";381116
"22";"Njálsgata";101;"Hæðir";41900000;3;89,4;"2017-01-04";468680
"23";"Esjugrund";116;"Par/Raðhús";39500000;3;146,8;"2017-01-04";269074
"24";"Stórikriki";270;"Fjölbýli";44700000;4;117,7;"2017-01-04";379779
"25";"Hrafnaland";601;"Sumarhús";37000000;4;108,6;"2017-01-04";340700
