"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Boðaþing";203;"Fjölbýli";38500000;3;100,5;"2016-08-12";383085
"2";"Engjasel";109;"Fjölbýli";31900000;4;123,3;"2016-08-12";258719
"3";"Furustekkur ";801;"Sumarhús";24900000;4;60,9;"2016-08-12";408867
"4";"Klausturhólar A-gata";801;"Sumarhús";11500000;3;46,2;"2016-08-12";248918
"5";"Rauðarárstígur";105;"Fjölbýli";23900000;2;55;"2016-08-12";434545
"6";"Holtsvegur Opið Hús";210;"Fjölbýli";41500000;3;86,4;"2016-08-12";480324
"7";"Hrauntunga";200;"Einbýli";71000000;7;306,1;"2016-08-12";231950
"8";"Vagnhöfði";110;"Atvinnuhús";120000000;1;1015,2;"2016-08-12";118203
"9";"Dalhús";112;"Einbýli";55900000;7;228,7;"2016-08-12";244425
"10";"Svölutjörn";260;"Fjölbýli";25900000;3;91,4;"2016-08-12";283370
"12";"Hjarðarhagi";107;"Fjölbýli";52300000;4;146,7;"2016-08-12";356510
"13";"Ásgarðsvegur";640;"Einbýli";29800000;6;186,9;"2016-08-12";159444
"14";"Ásakór";203;"Fjölbýli";43900000;4;157,4;"2016-08-12";278907
"15";"Hallkelshólar lóð";801;"Sumarhús";19900000;3;69,5;"2016-08-12";286331
"18";"Fjarðargata";220;"Atvinnuhús";150000;1;99,2;"2016-08-12";1512
"19";"Þórustígur";260;"Einbýli";17800000;4;169,8;"2016-08-12";104829
"20";"Fornhagi";107;"Fjölbýli";41900000;3;88,6;"2016-08-12";472912
"21";"Stóragerði";108;"Fjölbýli";34500000;4;124,8;"2016-08-12";276442
"22";"Kaplaskjólsvegur";107;"Fjölbýli";34900000;3;73,4;"2016-08-12";475477
"23";"Norðurbakki";220;"Fjölbýli";47900000;4;130,5;"2016-08-12";367050
"24";"Baugakór";203;"Fjölbýli";38900000;4;138,5;"2016-08-12";280866
"25";"Straumsalir";201;"Fjölbýli";39800000;3;106,2;"2016-08-12";374765
