"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Goðheimar *opið Hús*";104;"Hæðir";51900000;5;157,9;"2016-10-25";328689
"2";"Lundur";200;"Fjölbýli";54800000;3;139,2;"2016-10-25";393678
"3";"Fossheiði";800;"Fjölbýli";16900000;2;64,1;"2016-10-25";263651
"5";"Seljudalur";260;"Par/Raðhús";17500000;4;120;"2016-10-25";145833
"6";"Erluás";221;"Par/Raðhús";62500000;6;192,7;"2016-10-25";324338
"7";"Hringbraut";101;"Hæðir";23900000;3;56,8;"2016-10-25";420775
"8";"Brekkugata";190;"Einbýli";16900000;3;73,7;"2016-10-25";229308
"9";"Bjarmastígur";600;"Einbýli";45000000;9;296,6;"2016-10-25";151719
"10";"Rauðamýri";270;"Fjölbýli";36500000;3;97,6;"2016-10-25";373975
"11";"Lindarberg";221;"Par/Raðhús";71900000;6;229,7;"2016-10-25";313017
"12";"Hátún";230;"Hæðir";26000000;3;128,7;"2016-10-25";202020
"13";"Vatnsnesvegur";230;"Einbýli";39800000;6;208;"2016-10-25";191346
"14";"Austurkór";203;"Fjölbýli";42900000;4;115,5;"2016-10-25";371429
"15";"Bb Guesthouse Hringbraut";230;"Atvinnuhús";200000000;19;482;"2016-10-25";414938
"16";"Stuðlaberg";221;"Par/Raðhús";49500000;5;151;"2016-10-25";327815
"17";"Arkarholt";311;"Sumarhús";13200000;3;50,5;"2016-10-25";261386
"18";"Langamýri";800;"Par/Raðhús";25700000;3;100,5;"2016-10-25";255721
"19";"Álftarimi";800;"Fjölbýli";17500000;2;61,1;"2016-10-25";286416
"20";"Hólabraut ";230;"Fjölbýli";14900000;2;40,6;"2016-10-25";366995
"22";"Bogatún";850;"Par/Raðhús";22500000;4;136,5;"2016-10-25";164835
"25";"Frakkastígur";101;"Fjölbýli";29900000;2;52,8;"2016-10-25";566288
