"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Bugðulækur";105;"Fjölbýli";34900000;3;80,9;"2016-10-02";431397
"2";"Melhagi";107;"Fjölbýli";85900000;6;196,7;"2016-10-02";436706
"3";"Linnetsstígur (opið Hús)";220;"Fjölbýli";46900000;4;125,8;"2016-10-02";372814
"4";"Naustabryggja";110;"Fjölbýli";38500000;3;89,1;"2016-10-02";432099
"5";"Naustabryggja";110;"Fjölbýli";39500000;3;98,6;"2016-10-02";400609
"6";"Goðheimar";104;"Hæðir";52900000;5;157,9;"2016-10-02";335022
"7";"Naustabryggja";110;"Fjölbýli";44900000;4;111,9;"2016-10-02";401251
"8";"Naustabryggja";110;"Fjölbýli";63000000;5;179,5;"2016-10-02";350975
"9";"Naustabryggja";110;"Fjölbýli";43900000;4;109,5;"2016-10-02";400913
"10";"Garðavegur";220;"Hæðir";33900000;3;81,8;"2016-10-02";414425
"11";"Mánatún ";105;"Fjölbýli";54900000;3;116;"2016-10-02";473276
"12";"Mánatún ";105;"Fjölbýli";49900000;2;110;"2016-10-02";453636
"13";"Mánatún ";105;"Fjölbýli";39900000;2;77;"2016-10-02";518182
"14";"Mánatún ";105;"Fjölbýli";44900000;2;86,3;"2016-10-02";520278
"15";"Mánatún ";105;"Fjölbýli";48900000;2;104,9;"2016-10-02";466158
"16";"Mánatún ";105;"Fjölbýli";52900000;3;109,8;"2016-10-02";481785
"17";"Mánatún ";105;"Fjölbýli";51900000;2;105,9;"2016-10-02";490085
"18";"Mánatún ";105;"Fjölbýli";54900000;3;115,4;"2016-10-02";475737
"19";"Mánatún ";105;"Fjölbýli";39900000;2;76,6;"2016-10-02";520888
"20";"Mánatún ";105;"Fjölbýli";45900000;2;85,8;"2016-10-02";534965
"21";"Mánatún ";105;"Fjölbýli";40900000;2;77,7;"2016-10-02";526384
"22";"Mánatún ";105;"Fjölbýli";55400000;3;110,9;"2016-10-02";499549
"23";"Mánatún ";105;"Fjölbýli";56400000;3;116,8;"2016-10-02";482877
"24";"Mánatún ";105;"Fjölbýli";53900000;3;108,3;"2016-10-02";497692
"25";"Mánatún ";105;"Fjölbýli";53900000;3;109,8;"2016-10-02";490893
