"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Sjafnarvellir";230;"Par/Raðhús";43900000;6;184,8;"2016-08-26";237554
"2";"Sunnubraut";200;"Einbýli";38000000;4;130,8;"2016-08-26";290520
"3";"Draupnisgata";603;"Atvinnuhús";24500000;0;152,2;"2016-08-26";160972
"4";"Boðaþing";203;"Fjölbýli";45000000;3;124,3;"2016-08-26";362027
"5";"Skyggnisbraut";113;"Fjölbýli";37900000;3;92,4;"2016-08-26";410173
"6";"Skyggnisbraut";113;"Fjölbýli";33900000;2;78,2;"2016-08-26";433504
"8";"Strandvegur";210;"Fjölbýli";45900000;4;115,8;"2016-08-26";396373
"9";"Holtagerði";200;"Fjölbýli";49900000;4;133,7;"2016-08-26";373224
"10";"Klausturhvammur Opið Hús";220;"Par/Raðhús";59900000;8;283,7;"2016-08-26";211139
"11";"Drekavellir ";221;"Fjölbýli";40900000;4;129,1;"2016-08-26";316809
"13";"Herjólfsgata";220;"Fjölbýli";45900000;3;92,3;"2016-08-26";497291
"14";"Hæðargarður";108;"Fjölbýli";29500000;2;62,4;"2016-08-26";472756
"15";"Mururimi";112;"Fjölbýli";63800000;6;205,8;"2016-08-26";310010
"16";"Friggjarbrunnur";113;"Fjölbýli";30900000;2;61;"2016-08-26";506557
"17";"Holtsgata";101;"Fjölbýli";110000000;9;208,9;"2016-08-26";526568
"18";"Friggjarbrunnur";113;"Fjölbýli";41900000;4;105,2;"2016-08-26";398289
"19";"Friggjarbrunnur";113;"Fjölbýli";31500000;2;75,4;"2016-08-26";417772
"20";"Friggjarbrunnur";113;"Fjölbýli";31700000;2;76,3;"2016-08-26";415465
"21";"Friggjarbrunnur";113;"Fjölbýli";72000000;4;177,2;"2016-08-26";406321
"22";"Friggjarbrunnur";113;"Fjölbýli";27900000;2;59,4;"2016-08-26";469697
"23";"Friggjarbrunnur";113;"Fjölbýli";44900000;4;105,2;"2016-08-26";426806
"24";"Holtsgata";101;"Hæðir";45000000;4;102,1;"2016-08-26";440744
"25";"Holtsgata ";101;"Einbýli";110000000;9;196,4;"2016-08-26";560081
