"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Langholtsvegur";104;"Hæðir";32900000;3;94,3;"2016-10-18";348887
"2";"Stóragerði";108;"Fjölbýli";39500000;4;121,9;"2016-10-18";324036
"3";"Lyngás";210;"Fjölbýli";39500000;3;90,2;"2016-10-18";437916
"4";"Gefjunarbrunnur";113;"Jörð/Lóð";9500000;5;213,5;"2016-10-18";44496
"5";"Rauðamýri";270;"Fjölbýli";36500000;3;97,6;"2016-10-18";373975
"6";"Kaldakinn";220;"Fjölbýli";26000000;3;74,5;"2016-10-18";348993
"7";"A gata";113;"Hesthús";7200000;0;108;"2016-10-18";66667
"8";"Dimmuhvarf";203;"Einbýli";93500000;7;339,6;"2016-10-18";275324
"14";"Dimmuhvarf";203;"Einbýli";93500000;5;339,6;"2016-10-18";275324
"15";"Gefjunarbrunnur";113;"Jörð/Lóð";9500000;0;213,5;"2016-10-18";44496
"16";"Beykidalur";260;"Fjölbýli";28900000;4;115,6;"2016-10-18";250000
"17";"Iðavellir";230;"Atvinnuhús";21900000;0;167;"2016-10-18";131138
"18";"Kaldakinn ";220;"Hæðir";26000000;0;74,5;"2016-10-18";348993
"19";"Dimmuhvarf - M/hesthúsi";203;"Einbýli";93500000;7;339,6;"2016-10-18";275324
"20";"Rauðamýri ";270;"Fjölbýli";36500000;3;103,4;"2016-10-18";352998
"21";"Stóragerði ";108;"Fjölbýli";39500000;3;121,9;"2016-10-18";324036
"22";"Grýtubakka";109;"Fjölbýli";32000000;4;101,5;"2016-10-18";315271
"24";"Garðatorg";210;"Fjölbýli";69500000;4;143,3;"2016-10-18";484997
"25";"Gefjunarbrunnur";113;"Einbýli";9500000;5;213,5;"2016-10-18";44496
