"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"2";"Kópavogsbraut";200;"Einbýli";49900000;6;158;"2017-02-20";315823
"3";"Klukkuvellir";221;"Fjölbýli";48900000;4;130,7;"2017-02-20";374139
"4";"Barðavogur";104;"Fjölbýli";29900000;3;78,8;"2017-02-20";379442
"10";"Mýrarholt";311;"Sumarhús";15900000;4;67,6;"2017-02-20";235207
"11";"Vatnsstígur";101;"Fjölbýli";47500000;2;74,6;"2017-02-20";636729
"13";"Kerengi";801;"Sumarhús";12900000;3;38,7;"2017-02-20";333333
"14";"Boðaþing";203;"Fjölbýli";24900000;2;52,2;"2017-02-20";477011
"15";"Aðalgata";420;"Atvinnuhús";9900000;4;107;"2017-02-20";92523
"17";"Skemmuvegur";200;"Atvinnuhús";69900000;0;320;"2017-02-20";218438
"18";"Barmahlíð";105;"Fjölbýli";31900000;2;48,9;"2017-02-20";652352
"19";"Hyrjarhöfði";110;"Atvinnuhús";149000000;0;840;"2017-02-20";177381
"21";"Laugavegur";101;"Fjölbýli";34900000;2;50,8;"2017-02-20";687008
"22";"Skipalón";220;"Fjölbýli";47900000;4;121,3;"2017-02-20";394889
"23";"Hraunbær";110;"Fjölbýli";32300000;2;78,2;"2017-02-20";413043
"24";"Bergstaðastræti";101;"Einbýli";45000000;5;106,6;"2017-02-20";422139
"25";"Vefarastræti";270;"Fjölbýli";43900000;4;112,3;"2017-02-20";390917
