"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Tjarnarlundur";600;"Fjölbýli";26900000;4;112,1;"2017-01-06";239964
"2";"Hofsbót";600;"Fyrirt.";55000000;4;212,5;"2017-01-06";258824
"4";"Nýjar Glæsiíbúðir Í Los Balcones";1000;"Hæðir";16400000;3;70;"2017-01-06";234286
"5";"Miðstræti";101;"Hæðir";49900000;3;121;"2017-01-06";412397
"6";"Holtsvegur";210;"Fjölbýli";47900000;3;112,5;"2017-01-06";425778
"7";"Kjarrhólmi";200;"Fjölbýli";34500000;4;89,5;"2017-01-06";385475
"9";"Engjadalur";260;"Fjölbýli";27000000;3;89,7;"2017-01-06";301003
"10";"Mýrargata";190;"Einbýli";39900000;6;180,8;"2017-01-06";220686
"11";"Gistiheimilið Gula Villan";600;"Atvinnuhús";230000000;28;832,1;"2017-01-06";276409
"12";"Mánatún (opið hús)";105;"Fjölbýli";52500000;3;120,5;"2017-01-06";435685
"13";"Mánatún (opið hús)";105;"Fjölbýli";56500000;3;133,5;"2017-01-06";423221
"14";"Mánatún";105;"Fjölbýli";82900000;3;182,9;"2017-01-06";453253
"15";"Fjölnisgata";603;"Atvinnuhús";36900000;0;231,9;"2017-01-06";159120
"16";"Hrólfsskálavör";170;"Einbýli";105000000;7;316,3;"2017-01-06";331963
"17";"Hólmgarður ";108;"Fjölbýli";41900000;4;96,5;"2017-01-06";434197
"18";"Vallarbraut";300;"Fjölbýli";28900000;4;93,2;"2017-01-06";310086
"19";"Grænatún";200;"Hæðir";45900000;4;149,7;"2017-01-06";306613
"20";"Kaplahraun";220;"Atvinnuhús";45500000;7;267,6;"2017-01-06";170030
"21";"Grenilundur";600;"Par/Raðhús";58900000;9;356,5;"2017-01-06";165217
"22";"Brekatún";600;"Fjölbýli";42690000;3;108,6;"2017-01-06";393094
"23";"Garðatorg";210;"Fjölbýli";85000000;3;143,1;"2017-01-06";593990
"24";"Holtsvegur";210;"Fjölbýli";69900000;4;100;"2017-01-06";699000
"25";"Garðatorg";210;"Fjölbýli";67900000;3;143,3;"2017-01-06";473831
