"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"5";"Hátún - Laus Strax";105;"Fjölbýli";38500000;3;89,3;"2017-02-12";431131
"6";"Langholtsvegur";104;"Einbýli";45000000;3;102,3;"2017-02-12";439883
"7";"Laugavegur";101;"Fjölbýli";57800000;2;66,8;"2017-02-12";865269
"8";"Laugavegur";101;"Fjölbýli";73500000;3;97,4;"2017-02-12";754620
"10";"Álftamýri";108;"Fjölbýli";31900000;3;72,5;"2017-02-12";440000
"11";"Laugavegur";101;"Fjölbýli";80100000;3;106,2;"2017-02-12";754237
"12";"Laugavegur";101;"Fjölbýli";83500000;3;110,8;"2017-02-12";753610
"13";"Bleiksárhlíð";735;"Einbýli";29800000;7;196,9;"2017-02-12";151346
"14";"Lindargata (opið hús)";101;"Fjölbýli";67900000;3;98,9;"2017-02-12";686552
"15";"Heiðarimi";801;"Sumarhús";22900000;4;66,8;"2017-02-12";342814
"16";"Holtsgata";101;"Fjölbýli";28900000;2;52,8;"2017-02-12";547348
"17";"Sólheimar";104;"Hæðir";55900000;4;114,8;"2017-02-12";486934
"18";"Laufásvegur";101;"Hæðir";69900000;4;171,8;"2017-02-12";406868
"19";"Sunnubraut";200;"Einbýli";63500000;5;193,2;"2017-02-12";328675
"20";"Vesturgata";230;"Fjölbýli";28700000;3;114,2;"2017-02-12";251313
