"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Friggjarbrunnur";113;"Fjölbýli";49800000;4;127,6;"2016-10-20";390282
"2";"Friggjarbrunnur";113;"Fjölbýli";42600000;4;107,8;"2016-10-20";395176
"3";"Kjarnagata";600;"Fjölbýli";32900000;4;97;"2016-10-20";339175
"4";"Lækjargata";220;"Fjölbýli";46500000;4;136,5;"2016-10-20";340659
"5";"Kjarrmóar";210;"Par/Raðhús";48900000;5;133,5;"2016-10-20";366292
"6";"Hjallabraut";220;"Fjölbýli";34500000;2;69,3;"2016-10-20";497835
"8";"Óseyri";603;"Atvinnuhús";23500000;0;92,7;"2016-10-20";253506
"9";"Óseyri";603;"Atvinnuhús";45000000;1;312,5;"2016-10-20";144000
"10";"Fífumói";800;"Fjölbýli";25800000;3;94,8;"2016-10-20";272152
"13";"Friggjarbrunnur";113;"Fjölbýli";49400000;4;125,4;"2016-10-20";393939
"14";"Friggjarbrunnur";113;"Fjölbýli";43500000;0;108,7;"2016-10-20";400184
"15";"Friggjarbrunnur";113;"Fjölbýli";51800000;0;136,3;"2016-10-20";380044
"16";"Friggjarbrunnur";113;"Fjölbýli";57800000;0;154,6;"2016-10-20";373868
"17";"Friggjarbrunnur";113;"Fjölbýli";42600000;0;107,8;"2016-10-20";395176
"18";"Friggjarbrunnur";113;"Fjölbýli";49900000;0;130;"2016-10-20";383846
"19";"Friggjarbrunnur";113;"Fjölbýli";32600000;0;82,4;"2016-10-20";395631
"20";"Friggjarbrunnur";113;"Fjölbýli";43800000;0;112,3;"2016-10-20";390027
"21";"Friggjarbrunnur";113;"Fjölbýli";52800000;0;135,4;"2016-10-20";389956
"22";"Bergþórugata";101;"Fjölbýli";51900000;0;108,3;"2016-10-20";479224
"23";"Smáraland";800;"Par/Raðhús";25900000;3;80;"2016-10-20";323750
"24";"Spilda";116;"Jörð/Lóð";30000000;0;81000;"2016-10-20";370
"25";"Hafnargata";190;"Hæðir";16000000;4;52,5;"2016-10-20";304762
