"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Mánatún ";105;"Fjölbýli";44900000;2;77,2;"2016-12-31";581606
"2";"Mánatún ";105;"Fjölbýli";57900000;3;109,9;"2016-12-31";526843
"3";"Mánatún ";105;"Fjölbýli";59900000;2;114,5;"2016-12-31";523144
"4";"Mánatún ";105;"Fjölbýli";63900000;3;115,6;"2016-12-31";552768
"5";"Mánatún ";105;"Fjölbýli";89900000;3;139,6;"2016-12-31";643983
"6";"Mánatún ";105;"Fjölbýli";48900000;2;104,9;"2016-12-31";466158
"7";"Árakur";210;"Fjölbýli";55900000;4;139,7;"2016-12-31";400143
"8";"Bjarkarheiði";810;"Par/Raðhús";31700000;4;141,7;"2016-12-31";223712
"9";"Mánatún ";105;"Fjölbýli";58900000;3;115,7;"2016-12-31";509075
"10";"Mánatún ";105;"Fjölbýli";42900000;2;78,2;"2016-12-31";548593
"11";"Mánatún ";105;"Fjölbýli";44900000;2;86,3;"2016-12-31";520278
"12";"Mánatún ";105;"Fjölbýli";56400000;3;116,8;"2016-12-31";482877
"13";"Mánatún ";105;"Fjölbýli";49900000;2;110;"2016-12-31";453636
"14";"Birkigrund";200;"Einbýli";89900000;8;271,3;"2016-12-31";331367
"15";"Garðabraut";300;"Fjölbýli";24500000;3;102;"2016-12-31";240196
"16";"Þórustígur";260;"Fjölbýli";15900000;3;63,1;"2016-12-31";251981
"17";"Lyngás";210;"Fjölbýli";75900000;4;170,6;"2016-12-31";444900
"18";"Lyngás";210;"Fjölbýli";49800000;5;116,7;"2016-12-31";426735
"19";"Lyngás";210;"Fjölbýli";49800000;5;112,7;"2016-12-31";441881
"21";"Berjarimi";112;"Fjölbýli";29900000;2;63;"2016-12-31";474603
"22";"Vesturbraut - Opið Hús";220;"Fjölbýli";24500000;2;37,3;"2016-12-31";656836
"23";"Þorfinnsgata - Opið Hús";101;"Fjölbýli";33700000;4;77,4;"2016-12-31";435401
"24";"Básbryggja - Opið Hús";110;"Fjölbýli";41900000;3;102,3;"2016-12-31";409580
"25";"Bergþórugata - Opið Hús";101;"Fjölbýli";23900000;1;40,5;"2016-12-31";590123
