"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"2";"Smárahlíð";603;"Fjölbýli";14900000;2;44,2;"2017-01-05";337104
"3";"Arnarsíða";603;"Par/Raðhús";32900000;5;115,3;"2017-01-05";285343
"4";"Dagverðarnes";311;"Jörð/Lóð";3900000;0;10,2;"2017-01-05";382353
"5";"Urðarbrunnur";113;"Einbýli";96000000;6;321,8;"2017-01-05";298322
"6";"Andarhvarf";203;"Einbýli";97000000;8;375,7;"2017-01-05";258185
"7";"Stuttárbotnar";320;"Sumarhús";14500000;0;36,2;"2017-01-05";400552
"8";"Breiðamörk";810;"Fyrirt.";135000000;8;328,1;"2017-01-05";411460
"9";"Grænakinn";220;"Fjölbýli";29900000;3;77,2;"2017-01-05";387306
"10";"Kársnesbraut";200;"Atvinnuhús";165000000;0;1086,9;"2017-01-05";151808
"11";"Tropico";1000;"Fjölbýli";9500000;2;43;"2017-01-05";220930
"12";"Eiðismýri";170;"Par/Raðhús";79900000;3;201,6;"2017-01-05";396329
"14";"Digranesvegur";200;"Fjölbýli";41300000;4;123,9;"2017-01-05";333333
"16";"Gullsmári";201;"Fjölbýli";42900000;5;105,4;"2017-01-05";407021
"20";"Þverholt";105;"Atvinnuhús";2000;0;382,1;"2017-01-05";5
"21";"Vallarbraut";170;"Hæðir";47000000;4;122;"2017-01-05";385246
"22";"Nönnugata";101;"Fjölbýli";33900000;3;66,3;"2017-01-05";511312
"23";"Boðaþing";203;"Fjölbýli";64900000;3;157,3;"2017-01-05";412587
"24";"Hellisbraut ";360;"Einbýli";15200000;3;91,1;"2017-01-05";166850
"25";"Rjúpufell";111;"Fjölbýli";34900000;4;110,4;"2017-01-05";316123
