"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Asparskógar";300;"Fjölbýli";32091200;3;99,2;"2016-10-30";323500
"5";"Gran Canary Rúmgott Bungalow ";1000;"Par/Raðhús";39600000;3;70;"2016-10-30";565714
"6";"Tenerife Cristianos Iii Los Cristia";1000;"Fjölbýli";44600000;3;65;"2016-10-30";686154
"7";"Tenerife Guayero Los Cristianos";1000;"Fjölbýli";42700000;3;68;"2016-10-30";627941
"8";"Tenerife Altemar Playa De Las Améri";1000;"Par/Raðhús";32600000;3;75;"2016-10-30";434667
"9";"Tenerife Eden Los Cristianos";1000;"Fjölbýli";30300000;3;70;"2016-10-30";432857
"11";"Tenerife Los Cristianos Frábær Ibúð";1000;"Fjölbýli";28000000;3;65;"2016-10-30";430769
"12";"Aratún";210;"Einbýli";59500000;5;210;"2016-10-30";283333
"13";"Langalína";210;"Fjölbýli";36900000;2;83;"2016-10-30";444578
"14";"Hlíðarvegur";580;"Fjölbýli";24500000;2;109,4;"2016-10-30";223949
"15";"Básbryggja";110;"Fjölbýli";39900000;3;109,1;"2016-10-30";365720
"16";"Garðatorg";210;"Fjölbýli";65500000;3;106,8;"2016-10-30";613296
"17";"Jörfagrund";116;"Par/Raðhús";46900000;4;176,4;"2016-10-30";265873
"18";"Garðatorg";210;"Fjölbýli";67900000;4;143,3;"2016-10-30";473831
"19";"Gullsmári (opið hús)";201;"Fjölbýli";54600000;6;143,9;"2016-10-30";379430
