"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Lindargata";101;"Fjölbýli";49700000;3;85;"2016-09-24";584706
"2";"Farbraut";801;"Sumarhús";18700000;5;83,9;"2016-09-24";222884
"4";"Hringbraut *opið Hús*";220;"Hæðir";46900000;4;165;"2016-09-24";284242
"5";"Mánatún";105;"Fjölbýli";54700000;3;111,2;"2016-09-24";491906
"6";"Ljósavík";112;"Fjölbýli";45900000;4;147,1;"2016-09-24";312033
"8";"Mánatún";105;"Fjölbýli";52500000;3;120,5;"2016-09-24";435685
"9";"Mánatún";105;"Fjölbýli";56500000;3;129,5;"2016-09-24";436293
"10";"Pósthússtræti";101;"Fjölbýli";74900000;3;100,4;"2016-09-24";746016
"11";"Goðaborgir";112;"Fjölbýli";29900000;3;86,5;"2016-09-24";345665
"12";"Suðurgata";245;"Hæðir";27500000;5;228,2;"2016-09-24";120508
"13";"Hafnarberg";815;"Par/Raðhús";27500000;4;128,9;"2016-09-24";213344
"14";"Marargrund";210;"Einbýli";98000000;7;347;"2016-09-24";282421
"15";"Skúlagata";101;"Fjölbýli";36700000;2;70,2;"2016-09-24";522792
"16";"Lindargata";101;"Fjölbýli";49700000;3;85,1;"2016-09-24";584019
"17";"Grandavegur";107;"Fjölbýli";56500000;3;119,6;"2016-09-24";472408
"18";"Grandavegur";107;"Fjölbýli";54900000;4;121,2;"2016-09-24";452970
"20";"Mánatún";105;"Fjölbýli";56500000;3;133,5;"2016-09-24";423221
"21";"Mánatún";105;"Fjölbýli";57900000;3;133,6;"2016-09-24";433383
"22";"Drápuhlíð";105;"Hæðir";51900000;5;156;"2016-09-24";332692
"23";"Burknavellir ( Opið Hús )";221;"Fjölbýli";37900000;4;104,5;"2016-09-24";362679
"24";"Furuhlíð ( Opið Hús )";221;"Einbýli";75000000;7;273;"2016-09-24";274725
"25";"Blönduhlíð";105;"Hæðir";57900000;6;167;"2016-09-24";346707
