"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Birkimelur";107;"Fjölbýli";41500000;3;90;"2017-01-19";461111
"2";"Mávahlíð";105;"Hæðir";29500000;2;45,6;"2017-01-19";646930
"3";"Selvogsgrunn";104;"Einbýli";110000000;7;253,7;"2017-01-19";433583
"4";"Íragerði";825;"Einbýli";28600000;4;160,7;"2017-01-19";177971
"6";"Iðufell";111;"Fjölbýli";26300000;3;68,9;"2017-01-19";381713
"8";"Lækjargata";600;"Einbýli";24500000;2;80,4;"2017-01-19";304726
"10";"Hjaltabakki";109;"Fjölbýli";26900000;2;73,2;"2017-01-19";367486
"11";"Hrísabrekka";301;"Sumarhús";14900000;3;40,7;"2017-01-19";366093
"12";"Vitastígur (opið Hús)";220;"Fjölbýli";29500000;3;62,5;"2017-01-19";472000
"13";"Fiskislóð";101;"Atvinnuhús";34900000;2;107,3;"2017-01-19";325256
"14";"Álsvellir";230;"Einbýli";34500000;5;150;"2017-01-19";230000
"15";"Böggvisbraut";620;"Einbýli";34000000;7;216,4;"2017-01-19";157116
"16";"Víðigerði Bláskógabyggð";801;"Einbýli";64900000;8;877;"2017-01-19";74002
"17";"Rauðhella";221;"Atvinnuhús";39900000;0;190;"2017-01-19";210000
"19";"Gnitaheiði";200;"Par/Raðhús";65000000;4;189,7;"2017-01-19";342646
"20";"Ásabraut";230;"Fjölbýli";18000000;3;102;"2017-01-19";176471
"21";"Skeifan";108;"Atvinnuhús";410000;0;242,6;"2017-01-19";1690
"22";"Vesturberg";111;"Fjölbýli";25900000;2;63,6;"2017-01-19";407233
"23";"Löngudælaholt lóð";801;"Sumarhús";22900000;3;77,4;"2017-01-19";295866
"25";"Tjarnarlundur";600;"Fjölbýli";15200000;2;52,5;"2017-01-19";289524
