"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Desjamýri";270;"Atvinnuhús";40000000;1;207;"2016-12-19";193237
"3";"Tröllagil";603;"Par/Raðhús";28200000;3;89,3;"2016-12-19";315789
"5";"Sléttahraun (opið Hús)";220;"Fjölbýli";28900000;3;90;"2016-12-19";321111
"6";"Stjörnusteinar";825;"Einbýli";31900000;4;175;"2016-12-19";182286
"7";"Lyngás";210;"Fjölbýli";58200000;4;129;"2016-12-19";451163
"8";"Lyngás";210;"Fjölbýli";56900000;4;131,8;"2016-12-19";431715
"9";"Lyngás";210;"Fjölbýli";49900000;5;112,7;"2016-12-19";442768
"10";"Iðunnarbrunnur";113;"Jörð/Lóð";10500000;5;229,6;"2016-12-19";45732
"12";"Desjakór";203;"Einbýli";87500000;6;262,2;"2016-12-19";333715
"15";"Mánatún ";105;"Fjölbýli";53900000;3;108,3;"2016-12-19";497692
"16";"Hjaltabakki";109;"Fjölbýli";27300000;3;86,4;"2016-12-19";315972
"17";"Mánatún ";105;"Fjölbýli";58900000;3;115,7;"2016-12-19";509075
"18";"Mánatún ";105;"Fjölbýli";44900000;2;77,2;"2016-12-19";581606
"19";"Mánatún ";105;"Fjölbýli";51900000;2;86,4;"2016-12-19";600694
"20";"Hvaleyrarbraut";220;"Atvinnuhús";36900000;3;165;"2016-12-19";223636
"21";"Lyngás";210;"Fjölbýli";48900000;4;114,4;"2016-12-19";427448
"22";"Háaleitisbraut";108;"Fjölbýli";43800000;5;136,9;"2016-12-19";319942
"23";"Sólheimar";104;"Fjölbýli";40900000;4;104,5;"2016-12-19";391388
"24";"Hæðarbyggð";210;"Einbýli";107000000;7;294,3;"2016-12-19";363575
"25";"Hliðsnes";225;"Einbýli";75000000;5;140;"2016-12-19";535714
