"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Garðatorg";210;"Fjölbýli";52900000;3;106,9;"2016-08-29";494855
"2";"Hraunbær";110;"Fjölbýli";28900000;3;89,3;"2016-08-29";323628
"3";"Funafold";112;"Einbýli";87000000;9;352,1;"2016-08-29";247089
"4";"Blikanes";210;"Einbýli";120000000;2;429,3;"2016-08-29";279525
"6";"Digranesvegur";200;"Fjölbýli";30900000;2;97,7;"2016-08-29";316274
"7";"B gata";110;"Hesthús";19900000;0;177,7;"2016-08-29";111986
"8";"Galtalind";201;"Fjölbýli";54900000;6;191,2;"2016-08-29";287134
"9";"Hvassahraun";190;"Sumarhús";37000000;3;123,8;"2016-08-29";298869
"10";"Sóltún";105;"Fjölbýli";42300000;2;78,1;"2016-08-29";541613
"11";"Einigrund";300;"Fjölbýli";25700000;4;115,1;"2016-08-29";223284
"13";"Skarphéðinsgata";105;"Fjölbýli";27900000;3;58,3;"2016-08-29";478559
"14";"Hraunbær";110;"Fjölbýli";22200000;2;59,9;"2016-08-29";370618
"15";"Blikanes";210;"Einbýli";120000000;7;429,3;"2016-08-29";279525
"18";"Herjólfsgata";220;"Fjölbýli";59900000;4;142;"2016-08-29";421831
"19";"Háteigur";230;"Hæðir";27900000;4;109,9;"2016-08-29";253867
"20";"Austurkór";203;"Fjölbýli";40900000;4;115,3;"2016-08-29";354727
"21";"Brekkuás";221;"Fjölbýli";37900000;3;94;"2016-08-29";403191
"22";"Fálkagata";107;"Fjölbýli";46900000;4;111,6;"2016-08-29";420251
