"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Funahöfði";110;"Atvinnuhús";86000000;19;377,2;"2016-11-02";227996
"2";"Tunguvegur";108;"Par/Raðhús";49500000;5;130,5;"2016-11-02";379310
"3";"Ránargata";101;"Fjölbýli";21900000;2;27,4;"2016-11-02";799270
"4";"Lyngás";210;"Fjölbýli";55900000;5;131,4;"2016-11-02";425419
"5";"Dynsalir";201;"Fjölbýli";29900000;2;582;"2016-11-02";51375
"6";"Glerárgata";600;"Atvinnuhús";60000000;0;372,1;"2016-11-02";161247
"7";"Austurströnd";170;"Atvinnuhús";47000000;0;335,9;"2016-11-02";139923
"8";"Hverfisgata";101;"Fjölbýli";42500000;4;99,4;"2016-11-02";427565
"12";"Víðilundur";600;"Fjölbýli";27500000;2;79,8;"2016-11-02";344612
"13";"Árvegur";800;"Einbýli";57900000;8;261,2;"2016-11-02";221669
"14";"Lækjargata";600;"Hæðir";33200000;4;130;"2016-11-02";255385
"15";"Eiðsvallagata";600;"Fjölbýli";11200000;3;80,3;"2016-11-02";139477
"16";"Lundur";200;"Fjölbýli";86000000;4;159,2;"2016-11-02";540201
"17";"Eyrargata";820;"Fjölbýli";15900000;2;62;"2016-11-02";256452
"19";"Hátún";105;"Hæðir";76800000;7;213,3;"2016-11-02";360056
"20";"Hátún";105;"Fjölbýli";33900000;4;77,5;"2016-11-02";437419
"22";"Unufell";111;"Fjölbýli";27500000;4;97,9;"2016-11-02";280899
"23";"Hjallasel";700;"Einbýli";33900000;4;183,9;"2016-11-02";184339
"24";"Garðatorg";210;"Fjölbýli";53900000;4;100,1;"2016-11-02";538462
