"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Laugarnesvegur";105;"Fjölbýli";36900000;3;74;"2017-01-20";498649
"3";"Hraunhólar";800;"Par/Raðhús";31500000;4;187,8;"2017-01-20";167732
"5";"Hraunbær";110;"Fjölbýli";31800000;3;95,6;"2017-01-20";332636
"6";"Suðurgata";101;"Einbýli";139900000;9;268,3;"2017-01-20";521431
"7";"Varmahlíð";810;"Einbýli";27700000;4;97,9;"2017-01-20";282942
"8";"Hellagata";210;"Fjölbýli";49900000;4;120,2;"2017-01-20";415141
"9";"Bólstaðarhlíð";105;"Fjölbýli";38600000;3;61,9;"2017-01-20";623586
"10";"Langalína";210;"Fjölbýli";52900000;3;129,9;"2017-01-20";407236
"11";"Vallarás (opið Hús)";110;"Fjölbýli";32850000;3;69,6;"2017-01-20";471983
"12";"Hjallabraut (opið Hús)";220;"Fjölbýli";41900000;5;133,6;"2017-01-20";313623
"13";"Bankastræti";101;"Fjölbýli";34900000;2;56,5;"2017-01-20";617699
"14";"Miðbraut";170;"Fjölbýli";35900000;3;64,7;"2017-01-20";554869
"17";"Goðheimar";104;"Fjölbýli";40900000;4;113,4;"2017-01-20";360670
"18";"Tjarnargata";190;"Einbýli";42500000;5;187,9;"2017-01-20";226184
"19";"Fellsmúli";108;"Fjölbýli";27900000;2;58,3;"2017-01-20";478559
"20";"Ránarbraut";620;"Atvinnuhús";26000000;0;612,7;"2017-01-20";42435
"21";"Rósarimi";112;"Fjölbýli";31900000;3;80;"2017-01-20";398750
"23";"Hringbraut";107;"Fjölbýli";33900000;2;59,6;"2017-01-20";568792
"24";"Kjarnagata";600;"Fjölbýli";26500000;2;69,9;"2017-01-20";379113
"25";"Vallargata ";230;"Einbýli";59900000;0;281,3;"2017-01-20";212940
