"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Dynsalir";203;"Fjölbýli";36900000;2;95,4;"2017-02-01";386792
"2";"Eikarlundur";600;"Einbýli";82900000;7;337,3;"2017-02-01";245775
"3";"Sigtún";450;"Par/Raðhús";12900000;3;104,9;"2017-02-01";122974
"4";"Laxatunga";270;"Jörð/Lóð";9400000;0;907,5;"2017-02-01";10358
"5";"Áshamar";900;"Fjölbýli";18500000;3;86,3;"2017-02-01";214368
"6";"Langholtsvegur";104;"Fjölbýli";23500000;2;48,6;"2017-02-01";483539
"7";"Borgarstígur";311;"Sumarhús";24900000;5;96,3;"2017-02-01";258567
"8";"Tjarnabraut";260;"Fjölbýli";32900000;4;106,1;"2017-02-01";310085
"9";"Barónsstígur";101;"Fjölbýli";23400000;2;43,4;"2017-02-01";539171
"10";"Gráhella";800;"Par/Raðhús";29900000;4;91,7;"2017-02-01";326063
"11";"La Torre Golf ";1000;"Fjölbýli";7500000;0;68;"2017-02-01";110294
"14";"Ásholt";105;"Fjölbýli";32300000;2;63,4;"2017-02-01";509464
"15";"Mar Menor Bankaeign";1000;"Fjölbýli";7300000;3;104;"2017-02-01";70192
"16";"Einilundur";600;"Par/Raðhús";31900000;4;97,6;"2017-02-01";326844
"17";"Reynigrund";200;"Par/Raðhús";49900000;5;126,6;"2017-02-01";394155
"18";"Cabo Roig";1000;"Par/Raðhús";32500000;4;100;"2017-02-01";325000
"19";"Laxatunga";270;"Jörð/Lóð";19700000;5;224,6;"2017-02-01";87711
"23";"Heiðarból";230;"Einbýli";48500000;4;192,3;"2017-02-01";252210
"25";"Glæsivellir";240;"Einbýli";61900000;6;282,8;"2017-02-01";218883
