"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Holtsbraut";851;"Jörð/Lóð";2000000;0;5000;"2016-12-05";400
"3";"Sólheimar";104;"Fjölbýli";40900000;4;104,5;"2016-12-05";391388
"4";"Garðatorg";210;"Fjölbýli";85500000;3;137,3;"2016-12-05";622724
"5";"Garðatorg";210;"Fjölbýli";95000000;4;159,6;"2016-12-05";595238
"6";"Garðatorg";210;"Fjölbýli";85000000;3;143,1;"2016-12-05";593990
"7";"Álfaskeið";220;"Fjölbýli";19800000;3;80,7;"2016-12-05";245353
"8";"Lindasmári";201;"Fjölbýli";52500000;6;155,9;"2016-12-05";336754
"9";"Hólmbergsbraut";230;"Atvinnuhús";30900000;0;292;"2016-12-05";105822
"10";"Grímsholt";250;"Par/Raðhús";28900000;4;146,6;"2016-12-05";197135
"15";"Kaplaskjólsvegur";107;"Fjölbýli";34800000;3;79;"2016-12-05";440506
"16";"Oddeyrargata";600;"Hæðir";19950000;2;73,2;"2016-12-05";272541
"17";"Austurberg";111;"Fjölbýli";24900000;2;71,8;"2016-12-05";346797
