"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"3";"Laxatunga";270;"Einbýli";54900000;5;176,7;"2016-10-11";310696
"5";"Sölkugata";270;"Par/Raðhús";67900000;5;208;"2016-10-11";326442
"6";"Sölkugata ";271;"Par/Raðhús";67900000;5;205,2;"2016-10-11";330897
"7";"Grettisgata";101;"Fjölbýli";44900000;4;131,5;"2016-10-11";341445
"8";"Tjarnabakki";260;"Fjölbýli";24800000;3;96,4;"2016-10-11";257261
"10";"Sigluvogur";104;"Fjölbýli";34900000;3;86,1;"2016-10-11";405343
"12";"Digranesvegur";200;"Fjölbýli";44800000;2;110,8;"2016-10-11";404332
"13";"Ástjörn";800;"Par/Raðhús";34500000;3;128,8;"2016-10-11";267857
"14";"Bröndukvísl";110;"Einbýli";88000000;5;246,4;"2016-10-11";357143
"15";"Lyngheiði";800;"Einbýli";35900000;5;167,8;"2016-10-11";213945
"16";"Skipholt";105;"Atvinnuhús";56900000;4;159,7;"2016-10-11";356293
"17";"Dalshraun";220;"Fjölbýli";41900000;5;154,4;"2016-10-11";271373
"18";"Gata Sólarinnar";600;"Sumarhús";35900000;4;107,8;"2016-10-11";333024
"19";"Gata sólarinnar";600;"Sumarhús";35900000;4;107,8;"2016-10-11";333024
"21";"Skagabraut";300;"Hæðir";21700000;3;119;"2016-10-11";182353
"22";"Borgarvík";310;"Einbýli";25300000;5;155,9;"2016-10-11";162284
"23";"Laxatunga";270;"Einbýli";49900000;6;207,9;"2016-10-11";240019
"24";"Garðavegur";230;"Hæðir";19600000;4;87,5;"2016-10-11";224000
"25";"Kjarnagata";600;"Fjölbýli";24400000;2;71,5;"2016-10-11";341259
