"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Stakkholt";105;"Fjölbýli";49900000;3;97;"2016-11-01";514433
"2";"Holtsvegur";210;"Fjölbýli";51900000;4;129,3;"2016-11-01";401392
"3";"Holtsvegur";210;"Fjölbýli";45500000;3;111,1;"2016-11-01";409541
"4";"Holtsvegur";201;"Fjölbýli";46500000;3;112,5;"2016-11-01";413333
"5";"Holtsvegur";210;"Fjölbýli";50900000;4;128,2;"2016-11-01";397036
"6";"Holtsvegur ";210;"Fjölbýli";44500000;3;111,1;"2016-11-01";400540
"8";"Tjarnarbraut";220;"Fjölbýli";23900000;2;74,6;"2016-11-01";320375
"9";"Heiðmörk";810;"Einbýli";99000000;6;108,4;"2016-11-01";913284
"11";"Múlasíða ";603;"Fjölbýli";23600000;4;110;"2016-11-01";214545
"12";"Friggjarbrunnur";113;"Fjölbýli";49900000;4;130;"2016-11-01";383846
"13";"Grundarland";108;"Einbýli";128000000;8;255,4;"2016-11-01";501175
"14";"Holtsvegur";210;"Fjölbýli";60400000;4;154,2;"2016-11-01";391699
"15";"Holtsvegur";210;"Fjölbýli";44900000;2;87,5;"2016-11-01";513143
"16";"Holtsvegur";210;"Fjölbýli";61400000;4;154,2;"2016-11-01";398184
"17";"Holtsvegur";210;"Fjölbýli";60900000;4;155,7;"2016-11-01";391137
"18";"Holtsvegur";210;"Fjölbýli";59900000;4;155;"2016-11-01";386452
"19";"Eikarlundur";600;"Einbýli";71500000;6;234,6;"2016-11-01";304774
"20";"Rofabær";110;"Fjölbýli";28900000;3;89,8;"2016-11-01";321826
"21";"Holtsvegur";210;"Fjölbýli";42400000;3;108,5;"2016-11-01";390783
"22";"Holtsvegur ";210;"Fjölbýli";48500000;4;122,1;"2016-11-01";397215
"23";"Holtsvegur";210;"Fjölbýli";47500000;4;122,1;"2016-11-01";389025
"24";"Grandavegur";107;"Fjölbýli";57900000;4;121,2;"2016-11-01";477723
"25";"Lækjartún";600;"Fjölbýli";27900000;3;94,2;"2016-11-01";296178
